UTC time,nat_gas,coal,solar,hydro,biomass,nuclear,oil,wind
2019-01-01 00:00,2526.0,,0.0,4084.0,604.0,55113.0,215.0,1637.0
2019-01-01 01:00,2425.0,,0.0,3665.0,605.0,54780.0,214.0,1567.0
2019-01-01 02:00,2435.0,,0.0,3231.0,605.0,53162.0,215.0,1556.0
2019-01-01 03:00,2440.0,,0.0,3106.0,608.0,50137.0,215.0,1595.0
2019-01-01 04:00,2434.0,,0.0,3000.0,607.0,48465.0,215.0,1719.0
2019-01-01 05:00,2436.0,,0.0,3015.0,605.0,48269.0,215.0,1794.0
2019-01-01 06:00,2771.0,,0.0,3196.0,604.0,47783.0,213.0,1780.0
2019-01-01 07:00,2820.0,,132.0,3487.0,603.0,48379.0,214.0,1730.0
2019-01-01 08:00,2825.0,,503.0,3910.0,605.0,49885.0,215.0,1670.0
2019-01-01 09:00,2825.0,,1067.0,4035.0,604.0,50895.0,215.0,1589.0
2019-01-01 10:00,2843.0,,1456.0,4361.0,602.0,51689.0,216.0,1602.0
2019-01-01 11:00,2830.0,,1628.0,4802.0,604.0,52526.0,216.0,1725.0
2019-01-01 12:00,2807.0,,1747.0,4058.0,602.0,52413.0,215.0,1971.0
2019-01-01 13:00,2824.0,,1474.0,3952.0,603.0,52719.0,216.0,2096.0
2019-01-01 14:00,2838.0,,904.0,3499.0,603.0,52859.0,215.0,2108.0
2019-01-01 15:00,2821.0,,324.0,3622.0,604.0,53311.0,215.0,2104.0
2019-01-01 16:00,2750.0,,107.0,4156.0,603.0,54453.0,215.0,2185.0
2019-01-01 17:00,3101.0,,0.0,5538.0,605.0,55312.0,215.0,2444.0
2019-01-01 18:00,3209.0,,0.0,5748.0,602.0,55600.0,215.0,2596.0
2019-01-01 19:00,3111.0,,0.0,5400.0,601.0,55649.0,215.0,2772.0
2019-01-01 20:00,2898.0,,0.0,4977.0,598.0,55435.0,215.0,3018.0
2019-01-01 21:00,3164.0,,0.0,4757.0,601.0,55303.0,216.0,3014.0
2019-01-01 22:00,3167.0,,0.0,4047.0,602.0,55107.0,215.0,3011.0
2019-01-01 23:00,3177.0,,0.0,3521.0,604.0,54788.0,217.0,3356.0
2019-01-02 00:00,2886.0,,0.0,3126.0,605.0,54287.0,218.0,3417.0
2019-01-02 01:00,2887.0,,0.0,3066.0,604.0,53570.0,218.0,3359.0
2019-01-02 02:00,2843.0,,0.0,3049.0,602.0,51857.0,218.0,3281.0
2019-01-02 03:00,2903.0,,0.0,2900.0,599.0,51689.0,218.0,3147.0
2019-01-02 04:00,3205.0,,0.0,3043.0,599.0,53302.0,218.0,3146.0
2019-01-02 05:00,4068.0,,0.0,3689.0,599.0,54784.0,218.0,3072.0
2019-01-02 06:00,5430.0,,0.0,4251.0,598.0,55513.0,217.0,3138.0
2019-01-02 07:00,6582.0,,141.0,4711.0,597.0,55883.0,218.0,3179.0
2019-01-02 08:00,7188.0,,582.0,5621.0,597.0,56021.0,218.0,3069.0
2019-01-02 09:00,7447.0,,1432.0,5982.0,597.0,56033.0,218.0,2922.0
2019-01-02 10:00,7424.0,,2304.0,5660.0,596.0,56058.0,218.0,2772.0
2019-01-02 11:00,7380.0,,2788.0,5476.0,598.0,56039.0,218.0,2979.0
2019-01-02 12:00,7441.0,,2746.0,5041.0,601.0,55962.0,218.0,3161.0
2019-01-02 13:00,7544.0,,2325.0,4887.0,605.0,55971.0,218.0,3383.0
2019-01-02 14:00,7483.0,,1504.0,4784.0,609.0,55893.0,218.0,3427.0
2019-01-02 15:00,7472.0,,552.0,5422.0,609.0,55834.0,218.0,3380.0
