UTC time,solar,nuclear,nat_gas,other,oil,hydro,coal,wind
2019-01-01 00:00:00,7.0,4007.0,1902.0,0.0,0.0,0.0,169.0,0.0
2019-01-01 01:00:00,0.0,4008.0,2183.0,0.0,0.0,0.0,169.0,0.0
2019-01-01 02:00:00,0.0,4008.0,2058.0,0.0,0.0,0.0,194.0,0.0
2019-01-01 03:00:00,0.0,4005.0,1844.0,0.0,0.0,0.0,196.0,0.0
2019-01-01 04:00:00,0.0,4006.0,1814.0,0.0,0.0,0.0,194.0,0.0
2019-01-01 05:00:00,0.0,4008.0,1782.0,0.0,0.0,0.0,173.0,0.0
2019-01-01 06:00:00,0.0,4007.0,1740.0,0.0,0.0,0.0,193.0,0.0
2019-01-01 07:00:00,0.0,4009.0,1616.0,0.0,0.0,0.0,195.0,0.0
2019-01-01 08:00:00,0.0,4012.0,1269.0,0.0,0.0,0.0,196.0,0.0
2019-01-01 09:00:00,0.0,4004.0,1362.0,0.0,0.0,0.0,173.0,0.0
2019-01-01 10:00:00,0.0,4009.0,1386.0,0.0,0.0,0.0,172.0,0.0
2019-01-01 11:00:00,0.0,4010.0,1384.0,0.0,0.0,0.0,171.0,0.0
2019-01-01 12:00:00,0.0,4012.0,1322.0,0.0,0.0,0.0,171.0,0.0
2019-01-01 13:00:00,0.0,4016.0,1354.0,0.0,0.0,0.0,171.0,0.0
2019-01-01 14:00:00,0.0,4018.0,1505.0,0.0,0.0,0.0,172.0,0.0
2019-01-01 15:00:00,4.0,4012.0,1456.0,0.0,0.0,0.0,195.0,0.0
2019-01-01 16:00:00,161.0,4012.0,1464.0,0.0,0.0,0.0,225.0,0.0
2019-01-01 17:00:00,422.0,4014.0,4320.0,0.0,0.0,0.0,226.0,0.0
2019-01-01 18:00:00,500.0,4011.0,1225.0,0.0,0.0,0.0,226.0,0.0
2019-01-01 19:00:00,523.0,4011.0,4253.0,0.0,0.0,0.0,227.0,0.0
2019-01-01 20:00:00,527.0,4010.0,968.0,0.0,0.0,0.0,226.0,0.0
2019-01-01 21:00:00,542.0,4008.0,897.0,0.0,0.0,0.0,226.0,0.0
2019-01-01 22:00:00,553.0,4010.0,876.0,0.0,0.0,0.0,226.0,0.0
2019-01-01 23:00:00,457.0,4011.0,935.0,0.0,0.0,0.0,225.0,0.0
2019-01-02 00:00:00,220.0,4008.0,1073.0,0.0,0.0,0.0,228.0,0.0
2019-01-02 01:00:00,11.0,4010.0,1336.0,0.0,0.0,0.0,225.0,0.0
2019-01-02 02:00:00,0.0,4006.0,1651.0,0.0,0.0,0.0,227.0,0.0
2019-01-02 03:00:00,0.0,4006.0,1613.0,0.0,0.0,0.0,225.0,0.0
2019-01-02 04:00:00,0.0,4012.0,1646.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 05:00:00,0.0,4010.0,1466.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 06:00:00,0.0,4012.0,1314.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 07:00:00,0.0,4012.0,1200.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 08:00:00,0.0,4010.0,1238.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 09:00:00,0.0,4010.0,1331.0,0.0,0.0,0.0,227.0,0.0
2019-01-02 10:00:00,0.0,4016.0,1386.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 11:00:00,0.0,4015.0,1196.0,0.0,0.0,0.0,226.0,0.0
2019-01-02 12:00:00,0.0,4014.0,1305.0,0.0,0.0,0.0,226.0,0.0
