,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,nuclear,hydro,solar,wind,other
0,2023-08-03 00:00:00,2023-08-13 18:54:59,3.0,70.38,967.0,1127.0,8211.0,117.0,1138.0,177.0
1,2023-08-03 01:00:00,2023-08-13 18:54:59,3.0,68.07,967.0,1125.0,8571.0,79.0,1320.0,174.0
2,2023-08-03 02:00:00,2023-08-13 18:54:59,3.0,67.13,967.0,1124.0,8746.0,91.0,1431.0,178.0
3,2023-08-03 03:00:00,2023-08-13 18:54:59,3.0,66.69,969.0,1124.0,8927.0,50.0,1413.0,177.0
4,2023-08-03 04:00:00,2023-08-13 18:54:59,3.0,69.58,971.0,1126.0,8067.0,29.0,1489.0,178.0
5,2023-08-03 05:00:00,2023-08-13 18:54:59,3.0,72.57,972.0,1129.0,7183.0,17.0,1629.0,179.0
6,2023-08-03 06:00:00,2023-08-13 18:54:59,3.0,72.96,919.0,1131.0,6374.0,10.0,1763.0,171.0
7,2023-08-03 07:00:00,2023-08-13 18:54:59,3.0,78.32,919.0,1132.0,5372.0,0.0,1722.0,168.0
8,2023-08-03 08:00:00,2023-08-13 18:54:59,3.0,85.16,919.0,993.0,4705.0,8.0,1512.0,164.0
9,2023-08-03 09:00:00,2023-08-13 18:54:59,3.0,92.01,921.0,866.0,4306.0,0.0,1330.0,170.0
10,2023-08-03 10:00:00,2023-08-13 18:54:59,3.0,96.42,921.0,733.0,3875.0,0.0,1421.0,168.0
11,2023-08-03 11:00:00,2023-08-13 18:54:59,3.0,101.25,922.0,788.0,3496.0,0.0,1288.0,164.0
12,2023-08-03 12:00:00,2023-08-13 18:54:59,3.0,95.72,924.0,941.0,4038.0,0.0,1129.0,165.0
13,2023-08-03 13:00:00,2023-08-13 18:54:59,3.0,95.52,925.0,966.0,4173.0,0.0,1069.0,173.0
14,2023-08-03 14:00:00,2023-08-13 18:54:59,3.0,103.3,982.0,970.0,3789.0,18.0,1019.0,175.0
15,2023-08-03 15:00:00,2023-08-13 18:54:59,3.0,108.35,982.0,974.0,3619.0,79.0,756.0,174.0
16,2023-08-03 16:00:00,2023-08-13 18:54:59,3.0,103.03,981.0,975.0,4053.0,125.0,704.0,170.0
17,2023-08-03 17:00:00,2023-08-13 18:54:59,3.0,100.2,978.0,977.0,4546.0,121.0,506.0,172.0
18,2023-08-03 18:00:00,2023-08-13 18:54:59,3.0,101.59,976.0,979.0,4685.0,128.0,240.0,169.0
19,2023-08-03 19:00:00,2023-08-13 18:54:59,3.0,98.17,973.0,979.0,5123.0,119.0,127.0,167.0
20,2023-08-03 20:00:00,2023-08-13 18:54:59,3.0,93.78,972.0,981.0,5725.0,100.0,73.0,174.0
21,2023-08-03 21:00:00,2023-08-13 18:54:59,3.0,90.05,967.0,985.0,6140.0,80.0,64.0,171.0
22,2023-08-03 22:00:00,2023-08-13 18:54:59,3.0,86.41,964.0,927.0,6722.0,65.0,78.0,176.0
23,2023-08-03 23:00:00,2023-08-13 18:54:59,3.0,82.19,969.0,1066.0,7194.0,56.0,144.0,179.0
