UTC time,nat_gas,oil,hydro,solar,wind,other
2023-05-14 00:00:00,0.0,0.0,1627.0,205.0,287.0,27.0
2023-05-14 01:00:00,0.0,0.0,1668.0,202.0,224.0,27.0
2023-05-14 02:00:00,18.0,0.0,1641.0,123.0,278.0,32.0
2023-05-14 03:00:00,146.0,0.0,1653.0,20.0,209.0,31.0
2023-05-14 04:00:00,116.0,0.0,1638.0,0.0,188.0,33.0
2023-05-14 05:00:00,124.0,0.0,1635.0,0.0,273.0,28.0
2023-05-14 06:00:00,103.0,0.0,1620.0,0.0,201.0,32.0
2023-05-14 07:00:00,131.0,0.0,1609.0,0.0,190.0,28.0
2023-05-14 08:00:00,119.0,0.0,1611.0,0.0,287.0,36.0
2023-05-14 09:00:00,156.0,0.0,1614.0,0.0,314.0,37.0
2023-05-14 10:00:00,155.0,0.0,1609.0,0.0,281.0,37.0
2023-05-14 11:00:00,128.0,0.0,1609.0,0.0,230.0,36.0
2023-05-14 12:00:00,117.0,0.0,1639.0,0.0,233.0,41.0
2023-05-14 13:00:00,101.0,0.0,1631.0,3.0,259.0,37.0
2023-05-14 14:00:00,0.0,0.0,1631.0,20.0,236.0,40.0
2023-05-14 15:00:00,0.0,0.0,1572.0,70.0,237.0,41.0
2023-05-14 16:00:00,0.0,0.0,1437.0,168.0,129.0,37.0
2023-05-14 17:00:00,0.0,0.0,1460.0,169.0,205.0,36.0
2023-05-14 18:00:00,0.0,0.0,1432.0,240.0,362.0,38.0
2023-05-14 19:00:00,0.0,0.0,1433.0,199.0,444.0,34.0
2023-05-14 20:00:00,0.0,0.0,1445.0,175.0,448.0,40.0
2023-05-14 21:00:00,0.0,0.0,1459.0,209.0,420.0,35.0
2023-05-14 22:00:00,0.0,0.0,1497.0,241.0,445.0,37.0
2023-05-14 23:00:00,0.0,0.0,1629.0,138.0,441.0,36.0
