,Solar,Wind Onshore
2019-01-01 01:00:00+01:00,0.0,28.0
2019-01-01 01:15:00+01:00,0.0,28.0
2019-01-01 01:30:00+01:00,0.0,27.0
2019-01-01 01:45:00+01:00,0.0,26.0
2019-01-01 02:00:00+01:00,0.0,24.0
2019-01-01 02:15:00+01:00,0.0,21.0
2019-01-01 02:30:00+01:00,0.0,19.0
2019-01-01 02:45:00+01:00,0.0,15.0
2019-01-01 03:00:00+01:00,0.0,12.0
2019-01-01 03:15:00+01:00,0.0,9.0
2019-01-01 03:30:00+01:00,0.0,5.0
2019-01-01 03:45:00+01:00,0.0,3.0
2019-01-01 04:00:00+01:00,0.0,3.0
2019-01-01 04:15:00+01:00,0.0,2.0
2019-01-01 04:30:00+01:00,0.0,1.0
2019-01-01 04:45:00+01:00,0.0,1.0
2019-01-01 05:00:00+01:00,0.0,1.0
2019-01-01 05:15:00+01:00,0.0,2.0
2019-01-01 05:30:00+01:00,0.0,4.0
2019-01-01 05:45:00+01:00,0.0,7.0
2019-01-01 06:00:00+01:00,0.0,7.0
2019-01-01 06:15:00+01:00,0.0,8.0
2019-01-01 06:30:00+01:00,0.0,8.0
2019-01-01 06:45:00+01:00,0.0,10.0
2019-01-01 07:00:00+01:00,1.0,14.0
2019-01-01 07:15:00+01:00,7.0,20.0
2019-01-01 07:30:00+01:00,8.0,28.0
2019-01-01 07:45:00+01:00,13.0,39.0
2019-01-01 08:00:00+01:00,31.0,50.0
2019-01-01 08:15:00+01:00,41.0,60.0
2019-01-01 08:30:00+01:00,45.0,67.0
2019-01-01 08:45:00+01:00,51.0,73.0
2019-01-01 09:00:00+01:00,65.0,76.0
2019-01-01 09:15:00+01:00,71.0,75.0
2019-01-01 09:30:00+01:00,77.0,78.0
2019-01-01 09:45:00+01:00,88.0,81.0
2019-01-01 10:00:00+01:00,88.0,87.0
2019-01-01 10:15:00+01:00,94.0,93.0
2019-01-01 10:30:00+01:00,96.0,98.0
2019-01-01 10:45:00+01:00,98.0,98.0
2019-01-01 11:00:00+01:00,90.0,105.0
2019-01-01 11:15:00+01:00,92.0,103.0
2019-01-01 11:30:00+01:00,90.0,101.0
2019-01-01 11:45:00+01:00,88.0,94.0
2019-01-01 12:00:00+01:00,70.0,90.0
2019-01-01 12:15:00+01:00,69.0,92.0
2019-01-01 12:30:00+01:00,66.0,96.0
2019-01-01 12:45:00+01:00,62.0,102.0
2019-01-01 13:00:00+01:00,43.0,116.0
2019-01-01 13:15:00+01:00,40.0,128.0
2019-01-01 13:30:00+01:00,36.0,136.0
2019-01-01 13:45:00+01:00,34.0,144.0
2019-01-01 14:00:00+01:00,22.0,151.0
2019-01-01 14:15:00+01:00,19.0,155.0
2019-01-01 14:30:00+01:00,18.0,159.0
2019-01-01 14:45:00+01:00,15.0,165.0
2019-01-01 15:00:00+01:00,5.0,174.0
2019-01-01 15:15:00+01:00,4.0,182.0
2019-01-01 15:30:00+01:00,3.0,187.0
2019-01-01 15:45:00+01:00,2.0,193.0
2019-01-01 16:00:00+01:00,0.0,199.0
2019-01-01 16:15:00+01:00,0.0,203.0
2019-01-01 16:30:00+01:00,0.0,217.0
2019-01-01 16:45:00+01:00,0.0,224.0
2019-01-01 17:00:00+01:00,0.0,227.0
2019-01-01 17:15:00+01:00,0.0,218.0
2019-01-01 17:30:00+01:00,0.0,214.0
