UTC time,geothermal,oil,coal,unknown,hydro,biomass,solar,wind,nat_gas,nuclear
2023-01-09 01:00:00+01:00,24.0,8.0,8608.0,292.0,1216.0,5739.0,0.0,26923.0,2768.0,2410.0
2023-01-09 01:15:00+01:00,24.0,8.0,8328.0,292.0,1165.0,5713.0,0.0,26785.0,2761.0,2410.0
2023-01-09 01:30:00+01:00,24.0,8.0,8138.0,292.0,1142.0,5706.0,0.0,26595.0,2755.0,2410.0
2023-01-09 01:45:00+01:00,24.0,8.0,8080.0,291.0,1144.0,5701.0,0.0,26186.0,2776.0,2408.0
2023-01-09 02:00:00+01:00,24.0,8.0,8132.0,292.0,1142.0,5678.0,0.0,26643.0,2779.0,2408.0
2023-01-09 02:15:00+01:00,24.0,8.0,8125.0,292.0,1141.0,5674.0,0.0,27032.0,2788.0,2408.0
2023-01-09 02:30:00+01:00,24.0,8.0,8103.0,292.0,1140.0,5681.0,0.0,27030.0,2812.0,2408.0
2023-01-09 02:45:00+01:00,24.0,8.0,8093.0,292.0,1139.0,5649.0,0.0,26280.0,2793.0,2409.0
2023-01-09 03:00:00+01:00,24.0,8.0,8411.0,292.0,1165.0,5641.0,0.0,26066.0,2695.0,2409.0
2023-01-09 03:15:00+01:00,24.0,8.0,8449.0,292.0,1145.0,5634.0,0.0,26181.0,2728.0,2412.0
2023-01-09 03:30:00+01:00,24.0,8.0,8785.0,291.0,1145.0,5629.0,0.0,26416.0,2730.0,2411.0
2023-01-09 03:45:00+01:00,24.0,8.0,9259.0,292.0,1143.0,5609.0,0.0,26243.0,2747.0,2412.0
2023-01-09 04:00:00+01:00,24.0,8.0,9796.0,292.0,1169.0,5577.0,0.0,25875.0,2790.0,2410.0
2023-01-09 04:15:00+01:00,24.0,8.0,9949.0,292.0,1175.0,5587.0,0.0,25204.0,2804.0,2410.0
2023-01-09 04:30:00+01:00,24.0,8.0,10201.0,292.0,1175.0,5602.0,0.0,25365.0,2799.0,2408.0
