UTC time,oil,wind,biomass,nat_gas,solar,coal
2023-01-01 00:00,20.0,2493.0,404.0,110.0,0.0,223.0
2023-01-01 01:00,20.0,2371.0,454.0,118.0,0.0,230.0
2023-01-01 02:00,20.0,2287.0,485.0,117.0,0.0,228.0
2023-01-01 03:00,20.0,2164.0,470.0,115.0,0.0,231.0
2023-01-01 04:00,20.0,2149.0,492.0,115.0,0.0,226.0
2023-01-01 05:00,20.0,2193.0,405.0,115.0,0.0,226.0
2023-01-01 06:00,20.0,2475.0,328.0,114.0,0.0,225.0
2023-01-01 07:00,20.0,3138.0,332.0,113.0,0.0,225.0
2023-01-01 08:00,20.0,3695.0,357.0,114.0,11.0,227.0
2023-01-01 09:00,21.0,4104.0,342.0,116.0,64.0,230.0
2023-01-01 10:00,20.0,4008.0,346.0,115.0,120.0,228.0
2023-01-01 11:00,20.0,4302.0,351.0,114.0,169.0,227.0
2023-01-01 12:00,20.0,4051.0,365.0,114.0,143.0,324.0
2023-01-01 13:00,21.0,5104.0,361.0,115.0,95.0,334.0
2023-01-01 14:00,29.0,5103.0,374.0,124.0,27.0,356.0
2023-01-01 15:00,38.0,5083.0,361.0,139.0,0.0,448.0
2023-01-01 16:00,41.0,4986.0,468.0,175.0,0.0,572.0
2023-01-01 17:00,41.0,4668.0,515.0,174.0,0.0,591.0
2023-01-01 18:00,40.0,4458.0,473.0,146.0,0.0,471.0
2023-01-01 19:00,41.0,4153.0,390.0,146.0,0.0,441.0
2023-01-01 20:00,39.0,3861.0,433.0,139.0,0.0,412.0
2023-01-01 21:00,38.0,3683.0,418.0,137.0,0.0,380.0
2023-01-01 22:00,30.0,3199.0,424.0,136.0,0.0,369.0
2023-01-01 23:00,31.0,2565.0,443.0,150.0,0.0,368.0
2023-01-02 00:00,32.0,2102.0,416.0,151.0,0.0,366.0
2023-01-02 01:00,32.0,1875.0,422.0,151.0,0.0,365.0
2023-01-02 02:00,32.0,1709.0,404.0,151.0,0.0,367.0
2023-01-02 03:00,32.0,1332.0,410.0,153.0,0.0,379.0
2023-01-02 04:00,32.0,1212.0,562.0,154.0,0.0,426.0
2023-01-02 05:00,32.0,979.0,733.0,197.0,0.0,529.0
2023-01-02 06:00,38.0,1089.0,759.0,315.0,0.0,647.0
2023-01-02 07:00,45.0,1266.0,725.0,358.0,1.0,677.0
2023-01-02 08:00,46.0,1324.0,767.0,372.0,5.0,621.0
2023-01-02 09:00,47.0,1367.0,797.0,376.0,33.0,611.0
2023-01-02 10:00,46.0,1390.0,739.0,409.0,64.0,582.0
2023-01-02 11:00,47.0,1606.0,712.0,438.0,69.0,614.0
2023-01-02 12:00,48.0,1905.0,693.0,448.0,79.0,618.0
2023-01-02 13:00,48.0,2202.0,676.0,442.0,59.0,636.0
2023-01-02 14:00,48.0,2600.0,706.0,472.0,19.0,732.0
2023-01-02 15:00,51.0,2985.0,734.0,503.0,1.0,721.0
2023-01-02 16:00,51.0,3324.0,733.0,513.0,0.0,769.0
2023-01-02 17:00,51.0,3673.0,756.0,518.0,0.0,734.0
2023-01-02 18:00,49.0,3989.0,630.0,437.0,0.0,518.0
2023-01-02 19:00,44.0,4356.0,650.0,399.0,0.0,493.0
2023-01-02 20:00,42.0,4545.0,609.0,376.0,0.0,533.0
2023-01-02 21:00,41.0,4345.0,600.0,319.0,0.0,492.0
2023-01-02 22:00,41.0,4173.0,613.0,308.0,0.0,491.0
2023-01-02 23:00,33.0,4141.0,600.0,260.0,0.0,599.0
2023-01-03 00:00,33.0,4116.0,615.0,251.0,0.0,600.0
2023-01-03 01:00,33.0,4056.0,687.0,254.0,0.0,476.0
2023-01-03 02:00,34.0,3776.0,715.0,255.0,0.0,410.0
2023-01-03 03:00,35.0,3505.0,717.0,260.0,0.0,415.0
2023-01-03 04:00,35.0,3150.0,734.0,277.0,0.0,445.0
2023-01-03 05:00,37.0,2722.0,773.0,382.0,0.0,690.0
2023-01-03 06:00,44.0,2496.0,859.0,527.0,0.0,747.0
2023-01-03 07:00,52.0,2302.0,926.0,552.0,2.0,758.0
2023-01-03 08:00,52.0,2205.0,931.0,550.0,62.0,713.0
2023-01-03 09:00,52.0,2114.0,886.0,539.0,210.0,711.0
2023-01-03 10:00,52.0,1982.0,960.0,528.0,369.0,704.0
2023-01-03 11:00,50.0,2046.0,974.0,495.0,394.0,701.0
2023-01-03 12:00,49.0,1525.0,1007.0,547.0,330.0,787.0
2023-01-03 13:00,50.0,1343.0,1027.0,569.0,226.0,683.0
2023-01-03 14:00,51.0,1416.0,1065.0,590.0,53.0,739.0
2023-01-03 15:00,53.0,1614.0,1088.0,599.0,1.0,733.0
2023-01-03 16:00,53.0,1978.0,1092.0,628.0,0.0,741.0
2023-01-03 17:00,53.0,2235.0,1085.0,648.0,0.0,715.0
2023-01-03 18:00,50.0,2591.0,926.0,503.0,0.0,749.0
2023-01-03 19:00,49.0,2643.0,1027.0,518.0,0.0,784.0
2023-01-03 20:00,46.0,2841.0,973.0,377.0,0.0,694.0
2023-01-03 21:00,44.0,3075.0,911.0,288.0,0.0,588.0
2023-01-03 22:00,43.0,3439.0,820.0,267.0,0.0,519.0
2023-01-03 23:00,34.0,3889.0,677.0,209.0,0.0,498.0
2023-01-04 00:00,34.0,4298.0,651.0,205.0,0.0,379.0
2023-01-04 01:00,34.0,4687.0,445.0,198.0,0.0,345.0
2023-01-04 02:00,34.0,4972.0,459.0,181.0,0.0,326.0
2023-01-04 03:00,34.0,5050.0,447.0,177.0,0.0,322.0
2023-01-04 04:00,34.0,5242.0,538.0,179.0,0.0,323.0
2023-01-04 05:00,35.0,5305.0,621.0,207.0,0.0,348.0
2023-01-04 06:00,35.0,5203.0,709.0,222.0,0.0,391.0
2023-01-04 07:00,35.0,5010.0,862.0,249.0,0.0,441.0
2023-01-04 08:00,35.0,4929.0,764.0,249.0,3.0,432.0
2023-01-04 09:00,44.0,5091.0,760.0,266.0,19.0,441.0
2023-01-04 10:00,45.0,5201.0,771.0,245.0,47.0,432.0
2023-01-04 11:00,46.0,5114.0,627.0,244.0,59.0,440.0
2023-01-04 12:00,47.0,5123.0,609.0,271.0,51.0,443.0
2023-01-04 13:00,46.0,5080.0,592.0,235.0,32.0,440.0
2023-01-04 14:00,46.0,5107.0,614.0,239.0,8.0,443.0
2023-01-04 15:00,46.0,5187.0,631.0,220.0,0.0,440.0
2023-01-04 16:00,44.0,5373.0,667.0,242.0,0.0,406.0
2023-01-04 17:00,46.0,5488.0,637.0,236.0,0.0,397.0
2023-01-04 18:00,45.0,5623.0,619.0,217.0,0.0,384.0
2023-01-04 19:00,46.0,5672.0,584.0,225.0,0.0,374.0
2023-01-04 20:00,45.0,5627.0,575.0,200.0,0.0,338.0
2023-01-04 21:00,44.0,5446.0,520.0,190.0,0.0,328.0
2023-01-04 22:00,41.0,5228.0,441.0,179.0,0.0,322.0
2023-01-04 23:00,29.0,5025.0,470.0,148.0,0.0,265.0
2023-01-05 00:00,23.0,4967.0,463.0,128.0,0.0,201.0
2023-01-05 01:00,23.0,4858.0,444.0,130.0,0.0,197.0
2023-01-05 02:00,24.0,4747.0,449.0,133.0,0.0,201.0
2023-01-05 03:00,25.0,4727.0,594.0,127.0,0.0,207.0
2023-01-05 04:00,32.0,4728.0,648.0,147.0,0.0,228.0
2023-01-05 05:00,35.0,4699.0,695.0,188.0,0.0,193.0
2023-01-05 06:00,35.0,4442.0,787.0,260.0,0.0,280.0
2023-01-05 07:00,42.0,3770.0,924.0,386.0,1.0,304.0
2023-01-05 08:00,48.0,3310.0,987.0,460.0,35.0,446.0
2023-01-05 09:00,48.0,2824.0,966.0,458.0,138.0,446.0
2023-01-05 10:00,50.0,2331.0,992.0,504.0,248.0,504.0
2023-01-05 11:00,49.0,1968.0,1016.0,513.0,291.0,627.0
2023-01-05 12:00,50.0,1666.0,1020.0,542.0,234.0,656.0
2023-01-05 13:00,51.0,1245.0,998.0,560.0,143.0,641.0
2023-01-05 14:00,53.0,767.0,1013.0,598.0,39.0,670.0
2023-01-05 15:00,53.0,501.0,1026.0,618.0,1.0,720.0
2023-01-05 16:00,54.0,397.0,1055.0,603.0,0.0,692.0
2023-01-05 17:00,53.0,436.0,1056.0,586.0,0.0,652.0
2023-01-05 18:00,53.0,574.0,1034.0,580.0,0.0,707.0
2023-01-05 19:00,53.0,761.0,1030.0,563.0,0.0,676.0
2023-01-05 20:00,50.0,1097.0,1012.0,530.0,0.0,695.0
2023-01-05 21:00,49.0,1668.0,941.0,399.0,0.0,542.0
2023-01-05 22:00,48.0,2174.0,925.0,357.0,0.0,461.0
2023-01-05 23:00,44.0,2714.0,898.0,239.0,0.0,414.0
2023-01-06 00:00,36.0,3337.0,875.0,209.0,0.0,412.0
2023-01-06 01:00,30.0,4028.0,827.0,189.0,0.0,382.0
2023-01-06 02:00,29.0,4646.0,771.0,185.0,0.0,375.0
2023-01-06 03:00,28.0,5099.0,725.0,182.0,0.0,374.0
2023-01-06 04:00,33.0,5246.0,664.0,191.0,0.0,396.0
2023-01-06 05:00,36.0,5431.0,714.0,247.0,0.0,411.0
2023-01-06 06:00,39.0,5552.0,752.0,355.0,0.0,413.0
2023-01-06 07:00,42.0,5424.0,840.0,283.0,0.0,397.0
2023-01-06 08:00,41.0,5339.0,859.0,389.0,4.0,400.0
2023-01-06 09:00,40.0,4490.0,820.0,373.0,34.0,399.0
2023-01-06 10:00,42.0,4064.0,881.0,339.0,141.0,422.0
2023-01-06 11:00,46.0,4059.0,901.0,336.0,254.0,425.0
2023-01-06 12:00,47.0,3967.0,969.0,368.0,250.0,445.0
2023-01-06 13:00,47.0,4087.0,915.0,378.0,136.0,444.0
2023-01-06 14:00,47.0,4081.0,774.0,344.0,25.0,424.0
2023-01-06 15:00,48.0,3807.0,804.0,357.0,1.0,409.0
2023-01-06 16:00,47.0,3487.0,766.0,375.0,0.0,393.0
2023-01-06 17:00,46.0,3677.0,770.0,411.0,0.0,385.0
2023-01-06 18:00,42.0,3256.0,809.0,305.0,0.0,367.0
2023-01-06 19:00,44.0,3199.0,777.0,360.0,0.0,390.0
2023-01-06 20:00,46.0,2940.0,795.0,328.0,0.0,483.0
2023-01-06 21:00,47.0,2876.0,828.0,347.0,0.0,498.0
2023-01-06 22:00,49.0,2728.0,758.0,360.0,0.0,514.0
2023-01-06 23:00,40.0,2222.0,850.0,266.0,0.0,573.0
2023-01-07 00:00,35.0,1826.0,826.0,238.0,0.0,567.0
2023-01-07 01:00,35.0,1818.0,745.0,233.0,0.0,567.0
2023-01-07 02:00,35.0,1852.0,656.0,228.0,0.0,559.0
2023-01-07 03:00,35.0,2139.0,583.0,223.0,0.0,481.0
2023-01-07 04:00,35.0,2253.0,633.0,225.0,0.0,492.0
2023-01-07 05:00,36.0,2300.0,714.0,230.0,0.0,494.0
2023-01-07 06:00,40.0,2425.0,752.0,257.0,0.0,490.0
2023-01-07 07:00,47.0,2575.0,915.0,271.0,1.0,588.0
2023-01-07 08:00,47.0,2899.0,896.0,248.0,11.0,589.0
2023-01-07 09:00,46.0,3333.0,920.0,272.0,40.0,544.0
2023-01-07 10:00,46.0,3575.0,928.0,261.0,58.0,528.0
2023-01-07 11:00,47.0,3847.0,911.0,271.0,65.0,541.0
2023-01-07 12:00,46.0,3926.0,872.0,246.0,61.0,519.0
2023-01-07 13:00,45.0,3805.0,824.0,248.0,49.0,596.0
2023-01-07 14:00,46.0,3557.0,871.0,230.0,20.0,588.0
2023-01-07 15:00,47.0,3553.0,846.0,236.0,0.0,570.0
2023-01-07 16:00,48.0,3586.0,908.0,272.0,0.0,579.0
