UTC time,coal,nat_gas,hydro,solar,wind,other
2023-08-10 00:00:00,3669.0,1467.0,192.0,1107.0,1091.0,116.0
2023-08-10 01:00:00,3951.0,1674.0,194.0,783.0,1134.0,118.0
2023-08-10 02:00:00,4317.0,1701.0,193.0,224.0,950.0,120.0
2023-08-10 03:00:00,4649.0,1710.0,194.0,14.0,746.0,124.0
2023-08-10 04:00:00,4752.0,1723.0,193.0,0.0,667.0,127.0
2023-08-10 05:00:00,4661.0,1692.0,190.0,0.0,704.0,127.0
2023-08-10 06:00:00,4511.0,1675.0,195.0,0.0,729.0,131.0
2023-08-10 07:00:00,4246.0,1418.0,193.0,0.0,843.0,129.0
2023-08-10 08:00:00,3748.0,1304.0,194.0,0.0,1103.0,132.0
2023-08-10 09:00:00,3417.0,1193.0,193.0,0.0,1313.0,130.0
2023-08-10 10:00:00,3341.0,1146.0,192.0,0.0,1396.0,129.0
2023-08-10 11:00:00,3221.0,1154.0,195.0,0.0,1481.0,132.0
2023-08-10 12:00:00,3218.0,1159.0,195.0,0.0,1468.0,130.0
2023-08-10 13:00:00,3136.0,1286.0,195.0,4.0,1471.0,131.0
2023-08-10 14:00:00,3391.0,1320.0,191.0,183.0,1197.0,127.0
2023-08-10 15:00:00,3776.0,1254.0,195.0,802.0,725.0,127.0
2023-08-10 16:00:00,3866.0,1280.0,194.0,1279.0,602.0,125.0
2023-08-10 17:00:00,3879.0,1333.0,193.0,1445.0,671.0,121.0
2023-08-10 18:00:00,3898.0,1334.0,192.0,1398.0,900.0,119.0
2023-08-10 19:00:00,3406.0,1318.0,189.0,1273.0,1447.0,118.0
2023-08-10 20:00:00,3032.0,1359.0,192.0,1084.0,1954.0,116.0
2023-08-10 21:00:00,2930.0,1395.0,188.0,709.0,2152.0,116.0
2023-08-10 22:00:00,3004.0,1420.0,189.0,949.0,2382.0,118.0
2023-08-10 23:00:00,3027.0,1454.0,187.0,1128.0,2449.0,86.0
