Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
41808,2023-10-09 00:00:00,2024-07-17 00:00:00,3.1,522.27,3667.0,1017.0,74.0,982.0,330.0,132.0
41809,2023-10-09 01:00:00,2024-07-17 00:00:00,3.1,605.76,3932.0,1034.0,73.0,175.0,344.0,132.0
41810,2023-10-09 02:00:00,2024-07-17 00:00:00,3.1,621.25,4003.0,1063.0,76.0,0.0,378.0,136.0
41811,2023-10-09 03:00:00,2024-07-17 00:00:00,3.1,621.92,3766.0,1088.0,72.0,0.0,313.0,138.0
41812,2023-10-09 04:00:00,2024-07-17 00:00:00,3.1,626.52,3719.0,1101.0,76.0,0.0,254.0,140.0
41813,2023-10-09 05:00:00,2024-07-17 00:00:00,3.1,612.2,3603.0,1050.0,75.0,0.0,371.0,139.0
41814,2023-10-09 06:00:00,2024-07-17 00:00:00,3.1,596.42,3425.0,1007.0,73.0,0.0,479.0,142.0
41815,2023-10-09 07:00:00,2024-07-17 00:00:00,3.1,595.29,3259.0,914.0,74.0,0.0,477.0,142.0
41816,2023-10-09 08:00:00,2024-07-17 00:00:00,3.1,586.23,3061.0,964.0,75.0,0.0,474.0,143.0
41817,2023-10-09 09:00:00,2024-07-17 00:00:00,3.1,596.58,3057.0,980.0,73.0,0.0,387.0,144.0
41818,2023-10-09 10:00:00,2024-07-17 00:00:00,3.1,608.53,3050.0,965.0,75.0,0.0,298.0,144.0
41819,2023-10-09 11:00:00,2024-07-17 00:00:00,3.1,599.93,3008.0,975.0,74.0,0.0,349.0,142.0
41820,2023-10-09 12:00:00,2024-07-17 00:00:00,3.1,581.36,2876.0,977.0,75.0,0.0,452.0,141.0
41821,2023-10-09 13:00:00,2024-07-17 00:00:00,3.1,585.08,3231.0,967.0,74.0,0.0,534.0,142.0
41822,2023-10-09 14:00:00,2024-07-17 00:00:00,3.1,585.81,3401.0,971.0,76.0,16.0,559.0,138.0
41823,2023-10-09 15:00:00,2024-07-17 00:00:00,3.1,529.42,3260.0,930.0,71.0,590.0,491.0,142.0
41824,2023-10-09 16:00:00,2024-07-17 00:00:00,3.1,457.9,3115.0,842.0,69.0,1343.0,517.0,139.0
41825,2023-10-09 17:00:00,2024-07-17 00:00:00,3.1,438.54,2999.0,859.0,69.0,1479.0,559.0,138.0
41826,2023-10-09 18:00:00,2024-07-17 00:00:00,3.1,448.82,2993.0,950.0,70.0,1464.0,412.0,134.0
41827,2023-10-09 19:00:00,2024-07-17 00:00:00,3.1,457.97,3009.0,965.0,70.0,1416.0,347.0,133.0
41828,2023-10-09 20:00:00,2024-07-17 00:00:00,3.1,458.12,3088.0,954.0,67.0,1397.0,420.0,128.0
41829,2023-10-09 21:00:00,2024-07-17 00:00:00,3.1,459.32,3158.0,962.0,67.0,1369.0,476.0,126.0
41830,2023-10-09 22:00:00,2024-07-17 00:00:00,3.1,471.37,3235.0,967.0,67.0,1241.0,493.0,128.0
41831,2023-10-09 23:00:00,2024-07-17 00:00:00,3.1,486.62,3441.0,990.0,69.0,1298.0,352.0,127.0
