UTC time,nat_gas,coal,solar,hydro,biomass,oil,unknown,geothermal,wind
2019-01-01 00:00:00,8389.0,2090.0,0.0,1853.0,542.0,8.0,3092.0,673.0,5088.0
2019-01-01 01:00:00,7863.0,2177.0,0.0,1777.0,535.0,8.0,2859.0,673.0,5086.0
2019-01-01 02:00:00,6806.0,1827.0,0.0,1607.0,544.0,8.0,2452.0,672.0,5131.0
2019-01-01 03:00:00,6569.0,1714.0,0.0,1599.0,547.0,8.0,2376.0,674.0,5235.0
2019-01-01 04:00:00,6949.0,1712.0,0.0,1601.0,543.0,8.0,2545.0,674.0,4950.0
2019-01-01 05:00:00,6770.0,1717.0,0.0,1573.0,544.0,8.0,2746.0,674.0,4741.0
2019-01-01 06:00:00,6643.0,1713.0,44.0,1679.0,544.0,8.0,2468.0,673.0,4418.0
2019-01-01 07:00:00,5949.0,1706.0,1052.0,2149.0,552.0,8.0,2283.0,672.0,4210.0
2019-01-01 08:00:00,5983.0,1725.0,2840.0,2287.0,547.0,8.0,2169.0,673.0,3656.0
2019-01-01 09:00:00,5946.0,1777.0,4601.0,2287.0,554.0,8.0,2108.0,673.0,3262.0
2019-01-01 10:00:00,5903.0,1726.0,5270.0,2024.0,556.0,8.0,2188.0,673.0,3477.0
2019-01-01 11:00:00,6277.0,1739.0,5453.0,1953.0,567.0,8.0,2459.0,670.0,3892.0
2019-01-01 12:00:00,6570.0,1729.0,4925.0,1904.0,569.0,8.0,2374.0,669.0,3460.0
2019-01-01 13:00:00,6293.0,1819.0,3427.0,1801.0,559.0,8.0,2234.0,667.0,3213.0
2019-01-01 14:00:00,6702.0,1766.0,1788.0,1931.0,560.0,8.0,2588.0,668.0,3308.0
2019-01-01 15:00:00,8450.0,1773.0,225.0,3024.0,554.0,19.0,2853.0,669.0,3468.0
2019-01-01 16:00:00,9667.0,1765.0,1.0,4525.0,560.0,58.0,2989.0,671.0,3078.0
2019-01-01 17:00:00,10030.0,1767.0,0.0,4806.0,559.0,67.0,3018.0,673.0,3058.0
2019-01-01 18:00:00,10211.0,1754.0,0.0,5227.0,559.0,67.0,3019.0,671.0,3124.0
2019-01-01 19:00:00,10533.0,1804.0,0.0,4339.0,559.0,67.0,2886.0,669.0,3091.0
2019-01-01 20:00:00,10802.0,1820.0,0.0,3335.0,545.0,67.0,2877.0,669.0,2923.0
2019-01-01 21:00:00,11059.0,1768.0,0.0,2741.0,533.0,67.0,2769.0,669.0,2674.0
2019-01-01 22:00:00,9704.0,1751.0,0.0,2183.0,548.0,66.0,2644.0,668.0,2362.0
2019-01-01 23:00:00,9704.0,1753.0,0.0,1718.0,556.0,66.0,2701.0,666.0,2202.0
2019-01-02 00:00:00,9046.5,1724.0,0.0,1524.0,555.0,67.0,2490.0,667.0,2255.0
2019-01-02 01:00:00,8454.75,1712.0,0.0,1466.0,562.0,67.0,2407.0,666.0,2412.0
2019-01-02 02:00:00,7630.375,1689.0,0.0,1438.0,559.0,67.0,2281.0,666.0,2719.0
2019-01-02 03:00:00,7099.6875,1690.0,0.0,1489.0,557.0,67.0,2302.0,666.0,3179.0
2019-01-02 04:00:00,7024.34375,1742.0,0.0,1510.0,556.0,66.0,2572.0,667.0,3248.0
2019-01-02 05:00:00,6897.171875,1835.0,0.0,1571.0,557.0,67.0,2999.0,667.0,2904.0
