,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,avg_hydro_production_forecast
0,01/01/2019 00:00:00,2018-12-31 19:00:00,333.91,21583,20812,34730,212,3085,0
1,01/01/2019 01:00:00,2018-12-31 20:00:00,321.18,19669,19521,34721,208,2752,0
2,01/01/2019 02:00:00,2018-12-31 21:00:00,312.63,17977,18895,34714,208,2209,0
3,01/01/2019 03:00:00,2018-12-31 22:00:00,301.13,16935,16246,34729,210,2145,0
4,01/01/2019 04:00:00,2018-12-31 23:00:00,295.38,16538,14611,34705,209,2169,0
5,01/01/2019 05:00:00,2019-01-01 00:00:00,326.92,19304,18121,34845,211,2065,0
6,01/01/2019 06:00:00,2019-01-01 01:00:00,289.88,16197,12246,34702,212,2040,0
7,01/01/2019 07:00:00,2019-01-01 02:00:00,288.34,16036,11683,34689,217,2055,0
8,01/01/2019 08:00:00,2019-01-01 03:00:00,288.14,15941,11174,34671,219,2049,0
9,01/01/2019 09:00:00,2019-01-01 04:00:00,286.09,15649,10977,34677,221,2042,0
10,01/01/2019 10:00:00,2019-01-01 05:00:00,288.78,15750,11231,34680,222,2042,0
11,01/01/2019 11:00:00,2019-01-01 06:00:00,294.12,15772,12484,34699,222,2124,0
12,01/01/2019 12:00:00,2019-01-01 07:00:00,297.68,16117,12691,34707,218,2163,0
13,01/01/2019 13:00:00,2019-01-01 08:00:00,302.17,16146,14114,34720,224,2164,0
14,01/01/2019 14:00:00,2019-01-01 09:00:00,309.44,16657,16095,34701,82,2358,0
15,01/01/2019 15:00:00,2019-01-01 10:00:00,318.81,18056,16375,34711,80,2363,0
16,01/01/2019 16:00:00,2019-01-01 11:00:00,330.16,19566,16710,34725,78,2196,0
17,01/01/2019 17:00:00,2019-01-01 12:00:00,330.75,19515,16899,34735,79,2199,0
18,01/01/2019 18:00:00,2019-01-01 13:00:00,326.37,18864,16691,34742,79,2170,0
19,01/01/2019 19:00:00,2019-01-01 14:00:00,325.5,18432,17205,34742,78,2173,0
20,01/01/2019 20:00:00,2019-01-01 15:00:00,325.15,18064,17452,34742,77,2173,0
21,01/01/2019 21:00:00,2019-01-01 16:00:00,332.88,18866,18721,34760,76,2578,0
22,01/01/2019 22:00:00,2019-01-01 17:00:00,352.12,21201,22525,34724,74,3200,0
23,01/01/2019 23:00:00,2019-01-01 18:00:00,357.01,22540,22672,34755,72,3918,0
24,01/02/2019 00:00:00,2019-01-01 19:00:00,356.88,22649,21944,34758,70,3979,0
25,01/02/2019 01:00:00,2019-01-01 20:00:00,352.35,21352,21762,34755,70,3478,0
26,01/02/2019 02:00:00,2019-01-01 21:00:00,362.56,22390,22629,34776,73,2944,0
27,01/02/2019 03:00:00,2019-01-01 22:00:00,360.85,22082,20378,34765,75,2164,0
28,01/02/2019 04:00:00,2019-01-01 23:00:00,344.07,20486,16181,34758,73,2168,0
29,01/02/2019 05:00:00,2019-01-02 00:00:00,291.18,16101,13479,34710,211,2100,0
30,01/02/2019 06:00:00,2019-01-02 01:00:00,331.94,18332,17006,34798,77,2062,0
31,01/02/2019 07:00:00,2019-01-02 02:00:00,330.8,18213,16858,34782,80,2058,0
32,01/02/2019 08:00:00,2019-01-02 03:00:00,330.16,18048,16948,34793,83,2036,0
33,01/02/2019 09:00:00,2019-01-02 04:00:00,329.08,17720,17408,34767,87,2038,0
34,01/02/2019 10:00:00,2019-01-02 05:00:00,342.04,18631,20925,34788,86,2080,0
35,01/02/2019 11:00:00,2019-01-02 06:00:00,357.86,20477,24826,34784,85,2584,0
36,01/02/2019 12:00:00,2019-01-02 07:00:00,376.78,23632,27732,34782,86,3024,0
37,01/02/2019 13:00:00,2019-01-02 08:00:00,377.48,24056,27461,34809,89,3056,0
38,01/02/2019 14:00:00,2019-01-02 09:00:00,375.83,23932,27966,34791,87,3185,0
39,01/02/2019 15:00:00,2019-01-02 10:00:00,377.14,24188,29230,34792,81,3502,0
40,01/02/2019 16:00:00,2019-01-02 11:00:00,378.41,23994,29499,34798,80,2523,0
41,01/02/2019 17:00:00,2019-01-02 12:00:00,372.59,23391,28529,34792,76,2152,0
42,01/02/2019 18:00:00,2019-01-02 13:00:00,371.78,23517,28848,34773,76,2163,0
43,01/02/2019 19:00:00,2019-01-02 14:00:00,366.8,22849,28526,34782,124,2138,0
44,01/02/2019 20:00:00,2019-01-02 15:00:00,359.53,22076,27517,34782,150,2136,0
45,01/02/2019 21:00:00,2019-01-02 16:00:00,361.93,22757,28708,34782,168,2881,0
46,01/02/2019 22:00:00,2019-01-02 17:00:00,359.26,23967,29493,34766,184,5586,0
47,01/02/2019 23:00:00,2019-01-02 18:00:00,358.67,24311,29728,34748,184,6147,0
48,01/03/2019 00:00:00,2019-01-02 19:00:00,361.75,23914,29209,34756,197,4378,0
49,01/03/2019 01:00:00,2019-01-02 20:00:00,357.93,23480,28621,34752,203,4813,0
50,01/03/2019 02:00:00,2019-01-02 21:00:00,361.18,22382,27492,34622,212,2167,0
51,01/03/2019 03:00:00,2019-01-02 22:00:00,350.08,21096,24211,34559,214,2164,0
52,01/03/2019 04:00:00,2019-01-02 23:00:00,340.38,20243,20407,34606,217,2143,0
53,01/03/2019 05:00:00,2019-01-03 00:00:00,332.15,18394,16882,34771,76,2082,0
54,01/03/2019 06:00:00,2019-01-03 01:00:00,321.02,18013,17143,34753,215,1994,0
55,01/03/2019 07:00:00,2019-01-03 02:00:00,318.64,17774,16803,34761,221,1995,0
56,01/03/2019 08:00:00,2019-01-03 03:00:00,315.4,17587,16519,34795,223,1996,0
57,01/03/2019 09:00:00,2019-01-03 04:00:00,317.29,17767,16746,34767,223,1996,0
58,01/03/2019 10:00:00,2019-01-03 05:00:00,324.44,18329,18248,34786,226,2044,0
59,01/03/2019 11:00:00,2019-01-03 06:00:00,336.57,19147,22958,34770,225,2756,0
