,UTC time,Local time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other,avg_coal_production_forecast
0,01/01/2019 00:00:00,2018-12-31 19:00:00,333.91,21583,20812,34730,212,3085,4,5816,568,0
1,01/01/2019 01:00:00,2018-12-31 20:00:00,321.18,19669,19521,34721,208,2752,4,5912,562,0
2,01/01/2019 02:00:00,2018-12-31 21:00:00,312.63,17977,18895,34714,208,2209,4,5597,568,0
3,01/01/2019 03:00:00,2018-12-31 22:00:00,301.13,16935,16246,34729,210,2145,4,5232,567,0
4,01/01/2019 04:00:00,2018-12-31 23:00:00,295.38,16538,14611,34705,209,2169,4,4903,556,0
5,01/01/2019 05:00:00,2019-01-01 00:00:00,326.92,19304,18121,34845,211,2065,4,3640,558,0
6,01/01/2019 06:00:00,2019-01-01 01:00:00,289.88,16197,12246,34702,212,2040,4,4139,554,0
7,01/01/2019 07:00:00,2019-01-01 02:00:00,288.34,16036,11683,34689,217,2055,4,3831,564,0
8,01/01/2019 08:00:00,2019-01-01 03:00:00,288.14,15941,11174,34671,219,2049,4,3388,588,0
9,01/01/2019 09:00:00,2019-01-01 04:00:00,286.09,15649,10977,34677,221,2042,4,3164,573,0
10,01/01/2019 10:00:00,2019-01-01 05:00:00,288.78,15750,11231,34680,222,2042,4,2904,585,0
11,01/01/2019 11:00:00,2019-01-01 06:00:00,294.12,15772,12484,34699,222,2124,4,2445,585,0
12,01/01/2019 12:00:00,2019-01-01 07:00:00,297.68,16117,12691,34707,218,2163,4,2310,583,0
13,01/01/2019 13:00:00,2019-01-01 08:00:00,302.17,16146,14114,34720,224,2164,45,2190,594,0
14,01/01/2019 14:00:00,2019-01-01 09:00:00,309.44,16657,16095,34701,82,2358,106,2171,595,0
15,01/01/2019 15:00:00,2019-01-01 10:00:00,318.81,18056,16375,34711,80,2363,243,2239,584,0
16,01/01/2019 16:00:00,2019-01-01 11:00:00,330.16,19566,16710,34725,78,2196,305,2156,582,0
17,01/01/2019 17:00:00,2019-01-01 12:00:00,330.75,19515,16899,34735,79,2199,343,1972,570,0
18,01/01/2019 18:00:00,2019-01-01 13:00:00,326.37,18864,16691,34742,79,2170,339,1928,570,0
19,01/01/2019 19:00:00,2019-01-01 14:00:00,325.5,18432,17205,34742,78,2173,182,1860,568,0
20,01/01/2019 20:00:00,2019-01-01 15:00:00,325.15,18064,17452,34742,77,2173,90,1574,568,0
21,01/01/2019 21:00:00,2019-01-01 16:00:00,332.88,18866,18721,34760,76,2578,20,1274,572,0
22,01/01/2019 22:00:00,2019-01-01 17:00:00,352.12,21201,22525,34724,74,3200,7,1109,556,0
23,01/01/2019 23:00:00,2019-01-01 18:00:00,357.01,22540,22672,34755,72,3918,7,1060,560,0
24,01/02/2019 00:00:00,2019-01-01 19:00:00,356.88,22649,21944,34758,70,3979,7,915,582,0
25,01/02/2019 01:00:00,2019-01-01 20:00:00,352.35,21352,21762,34755,70,3478,7,670,575,0
26,01/02/2019 02:00:00,2019-01-01 21:00:00,362.56,22390,22629,34776,73,2944,7,437,582,0
27,01/02/2019 03:00:00,2019-01-01 22:00:00,360.85,22082,20378,34765,75,2164,7,372,580,0
28,01/02/2019 04:00:00,2019-01-01 23:00:00,344.07,20486,16181,34758,73,2168,7,297,572,0
29,01/02/2019 05:00:00,2019-01-02 00:00:00,291.18,16101,13479,34710,211,2100,4,4446,557,0
30,01/02/2019 06:00:00,2019-01-02 01:00:00,331.94,18332,17006,34798,77,2062,7,301,563,0
31,01/02/2019 07:00:00,2019-01-02 02:00:00,330.8,18213,16858,34782,80,2058,7,338,572,0
32,01/02/2019 08:00:00,2019-01-02 03:00:00,330.16,18048,16948,34793,83,2036,7,295,576,0
33,01/02/2019 09:00:00,2019-01-02 04:00:00,329.08,17720,17408,34767,87,2038,7,296,575,0
34,01/02/2019 10:00:00,2019-01-02 05:00:00,342.04,18631,20925,34788,86,2080,7,278,585,0
