Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
39696,2023-07-13 00:00:00,250.68,1416.0,11797.0,13.0,4808.0,0.0,3705.0,1051.0,584.0,1274.0
39697,2023-07-13 01:00:00,248.99,1408.0,11539.0,13.0,4907.0,0.0,3610.0,1060.0,584.0,1264.0
39698,2023-07-13 02:00:00,248.55,1420.0,11417.0,13.0,4819.0,0.0,3728.0,1053.0,582.0,1274.0
39699,2023-07-13 03:00:00,250.46,1381.0,12076.0,13.0,4831.0,4.0,3814.0,1059.0,581.0,1318.0
39700,2023-07-13 04:00:00,260.17,1348.0,15932.0,13.0,5302.0,430.0,3979.0,1051.0,581.0,1670.0
39701,2023-07-13 05:00:00,253.0,1443.0,18739.0,13.0,6061.0,2081.0,4040.0,1026.0,580.0,1746.0
39702,2023-07-13 06:00:00,245.12,1469.0,19065.0,13.0,5987.0,3953.0,3715.0,1008.0,579.0,1809.0
39703,2023-07-13 07:00:00,239.67,1492.0,19250.0,13.0,6040.0,5321.0,3279.0,1002.0,575.0,1787.0
39704,2023-07-13 08:00:00,239.11,1508.0,19324.0,13.0,5849.0,5764.0,3168.0,991.0,570.0,1758.0
39705,2023-07-13 09:00:00,237.43,1495.0,18876.0,19.0,5611.0,5841.0,3336.0,965.0,573.0,1746.0
39706,2023-07-13 10:00:00,223.94,1478.0,16846.0,13.0,4914.0,7044.0,3648.0,963.0,573.0,1662.0
39707,2023-07-13 11:00:00,209.08,1495.0,15917.0,17.0,4872.0,8755.0,3967.0,960.0,572.0,1668.0
39708,2023-07-13 12:00:00,207.09,1489.0,16245.0,17.0,5178.0,9232.0,3903.0,968.0,573.0,1735.0
39709,2023-07-13 13:00:00,219.06,1499.0,17761.0,19.0,5438.0,8305.0,3718.0,964.0,569.0,1870.0
39710,2023-07-13 14:00:00,224.58,1522.0,19221.0,14.0,6129.0,7846.0,3582.0,977.0,562.0,1929.0
39711,2023-07-13 15:00:00,233.32,1697.0,19580.0,19.0,6769.0,6450.0,3412.0,958.0,561.0,1936.0
39712,2023-07-13 16:00:00,248.54,1617.0,20099.0,14.0,7205.0,3580.0,3349.0,1001.0,569.0,1938.0
39713,2023-07-13 17:00:00,261.53,1597.0,20808.0,13.0,8104.0,1055.0,3280.0,1001.0,572.0,1945.0
39714,2023-07-13 18:00:00,270.22,1633.0,21283.0,13.0,8296.0,90.0,3098.0,1004.0,572.0,1981.0
39715,2023-07-13 19:00:00,270.54,1428.0,21527.0,13.0,8054.0,0.0,3060.0,1001.0,572.0,1940.0
39716,2023-07-13 20:00:00,273.24,1390.0,21589.0,13.0,7495.0,0.0,3116.0,1018.0,582.0,1887.0
39717,2023-07-13 21:00:00,278.96,1388.0,20262.0,13.0,6351.0,0.0,2966.0,1004.0,593.0,1792.0
39718,2023-07-13 22:00:00,265.12,1382.0,14368.0,13.0,5708.0,0.0,2935.0,1016.0,594.0,1696.0
39719,2023-07-13 23:00:00,261.35,1371.0,12194.0,13.0,5167.0,0.0,2838.0,1022.0,595.0,1608.0
