Interval,UTC Time,Next Time,Time Difference
30.0,2019-05-17 09:00:00+00:00,2019-05-17 10:00:00+00:00,0 days 01:00:00
30.0,2019-05-17 14:30:00+00:00,2019-05-17 15:30:00+00:00,0 days 01:00:00
30.0,2019-05-17 17:30:00+00:00,2019-05-17 18:30:00+00:00,0 days 01:00:00
30.0,2019-05-18 00:30:00+00:00,2019-05-18 01:30:00+00:00,0 days 01:00:00
30.0,2019-05-18 03:00:00+00:00,2019-05-18 04:00:00+00:00,0 days 01:00:00
30.0,2019-05-18 04:30:00+00:00,2019-05-18 05:30:00+00:00,0 days 01:00:00
30.0,2019-05-18 06:00:00+00:00,2019-05-18 07:00:00+00:00,0 days 01:00:00
30.0,2019-05-18 21:30:00+00:00,2019-05-18 22:30:00+00:00,0 days 01:00:00
30.0,2019-05-18 23:30:00+00:00,2019-05-19 00:30:00+00:00,0 days 01:00:00
30.0,2019-05-19 00:30:00+00:00,2019-05-19 01:30:00+00:00,0 days 01:00:00
30.0,2019-05-19 09:30:00+00:00,2019-05-19 10:30:00+00:00,0 days 01:00:00
30.0,2019-05-19 14:30:00+00:00,2019-05-19 15:30:00+00:00,0 days 01:00:00
30.0,2019-05-19 16:00:00+00:00,2019-05-19 17:00:00+00:00,0 days 01:00:00
