,UTC time,carbon_intensity,biomass,hydro,coal,nat_gas,nuclear,unknown,wind,solar,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_wind_production_forecast,avg_nat_gas_production_forecast,avg_biomass_production_forecast,avg_hydro_production_forecast
8760,2020-01-01 00:00:00,220.91,4713,1358,1341,15992,13912,246,9973,0,9.95418100520569,280.887242056492,278.658744721414,0,0.048775961697187,16779.172,10328.388,3921.48,1170.3314
8761,2020-01-01 01:00:00,224.23,4712,1334,1339,16551,13902,247,9960,0,11.0227595030033,280.987061667276,278.754537280975,0,0.027996153065428,18572.047,7926.753,3847.6968,1102.377
8762,2020-01-01 02:00:00,217.53,4720,1142,1336,14867,13898,242,9460,0,11.0227595030033,280.987061667276,278.754537280975,0,0.027996153065428,18862.979,7048.0903,3707.2754,1054.4387
8763,2020-01-01 03:00:00,216.45,4711,1076,1341,14233,13908,242,8922,0,11.0227595030033,280.987061667276,278.754537280975,0,0.027996153065428,19731.98,5058.8584,3696.1538,989.14404
8764,2020-01-01 04:00:00,215.23,4709,873,1339,14004,13905,245,9074,0,11.3381985398408,281.287218451044,279.115740405289,0,0.225642002480007,19726.902,6082.01,3871.4705,1005.8927
8765,2020-01-01 05:00:00,204.96,4692,911,1339,12996,13925,245,9872,0,11.3381985398408,281.287218451044,279.115740405289,0,0.225642002480007,20670.43,6908.033,4021.4143,1145.9642
8766,2020-01-01 06:00:00,200.82,4659,963,1340,12337,13922,247,9786,0,11.3381985398408,281.287218451044,279.115740405289,0,0.225642002480007,20722.836,10406.658,4184.784,1262.9803
8767,2020-01-01 07:00:00,206.86,4548,1022,1342,12910,13919,252,9233,0,11.3448064248546,281.620753055931,279.587068989795,0.210079440641228,0.429837304093112,21226.133,15307.38,4465.36,1364.3347
8768,2020-01-01 08:00:00,214.37,4704,1193,1418,13625,13919,243,8661,2,11.3448064248546,281.620753055931,279.587068989795,0.210079440641228,0.429837304093112,22698.11,17730.477,4535.8154,1454.529
8769,2020-01-01 09:00:00,232.66,4644,1528,2191,14932,13906,248,8124,239,11.3448064248546,281.620753055931,279.587068989795,0.210079440641228,0.429837304093112,22595.51,19409.797,4501.9775,1500.3735
8770,2020-01-01 10:00:00,253.5,4684,1693,2551,19371,13907,245,8339,1230,11.8824865074786,282.261154276544,280.085594754997,23.1350619357106,1.05790131575543,23354.361,21909.45,4731.039,1527.9003
8771,2020-01-01 11:00:00,255.06,4724,1689,2901,20768,13915,249,9568,1919,11.8824865074786,282.261154276544,280.085594754997,23.1350619357106,1.05790131575543,23067.031,22369.623,4613.2266,1404.5647
8772,2020-01-01 12:00:00,261.55,4734,1579,2687,23093,13905,295,9918,1967,11.8824865074786,282.261154276544,280.085594754997,23.1350619357106,1.05790131575543,23996.912,22920.555,4668.5967,1298.7773
8773,2020-01-01 13:00:00,272.04,4732,1568,3037,25145,13906,250,10168,1732,11.6580527525305,282.338679146652,280.203166528688,46.3132100122141,0.704578917663921,23957.316,22878.1,4680.0327,1256.5779
8774,2020-01-01 14:00:00,265.97,4715,1637,3117,24376,13935,249,11555,1108,11.6580527525305,282.338679146652,280.203166528688,46.3132100122141,0.704578917663921,23913.686,21889.76,4718.9595,1218.7921
8775,2020-01-01 15:00:00,261.25,4720,1737,2871,24055,13923,246,12425,348,11.6580527525305,282.338679146652,280.203166528688,46.3132100122141,0.704578917663921,24010.877,24505.31,4635.338,1268.7344
8776,2020-01-01 16:00:00,261.02,4575,1905,3072,24670,13927,254,13652,12,11.5455175214067,282.095928069068,279.851573282825,24.2734485663567,1.64190778458908,24994.945,25435.88,4674.061,1538.6592
8777,2020-01-01 17:00:00,260.77,4714,1960,3016,25208,13917,342,14190,0,11.5455175214067,282.095928069068,279.851573282825,24.2734485663567,1.64190778458908,24049.188,28238.117,4612.946,1670.6589
8778,2020-01-01 18:00:00,260.56,4724,1972,3190,25193,13927,388,14676,0,11.5455175214067,282.095928069068,279.851573282825,24.2734485663567,1.64190778458908,24082.553,29188.875,4509.211,1773.5498
8779,2020-01-01 19:00:00,254.26,4727,1922,3237,24558,13924,338,15789,0,11.7901962222974,281.720443289943,279.043832990981,0,0.676806944559764,23118.479,28557.312,4528.7554,1723.8088
8780,2020-01-01 20:00:00,240.42,4724,1713,3219,20966,13907,303,15871,0,11.7901962222974,281.720443289943,279.043832990981,0,0.676806944559764,23100.56,27711.451,4482.761,1511.5216
8781,2020-01-01 21:00:00,224.94,4726,1034,2782,18243,13928,254,16183,0,11.7901962222974,281.720443289943,279.043832990981,0,0.676806944559764,22560.293,26318.54,4192.101,1356.231
8782,2020-01-01 22:00:00,205.15,4436,880,2479,14607,13924,244,15799,0,11.7988019458048,281.043334346887,277.748125028537,0,1.19238057750488,21676.35,20992.482,4141.609,1284.6344
8783,2020-01-01 23:00:00,178.54,4017,858,1881,11485,13927,254,15941,0,11.7988019458048,281.043334346887,277.748125028537,0,1.19238057750488,21509.559,16669.236,3842.9067,1251.0955
8784,2020-01-02 00:00:00,151.37,3248,824,1344,8868,13939,242,15974,0,11.7988019458048,281.043334346887,277.748125028537,0,1.19238057750488,23333.324,7307.4707,3293.8853,1077.2396
8785,2020-01-02 01:00:00,149.13,3506,806,1340,8607,13933,244,16211,0,11.2394089266392,280.746467254496,277.075521002461,0,0.433841481711834,23983.635,5296.5654,3181.6511,1012.1417
8786,2020-01-02 02:00:00,150.47,3941,806,1335,8762,13920,243,16392,0,11.2394089266392,280.746467254496,277.075521002461,0,0.433841481711834,23576.66,5350.642,3025.421,950.8961
8787,2020-01-02 03:00:00,154.5,3984,798,1394,9352,13931,253,16828,0,11.2394089266392,280.746467254496,277.075521002461,0,0.433841481711834,23555.465,3614.7708,3033.871,893.5096
8788,2020-01-02 04:00:00,155.42,3988,774,1425,9602,13935,240,17223,0,10.8117091023303,280.259754416856,276.201647542661,0,0.885720732388282,22459.746,4464.4927,3277.2324,865.6332
8789,2020-01-02 05:00:00,155.75,3979,854,1474,9761,13926,242,17646,0,10.8117091023303,280.259754416856,276.201647542661,0,0.885720732388282,22717.562,6796.0547,3459.8489,976.1596
8790,2020-01-02 06:00:00,165.91,3973,1063,2225,10179,13943,243,18346,0,10.8117091023303,280.259754416856,276.201647542661,0,0.885720732388282,21788.299,9840.499,3802.337,1071.277
8791,2020-01-02 07:00:00,203.78,4229,1112,3677,14554,13927,243,19670,0,10.8368716874603,279.839728683206,275.545004782854,0.317435628598582,0.176903407081047,22126.422,15112.429,4153.56,1183.1759
8792,2020-01-02 08:00:00,228.64,4619,1200,4538,18984,13936,241,20677,2,10.8368716874603,279.839728683206,275.545004782854,0.317435628598582,0.176903407081047,22305.07,17468.945,4297.0625,1297.4819
8793,2020-01-02 09:00:00,239.75,4586,1284,5721,20359,13909,286,21835,319,10.8368716874603,279.839728683206,275.545004782854,0.317435628598582,0.176903407081047,22259.145,19039.795,4331.1646,1374.8088
8794,2020-01-02 10:00:00,240.62,4264,1350,6598,20562,13883,244,23371,943,10.905909523981,280.156474903933,275.333658728441,37.3883085351729,0.398639106461841,22237.666,21343.057,4541.088,1387.3151
