datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-05 00:00:00,3.276435458463123,294.31212147873623,277.0456398877249,130.26374948423194,0.2805875544310772,3637.39184,1454.67432,221.02179,10521.04956,3111.74008,483.81164
2023-08-05 01:00:00,3.276435458463123,294.31212147873623,277.0456398877249,130.26374948423194,0.2805875544310772,3783.87849,1466.24121,220.69803,5290.67022,3600.88991,559.86439
2023-08-05 02:00:00,3.276435458463123,294.31212147873623,277.0456398877249,130.26374948423194,0.2805875544310772,3831.03395,1456.22374,219.72571,712.93,3815.99004,593.30804
2023-08-05 03:00:00,3.276435458463123,294.31212147873623,277.0456398877249,130.26374948423194,0.2805875544310772,3776.6544,1463.77993,217.42254,2.59,3888.05987,604.51342
2023-08-05 04:00:00,2.575768537040194,292.118286885855,277.12659002824046,130.26374948423194,0.2805875544310772,3803.18279,1416.30355,218.17802,0.0,3853.36006,599.11831
2023-08-05 05:00:00,2.575768537040194,292.118286885855,277.12659002824046,130.26374948423194,0.2805875544310772,3770.66992,1428.10413,218.88246,0.0,3753.3399,583.56723
2023-08-05 06:00:00,2.575768537040194,292.118286885855,277.12659002824046,130.26374948423194,0.2805875544310772,3719.04041,1453.60178,219.07349,0.0,3641.4199,566.16597
2023-08-05 07:00:00,2.317104384149377,290.6185828678236,276.9375252196776,65.13202139008467,0.4092440805328079,3667.71115,1478.64911,218.72555,0.0,3583.88009,557.21971
2023-08-05 08:00:00,2.317104384149377,290.6185828678236,276.9375252196776,65.13202139008467,0.4092440805328079,3669.47998,1514.98429,220.98691,0.0,3463.75001,538.54195
2023-08-05 09:00:00,2.317104384149377,290.6185828678236,276.9375252196776,65.13202139008467,0.4092440805328079,3650.41113,1528.81894,215.2195,0.0,3332.60007,518.15083
2023-08-05 10:00:00,2.166332233153539,289.4041824370272,276.6963627105952,0.0,0.504687240566779,3596.2889,1521.58002,217.03109,0.0,3185.71014,495.31247
2023-08-05 11:00:00,2.166332233153539,289.4041824370272,276.6963627105952,0.0,0.504687240566779,3484.97659,1498.0184,214.82369,0.0,2973.15003,462.26374
2023-08-05 12:00:00,2.166332233153539,289.4041824370272,276.6963627105952,0.0,0.504687240566779,3433.66462,1537.23191,216.92535,0.23,2663.5,414.11952
2023-08-05 13:00:00,2.196843857162607,294.34465080362213,276.92714358519424,6.314201009499934e-06,0.6216946265781951,3336.95602,1561.2216,215.70408,1477.58995,2239.42998,348.18535
2023-08-05 14:00:00,2.196843857162607,294.34465080362213,276.92714358519424,6.314201009499934e-06,0.6216946265781951,3190.11214,1521.35951,216.44215,6563.44001,1686.58,262.22853
2023-08-05 15:00:00,2.196843857162607,294.34465080362213,276.92714358519424,6.314201009499934e-06,0.6216946265781951,3068.33752,1490.56286,218.06993,11149.3004,1146.75001,178.29606
2023-08-05 16:00:00,3.480211536286215,298.9656702801304,275.94649422083853,158.98391073194296,0.747920886162467,2935.21416,1465.53086,218.00279,12730.73018,772.61001,120.12498
2023-08-05 17:00:00,3.480211536286215,298.9656702801304,275.94649422083853,158.98391073194296,0.747920886162467,2885.8052,1469.6908,217.6231,13317.88027,552.90999,85.96614
2023-08-05 18:00:00,3.480211536286215,298.9656702801304,275.94649422083853,158.98391073194296,0.747920886162467,2948.81208,1484.65404,217.37707,13619.69981,465.87002,72.43322
2023-08-05 19:00:00,4.99230453701197,301.32984346717194,274.615228883369,416.98259685697263,0.8423169027207111,2998.74782,1462.73773,216.80984,13699.88998,526.73001,81.89569
2023-08-05 20:00:00,4.99230453701197,301.32984346717194,274.615228883369,416.98259685697263,0.8423169027207111,3112.95706,1480.78945,222.42643,13682.80986,747.64996,116.24421
2023-08-05 21:00:00,4.99230453701197,301.32984346717194,274.615228883369,416.98259685697263,0.8423169027207111,3212.68328,1493.48687,221.37096,13573.19035,1131.48004,175.9219
2023-08-05 22:00:00,5.6092188450060165,300.41745669984346,274.30576476471765,893.2219457835582,0.94553886482806,3319.31849,1484.1804,221.65323,13206.06038,1709.41008,265.77814
2023-08-05 23:00:00,5.6092188450060165,300.41745669984346,274.30576476471765,893.2219457835582,0.94553886482806,3368.49982,1430.42092,223.11119,12498.76015,2328.81004,362.08211
2023-08-06 00:00:00,5.6092188450060165,300.41745669984346,274.30576476471765,893.2219457835582,0.94553886482806,3642.01979,1416.08174,223.72771,9809.9314,1412.85123,276.22255
2023-08-06 01:00:00,3.534002747331864,294.64823859633594,275.6799132060436,758.8087985254949,1.1357080678545264,3733.74213,1426.45406,223.42298,7421.55504,1393.37162,274.0655
2023-08-06 02:00:00,3.534002747331864,294.64823859633594,275.6799132060436,758.8087985254949,1.1357080678545264,3717.01912,1416.49253,222.41927,4444.74672,1351.72826,273.25723
