UTC time,creation_time (UTC),version,coal,nat_gas,hydro,solar,wind,other
2023-08-30 00:00:00,2023-09-02 22:35:24,3.0,4475.0,1776.0,173.0,1403.0,662.0,111.0
2023-08-30 01:00:00,2023-09-02 22:35:24,3.0,4417.0,1807.0,173.0,1001.0,880.0,114.0
2023-08-30 02:00:00,2023-09-02 22:35:24,3.0,4403.0,1924.0,173.0,238.0,1167.0,116.0
2023-08-30 03:00:00,2023-09-02 22:35:24,3.0,4310.0,1925.0,170.0,0.0,1325.0,121.0
2023-08-30 04:00:00,2023-09-02 22:35:24,3.0,3927.0,1934.0,171.0,0.0,1427.0,121.0
2023-08-30 05:00:00,2023-09-02 22:35:24,3.0,4066.0,1930.0,172.0,0.0,1309.0,124.0
2023-08-30 06:00:00,2023-09-02 22:35:24,3.0,4022.0,1925.0,173.0,0.0,1119.0,123.0
2023-08-30 07:00:00,2023-09-02 22:35:24,3.0,3798.0,1664.0,172.0,0.0,1040.0,124.0
2023-08-30 08:00:00,2023-09-02 22:35:24,3.0,3828.0,1620.0,173.0,0.0,1084.0,128.0
2023-08-30 09:00:00,2023-09-02 22:35:24,3.0,3766.0,1618.0,173.0,0.0,837.0,129.0
2023-08-30 10:00:00,2023-09-02 22:35:24,3.0,3499.0,1650.0,172.0,0.0,639.0,129.0
2023-08-30 11:00:00,2023-09-02 22:35:24,3.0,3488.0,1644.0,170.0,0.0,612.0,129.0
2023-08-30 12:00:00,2023-09-02 22:35:24,3.0,3488.0,1599.0,172.0,0.0,633.0,132.0
2023-08-30 13:00:00,2023-09-02 22:35:24,3.0,3762.0,1577.0,174.0,0.0,676.0,130.0
2023-08-30 14:00:00,2023-09-02 22:35:24,3.0,3848.0,1565.0,172.0,250.0,804.0,132.0
2023-08-30 15:00:00,2023-09-02 22:35:24,3.0,3335.0,1464.0,173.0,1088.0,1004.0,132.0
2023-08-30 16:00:00,2023-09-02 22:35:24,3.0,2459.0,1354.0,172.0,1466.0,1450.0,125.0
2023-08-30 17:00:00,2023-09-02 22:35:24,3.0,1911.0,1428.0,170.0,1517.0,1712.0,114.0
2023-08-30 18:00:00,2023-09-02 22:35:24,3.0,1984.0,1360.0,171.0,1529.0,1812.0,114.0
2023-08-30 19:00:00,2023-09-02 22:35:24,3.0,2175.0,1443.0,170.0,1553.0,2190.0,117.0
2023-08-30 20:00:00,2023-09-02 22:35:24,3.0,2291.0,1529.0,174.0,1526.0,2428.0,116.0
2023-08-30 21:00:00,2023-09-02 22:35:24,3.0,2728.0,1601.0,173.0,1500.0,2443.0,113.0
2023-08-30 22:00:00,2023-09-02 22:35:24,3.0,2938.0,1596.0,171.0,1493.0,2607.0,115.0
2023-08-30 23:00:00,2023-09-02 22:35:24,3.0,3144.0,1669.0,172.0,1452.0,2630.0,114.0
