,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-05 00:00:00,377.48,3177.0,1636.0,217.0,1454.0,1562.0,88.0
1,2023-08-05 01:00:00,399.81,3290.0,1804.0,215.0,1214.0,1439.0,88.0
2,2023-08-05 02:00:00,468.07,3608.0,1825.0,216.0,574.0,1098.0,88.0
3,2023-08-05 03:00:00,552.54,4095.0,1823.0,214.0,36.0,689.0,91.0
4,2023-08-05 04:00:00,575.67,4156.0,1474.0,218.0,0.0,586.0,96.0
5,2023-08-05 05:00:00,592.43,4255.0,1475.0,209.0,0.0,438.0,93.0
6,2023-08-05 06:00:00,575.76,4172.0,1508.0,209.0,0.0,587.0,97.0
7,2023-08-05 07:00:00,570.08,4027.0,1272.0,209.0,0.0,687.0,97.0
8,2023-08-05 08:00:00,573.2,4102.0,1312.0,212.0,0.0,660.0,98.0
9,2023-08-05 09:00:00,554.69,3919.0,1301.0,211.0,0.0,810.0,99.0
10,2023-08-05 10:00:00,544.72,3854.0,1293.0,211.0,0.0,903.0,100.0
11,2023-08-05 11:00:00,563.53,3972.0,1301.0,212.0,0.0,728.0,99.0
12,2023-08-05 12:00:00,570.79,4049.0,1299.0,212.0,0.0,674.0,102.0
13,2023-08-05 13:00:00,568.88,4092.0,1278.0,210.0,14.0,705.0,102.0
14,2023-08-05 14:00:00,534.1,4078.0,1265.0,216.0,490.0,638.0,103.0
15,2023-08-05 15:00:00,439.18,3181.0,1022.0,215.0,1278.0,701.0,101.0
16,2023-08-05 16:00:00,422.27,3315.0,1155.0,214.0,1520.0,809.0,96.0
17,2023-08-05 17:00:00,437.72,3806.0,1189.0,215.0,1556.0,877.0,95.0
18,2023-08-05 18:00:00,432.22,3856.0,1215.0,216.0,1559.0,1005.0,93.0
19,2023-08-05 19:00:00,421.16,3793.0,1200.0,215.0,1551.0,1175.0,96.0
20,2023-08-05 20:00:00,412.05,3731.0,1275.0,215.0,1562.0,1279.0,90.0
21,2023-08-05 21:00:00,396.01,3610.0,1305.0,215.0,1651.0,1407.0,90.0
22,2023-08-05 22:00:00,386.01,3429.0,1309.0,214.0,1636.0,1460.0,86.0
23,2023-08-05 23:00:00,402.58,3612.0,1356.0,213.0,1587.0,1333.0,84.0
