UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-10-13 00:00:00,2024-07-17 00:00:00,3.1,4.854205192605769,281.9736724427127,272.08468873796545,341.7498739157544,0.2219166956916377,2403.88367,171.01387,545.98576,47.321,857.95896
2023-10-13 01:00:00,2024-07-17 00:00:00,3.1,4.085844829847736,279.4985588936672,272.25136714453754,3.1873219087672875,0.0480303500706658,2453.35736,172.54559,578.91624,43.59521,858.25684
2023-10-13 02:00:00,2024-07-17 00:00:00,3.1,4.085844829847736,279.4985588936672,272.25136714453754,3.1873219087672875,0.0480303500706658,2446.97902,181.82516,580.85547,42.29925,843.47431
2023-10-13 03:00:00,2024-07-17 00:00:00,3.1,4.085844829847736,279.4985588936672,272.25136714453754,3.1873219087672875,0.0480303500706658,2472.18457,173.73039,573.87837,41.08903,818.44186
2023-10-13 04:00:00,2024-07-17 00:00:00,3.1,3.630550906058957,278.3461486015702,272.12214845449745,1.5937918394177355,0.0929824554659456,2379.62462,182.18599,576.68021,35.52176,740.40919
2023-10-13 05:00:00,2024-07-17 00:00:00,3.1,3.630550906058957,278.3461486015702,272.12214845449745,1.5937918394177355,0.0929824554659456,2389.50935,183.63448,538.2487,27.33706,719.3168
2023-10-13 06:00:00,2024-07-17 00:00:00,3.1,3.630550906058957,278.3461486015702,272.12214845449745,1.5937918394177355,0.0929824554659456,2365.58269,189.65398,511.8068,16.54368,670.17789
2023-10-13 07:00:00,2024-07-17 00:00:00,3.1,3.3992375101960435,277.63103780459824,271.97392429265835,0.0,0.032847051774543,2354.82242,178.22262,495.00095,10.03436,638.71331
2023-10-13 08:00:00,2024-07-17 00:00:00,3.1,3.3992375101960435,277.63103780459824,271.97392429265835,0.0,0.032847051774543,2284.16588,169.59303,448.27757,4.92807,654.26763
2023-10-13 09:00:00,2024-07-17 00:00:00,3.1,3.3992375101960435,277.63103780459824,271.97392429265835,0.0,0.032847051774543,2238.16294,169.28585,465.64848,0.0,705.8025
2023-10-13 10:00:00,2024-07-17 00:00:00,3.1,3.172569300504033,277.2209019449996,271.8093973311989,0.0,0.0603267340388899,2210.991,173.83774,478.67282,0.0,723.0835
2023-10-13 11:00:00,2024-07-17 00:00:00,3.1,3.172569300504033,277.2209019449996,271.8093973311989,0.0,0.0603267340388899,2180.46794,184.61877,445.59486,0.0,736.03306
2023-10-13 12:00:00,2024-07-17 00:00:00,3.1,3.172569300504033,277.2209019449996,271.8093973311989,0.0,0.0603267340388899,2190.10914,186.25033,470.62438,3.62123,722.70743
2023-10-13 13:00:00,2024-07-17 00:00:00,3.1,3.2953618163074574,279.55945006573285,272.1764923935572,50.251479938069416,0.0332603939594152,2229.08247,187.72492,484.91031,7.92046,722.99633
2023-10-13 14:00:00,2024-07-17 00:00:00,3.1,3.2953618163074574,279.55945006573285,272.1764923935572,50.251479938069416,0.0332603939594152,2246.22882,185.1232,444.39277,12.84106,699.46126
2023-10-13 15:00:00,2024-07-17 00:00:00,3.1,3.2953618163074574,279.55945006573285,272.1764923935572,50.251479938069416,0.0332603939594152,2282.29532,193.10669,463.65277,17.25942,670.21621
