UTC time,coal,nat_gas,hydro,solar,wind
2023-06-29 00:00:00,3213.0,270.0,1395.0,175.0,480.0
2023-06-29 01:00:00,3011.0,278.0,1399.0,158.0,608.0
2023-06-29 02:00:00,2899.0,217.0,1371.0,49.0,718.0
2023-06-29 03:00:00,2786.0,209.0,1363.0,2.0,766.0
2023-06-29 04:00:00,2578.0,206.0,1320.0,0.0,741.0
2023-06-29 05:00:00,2494.0,207.0,1322.0,0.0,684.0
2023-06-29 06:00:00,2433.0,225.0,1295.0,0.0,573.0
2023-06-29 07:00:00,2316.0,232.0,1206.0,0.0,582.0
2023-06-29 08:00:00,2163.0,260.0,1156.0,0.0,630.0
2023-06-29 09:00:00,2023.0,238.0,1144.0,0.0,585.0
2023-06-29 10:00:00,2051.0,255.0,1139.0,0.0,469.0
2023-06-29 11:00:00,2111.0,235.0,1110.0,0.0,381.0
2023-06-29 12:00:00,2356.0,172.0,1151.0,2.0,364.0
2023-06-29 13:00:00,2644.0,181.0,1194.0,42.0,276.0
2023-06-29 14:00:00,2752.0,198.0,1311.0,138.0,222.0
2023-06-29 15:00:00,2810.0,236.0,1315.0,192.0,220.0
2023-06-29 16:00:00,2966.0,243.0,1296.0,243.0,214.0
2023-06-29 17:00:00,3007.0,245.0,1311.0,258.0,202.0
2023-06-29 18:00:00,3166.0,276.0,1312.0,268.0,175.0
2023-06-29 19:00:00,3384.0,309.0,1330.0,266.0,136.0
2023-06-29 20:00:00,3442.0,309.0,1362.0,219.0,183.0
2023-06-29 21:00:00,3453.0,281.0,1359.0,195.0,410.0
2023-06-29 22:00:00,3242.0,199.0,1361.0,158.0,626.0
2023-06-29 23:00:00,3115.0,199.0,1404.0,137.0,586.0
