UTC time,avg_solar_production_forecast,avg_wind_production_forecast
2023-07-20 00:00:00,0.0,2462.0
2023-07-20 01:00:00,0.0,2143.0
2023-07-20 02:00:00,0.0,1825.0
2023-07-20 03:00:00,0.0,1509.0
2023-07-20 04:00:00,0.0,1305.0
2023-07-20 05:00:00,550.0,1104.0
2023-07-20 06:00:00,2212.0,910.0
2023-07-20 07:00:00,4921.0,773.0
2023-07-20 08:00:00,7795.0,636.0
2023-07-20 09:00:00,10140.0,506.0
2023-07-20 10:00:00,11568.0,559.0
2023-07-20 11:00:00,12215.0,621.0
2023-07-20 12:00:00,12115.0,686.0
2023-07-20 13:00:00,11456.0,868.0
2023-07-20 14:00:00,10451.0,1054.0
2023-07-20 15:00:00,8615.0,1239.0
2023-07-20 16:00:00,6351.0,1520.0
2023-07-20 17:00:00,3658.0,1802.0
2023-07-20 18:00:00,1438.0,2085.0
2023-07-20 19:00:00,179.0,2252.0
2023-07-20 20:00:00,0.0,2420.0
2023-07-20 21:00:00,0.0,2588.0
2023-07-20 22:00:00,0.0,2454.0
2023-07-20 23:00:00,0.0,2569.0
