datetime,param,level,latitude,longitude,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-06-23 00:00:00,TMP,2 m above ground,32.0,-124.75,290.600257070672,287.7713986990599,286.2003947748514,285.0728948341691,287.56349270663065,291.1399154725512,293.4685228733898,293.80423731008517,291.0353679393422,288.5393264317429,287.3416377971994,286.4350334445267,289.8359302546121,293.4017490566606,295.59036420704246,295.57186644315334,292.18825160070645,289.4064136186609,288.06968303051354,287.04454998349456,290.39633263485166,294.0950167353885,296.3066032099241,295.9895455170156,292.1857086986504,289.40612075551934,288.1448048817317,287.2049991735506,290.2499881742026,293.86627251234523,295.8030904348728,294.9865327572894
datetime,param,level,latitude,longitude,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-06-24 00:00:00,TMP,2 m above ground,32.0,-124.75,290.8220320620892,288.46426074074975,287.3081788862365,286.46027936556806,289.79956837546683,293.2668949819569,295.4214724234308,295.31849151690835,292.02278576366905,289.2825664285003,287.9728687399231,287.0003499245995,290.16313836817005,293.7611749976216,295.91001719370934,295.6180199591612,291.9900169680392,289.189989416388,287.97525268938506,287.0427518765828,290.09667282064913,293.66984169642575,295.56008504962375,294.6635215965799,291.27459646038955,288.78937097338263,287.63047520578175,286.77018721154604,289.7710760704622,293.37124516507004,295.5282715354858,295.6019764254516
datetime,param,level,latitude,longitude,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-06-24 00:00:00,DPT,2 m above ground,32.0,-124.75,276.84943989348767,277.05367357335956,276.99021880592636,276.7890309021634,276.746044926184,275.77055925022455,274.7494047349314,274.6929925868378,276.2583284440244,276.6579393213,276.6487467119291,276.504608614233,276.56196704215034,275.67784695920216,274.90628171776615,275.11875901073745,276.9137754592678,277.7057564122649,277.8864873002841,277.85950303612697,278.002357194448,277.41064396360355,276.95860618706087,277.53612343751786,278.9717980266356,279.52244423089985,279.44641200099153,279.32894219884076,279.3492236151824,278.6068272116567,277.47896917071665,277.1780433868704
datetime,param,level,latitude,longitude,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-06-24 00:00:00,TMP,2 m above ground,32.0,-124.75,290.8220320620892,288.46426074074975,287.3081788862365,286.46027936556806,289.79956837546683,293.2668949819569,295.4214724234308,295.31849151690835,292.02278576366905,289.2825664285003,287.9728687399231,287.0003499245995,290.16313836817005,293.7611749976216,295.91001719370934,295.6180199591612,291.9900169680392,289.189989416388,287.97525268938506,287.0427518765828,290.09667282064913,293.66984169642575,295.56008504962375,294.6635215965799,291.27459646038955,288.78937097338263,287.63047520578175,286.77018721154604,289.7710760704622,293.37124516507004,295.5282715354858,295.6019764254516
datetime,param,level,latitude,longitude,3 hr fcst,6 hr fcst,9 hr fcst,12 hr fcst,15 hr fcst,18 hr fcst,21 hr fcst,24 hr fcst,27 hr fcst,30 hr fcst,33 hr fcst,36 hr fcst,39 hr fcst,42 hr fcst,45 hr fcst,48 hr fcst,51 hr fcst,54 hr fcst,57 hr fcst,60 hr fcst,63 hr fcst,66 hr fcst,69 hr fcst,72 hr fcst,75 hr fcst,78 hr fcst,81 hr fcst,84 hr fcst,87 hr fcst,90 hr fcst,93 hr fcst,96 hr fcst
2023-06-24 00:00:00,DPT,2 m above ground,32.0,-124.75,276.84943989348767,277.05367357335956,276.99021880592636,276.7890309021634,276.746044926184,275.77055925022455,274.7494047349314,274.6929925868378,276.2583284440244,276.6579393213,276.6487467119291,276.504608614233,276.56196704215034,275.67784695920216,274.90628171776615,275.11875901073745,276.9137754592678,277.7057564122649,277.8864873002841,277.85950303612697,278.002357194448,277.41064396360355,276.95860618706087,277.53612343751786,278.9717980266356,279.52244423089985,279.44641200099153,279.32894219884076,279.3492236151824,278.6068272116567,277.47896917071665,277.1780433868704
