UTC time,wind,biomass,hydro,nat_gas,nuclear,solar,coal
2023-01-01 00:00,49.0,23.0,66.0,360.0,2167.0,0.0,1820.0
2023-01-01 01:00,51.0,24.0,67.0,359.0,2167.0,0.0,1661.0
2023-01-01 02:00,55.0,24.0,67.0,360.0,2168.0,0.0,1661.0
2023-01-01 03:00,52.0,25.0,67.0,361.0,2167.0,0.0,1650.0
2023-01-01 04:00,52.0,25.0,80.0,360.0,2168.0,0.0,1658.0
2023-01-01 05:00,49.0,25.0,78.0,359.0,2168.0,0.0,1655.0
2023-01-01 06:00,47.0,24.0,87.0,360.0,2167.0,40.0,1651.0
2023-01-01 07:00,45.0,23.0,97.0,356.0,2169.0,162.0,1652.0
2023-01-01 08:00,28.0,24.0,109.0,356.0,2167.0,273.0,1652.0
2023-01-01 09:00,22.0,24.0,104.0,353.0,2167.0,342.0,1652.0
2023-01-01 10:00,30.0,24.0,101.0,360.0,2167.0,360.0,1656.0
2023-01-01 11:00,28.0,23.0,101.0,360.0,2168.0,338.0,1652.0
2023-01-01 12:00,40.0,22.0,96.0,360.0,2166.0,266.0,1654.0
2023-01-01 13:00,49.0,24.0,83.0,359.0,2166.0,140.0,1653.0
2023-01-01 14:00,52.0,24.0,148.0,360.0,2166.0,24.0,1653.0
2023-01-01 15:00,58.0,24.0,364.0,354.0,2165.0,0.0,1782.0
2023-01-01 16:00,60.0,23.0,487.0,354.0,2165.0,0.0,1748.0
2023-01-01 17:00,71.0,24.0,444.0,357.0,2166.0,0.0,1788.0
2023-01-01 18:00,191.0,37.0,254.0,359.0,2166.0,0.0,1707.0
2023-01-01 19:00,195.0,35.0,184.0,357.0,2166.0,0.0,1736.0
2023-01-01 20:00,163.0,35.0,152.0,356.0,2168.0,0.0,1827.0
2023-01-01 21:00,181.0,35.0,88.0,357.0,2165.0,0.0,1911.0
2023-01-01 22:00,178.0,36.0,82.0,358.0,2165.0,0.0,1880.0
2023-01-01 23:00,160.0,36.0,110.0,359.0,2165.0,0.0,1830.0
2023-01-02 00:00,183.0,36.0,99.0,358.0,2166.0,0.0,1837.0
2023-01-02 01:00,198.0,35.0,78.0,359.0,2166.0,0.0,1819.0
2023-01-02 02:00,144.0,36.0,80.0,359.0,2167.0,0.0,1855.0
2023-01-02 03:00,133.0,36.0,80.0,359.0,2166.0,0.0,1906.0
2023-01-02 04:00,135.0,37.0,169.0,360.0,2166.0,0.0,1915.0
2023-01-02 05:00,112.0,37.0,262.0,361.0,2167.0,2.0,1951.0
2023-01-02 06:00,115.0,37.0,259.0,362.0,2167.0,94.0,2155.0
2023-01-02 07:00,118.0,37.0,275.0,362.0,2167.0,364.0,2229.0
2023-01-02 08:00,101.0,37.0,233.0,360.0,2167.0,637.0,2142.0
2023-01-02 09:00,110.0,36.0,280.0,360.0,2168.0,779.0,1992.0
2023-01-02 10:00,104.0,37.0,135.0,360.0,2167.0,827.0,1997.0
2023-01-02 11:00,93.0,39.0,104.0,362.0,2166.0,780.0,1885.0
2023-01-02 12:00,135.0,38.0,105.0,360.0,2166.0,594.0,1879.0
2023-01-02 13:00,140.0,37.0,145.0,361.0,2166.0,295.0,1922.0
2023-01-02 14:00,153.0,39.0,445.0,365.0,2166.0,47.0,2053.0
2023-01-02 15:00,158.0,38.0,864.0,364.0,2166.0,0.0,2120.0
2023-01-02 16:00,189.0,35.0,1098.0,363.0,2165.0,0.0,2147.0
2023-01-02 17:00,234.0,36.0,1056.0,367.0,2167.0,0.0,2175.0
2023-01-02 18:00,287.0,36.0,878.0,366.0,2167.0,0.0,2252.0
2023-01-02 19:00,295.0,35.0,638.0,367.0,2167.0,0.0,2306.0
2023-01-02 20:00,314.0,37.0,515.0,368.0,2166.0,0.0,2152.0
2023-01-02 21:00,268.0,36.0,198.0,366.0,2168.0,0.0,1906.0
2023-01-02 22:00,265.0,35.0,125.0,363.0,2168.0,0.0,2018.0
2023-01-02 23:00,249.0,35.0,83.0,366.0,2168.0,0.0,1844.0
2023-01-03 00:00,198.0,36.0,73.0,367.0,2167.0,0.0,1872.0
2023-01-03 01:00,151.0,36.0,74.0,365.0,2166.0,0.0,1911.0
2023-01-03 02:00,125.0,35.0,76.0,366.0,2166.0,0.0,1963.0
2023-01-03 03:00,94.0,35.0,76.0,368.0,2166.0,0.0,2067.0
2023-01-03 04:00,67.0,34.0,81.0,369.0,2166.0,0.0,2272.0
2023-01-03 05:00,48.0,36.0,162.0,368.0,2166.0,1.0,2563.0
2023-01-03 06:00,45.0,36.0,472.0,364.0,2165.0,116.0,2640.0
2023-01-03 07:00,48.0,36.0,451.0,364.0,2166.0,427.0,2687.0
2023-01-03 08:00,44.0,35.0,297.0,367.0,2166.0,696.0,2663.0
