UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-31T00:00:00-00:00,2023-09-02 22:35:24,3.0,8485.35,807.38
2023-08-31T01:00:00-00:00,2023-09-02 22:35:24,3.0,3015.2000000000003,941.9200000000001
2023-08-31T02:00:00-00:00,2023-09-02 22:35:24,3.0,135.71,1033.58
2023-08-31T03:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,1080.28
2023-08-31T04:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,1043.23
2023-08-31T05:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,941.84
2023-08-31T06:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,841.25
2023-08-31T07:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,746.44
2023-08-31T08:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,652.51
2023-08-31T09:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,562.91
2023-08-31T10:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,496.71
2023-08-31T11:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,477.95000000000005
2023-08-31T12:00:00-00:00,2023-09-02 22:35:24,3.0,0.0,475.21000000000004
2023-08-31T13:00:00-00:00,2023-09-02 22:35:24,3.0,595.2900000000001,456.26
2023-08-31T14:00:00-00:00,2023-09-02 22:35:24,3.0,4685.24,419.17
2023-08-31T15:00:00-00:00,2023-09-02 22:35:24,3.0,10033.96,360.32
2023-08-31T16:00:00-00:00,2023-09-02 22:35:24,3.0,12479.730000000001,355.06
2023-08-31T17:00:00-00:00,2023-09-02 22:35:24,3.0,13212.78,474.6
2023-08-31T18:00:00-00:00,2023-09-02 22:35:24,3.0,13468.07,699.35
2023-08-31T19:00:00-00:00,2023-09-02 22:35:24,3.0,13458.029999999999,1014.5
2023-08-31T20:00:00-00:00,2023-09-02 22:35:24,3.0,13173.36,1388.31
2023-08-31T21:00:00-00:00,2023-09-02 22:35:24,3.0,12766.89,1768.1
2023-08-31T22:00:00-00:00,2023-09-02 22:35:24,3.0,12056.380000000001,2059.1
2023-08-31T23:00:00-00:00,2023-09-02 22:35:24,3.0,10699.88,2200.2
