UTC time,creation_time (UTC),version,avg_solar_production_forecast,avg_wind_production_forecast
2023-08-19T00:00:00-00:00,2023-08-20 14:50:47,3.0,8531.07,1837.78
2023-08-19T01:00:00-00:00,2023-08-20 14:50:47,3.0,3836.46,1823.94
2023-08-19T02:00:00-00:00,2023-08-20 14:50:47,3.0,451.45000000000005,1689.7800000000002
2023-08-19T03:00:00-00:00,2023-08-20 14:50:47,3.0,0.07,1580.5700000000002
2023-08-19T04:00:00-00:00,2023-08-20 14:50:47,3.0,0.0,1482.56
2023-08-19T05:00:00-00:00,2023-08-20 14:50:47,3.0,0.0,1367.18
2023-08-19T06:00:00-00:00,2023-08-20 14:50:47,3.0,0.0,1230.69
2023-08-19T07:00:00-00:00,2023-08-20 14:50:47,3.0,15.75,1151.05
2023-08-19T08:00:00-00:00,2023-08-20 14:50:47,3.0,12.57,1050.87
2023-08-19T09:00:00-00:00,2023-08-20 14:50:47,3.0,7.95,948.9599999999999
2023-08-19T10:00:00-00:00,2023-08-20 14:50:47,3.0,5.46,832.62
2023-08-19T11:00:00-00:00,2023-08-20 14:50:47,3.0,5.25,684.5899999999999
2023-08-19T12:00:00-00:00,2023-08-20 14:50:47,3.0,4.68,542.49
2023-08-19T13:00:00-00:00,2023-08-20 14:50:47,3.0,342.15,457.57
2023-08-19T14:00:00-00:00,2023-08-20 14:50:47,3.0,3894.51,438.38
2023-08-19T15:00:00-00:00,2023-08-20 14:50:47,3.0,7084.58,436.04
2023-08-19T16:00:00-00:00,2023-08-20 14:50:47,3.0,7752.9,435.71000000000004
2023-08-19T17:00:00-00:00,2023-08-20 14:50:47,3.0,8121.08,493.71000000000004
2023-08-19T18:00:00-00:00,2023-08-20 14:50:47,3.0,7993.77,578.34
2023-08-19T19:00:00-00:00,2023-08-20 14:50:47,3.0,7578.37,635.2
2023-08-19T20:00:00-00:00,2023-08-20 14:50:47,3.0,7239.63,734.8
2023-08-19T21:00:00-00:00,2023-08-20 14:50:47,3.0,6925.06,887.51
2023-08-19T22:00:00-00:00,2023-08-20 14:50:47,3.0,6302.26,1107.06
2023-08-19T23:00:00-00:00,2023-08-20 14:50:47,3.0,5730.39,1238.2
