datetime,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-05 00:00:00,5.196480745436841,295.27173636736,279.1184072370519,240.07872173102152,0.1482137152118967,3.55547,13561.33691,2235.36843,86.19118,3487.64387,10521.05017,3111.7399,1143.60625
2023-08-05 01:00:00,5.196480745436841,295.27173636736,279.1184072370519,240.07872173102152,0.1482137152118967,3.65795,14298.3319,2239.50258,86.1957,3969.65657,5290.66995,3600.88999,1323.37548
2023-08-05 02:00:00,5.196480745436841,295.27173636736,279.1184072370519,240.07872173102152,0.1482137152118967,3.81378,15346.75803,2246.97935,86.743,4225.47233,712.93002,3815.99003,1402.42764
2023-08-05 03:00:00,5.196480745436841,295.27173636736,279.1184072370519,240.07872173102152,0.1482137152118967,3.79184,15908.18347,2252.44405,87.11811,4430.25847,2.59,3888.05992,1428.91429
2023-08-05 04:00:00,4.813106965294219,292.8967115895981,279.6882722108988,240.07872173102152,0.1482137152118967,4.16999,16024.88223,2251.16291,87.19183,4660.60579,0.0,3853.35995,1416.16158
2023-08-05 05:00:00,4.813106965294219,292.8967115895981,279.6882722108988,240.07872173102152,0.1482137152118967,4.23294,15813.2151,2248.3675,83.94243,4685.91752,0.0,3753.33985,1379.40285
2023-08-05 06:00:00,4.813106965294219,292.8967115895981,279.6882722108988,240.07872173102152,0.1482137152118967,4.23613,15136.05638,2243.54132,84.55371,4884.90542,0.0,3641.42006,1338.27083
2023-08-05 07:00:00,4.479890315707223,291.6798696443867,279.7632820527208,120.14316571937744,0.2053967008001805,4.10446,13829.93778,2243.13511,84.98129,4630.34932,0.0,3583.87993,1317.12405
2023-08-05 08:00:00,4.479890315707223,291.6798696443867,279.7632820527208,120.14316571937744,0.2053967008001805,4.21848,12690.61366,2243.34477,82.36817,4095.69593,0.0,3463.75005,1272.97471
2023-08-05 09:00:00,4.479890315707223,291.6798696443867,279.7632820527208,120.14316571937744,0.2053967008001805,4.18789,11768.25248,2243.25905,82.54398,3553.26904,0.0,3332.59997,1224.77529
2023-08-05 10:00:00,4.3059261279946295,290.72800907378104,279.71643490889176,0.0,0.2076352457472105,4.10537,11112.05723,2242.93993,83.02985,3317.52764,0.0,3185.70987,1170.79121
2023-08-05 11:00:00,4.3059261279946295,290.72800907378104,279.71643490889176,0.0,0.2076352457472105,4.03052,10752.74025,2242.35409,82.26871,2997.77932,0.0,2973.14991,1092.67256
2023-08-05 12:00:00,4.3059261279946295,290.72800907378104,279.71643490889176,0.0,0.2076352457472105,4.16681,10420.0948,2243.91436,82.85533,2804.42736,0.23,2663.5,978.87206
2023-08-05 13:00:00,4.0210575303374085,293.9124478820962,279.90513745563646,0.0,0.208397925939864,4.10474,10295.73045,2244.14572,82.52471,2738.62669,1477.58997,2239.42993,823.0206
2023-08-05 14:00:00,4.0210575303374085,293.9124478820962,279.90513745563646,0.0,0.208397925939864,4.40423,10270.22827,2244.41611,82.57249,2688.05799,6563.44001,1686.57997,619.84081
2023-08-05 15:00:00,4.0210575303374085,293.9124478820962,279.90513745563646,0.0,0.208397925939864,4.34359,10434.07474,2243.49041,81.26158,2413.17607,11149.29968,1146.75001,421.44605
2023-08-05 16:00:00,4.759661034955804,298.2229239755502,279.1003937904352,88.58981159877993,0.2120334699159725,4.23612,10649.13929,2243.87041,82.34921,2319.75221,12730.72963,772.61003,283.94457
2023-08-05 17:00:00,4.759661034955804,298.2229239755502,279.1003937904352,88.58981159877993,0.2120334699159725,4.00465,10787.18422,2243.5921,79.94222,2212.7638,13317.88023,552.90999,203.20185
2023-08-05 18:00:00,4.759661034955804,298.2229239755502,279.1003937904352,88.58981159877993,0.2120334699159725,4.02728,11072.00218,2243.50556,80.27571,2111.11511,13619.70026,465.86999,171.21348
2023-08-05 19:00:00,5.860611926115032,300.8146860428237,277.55871228491026,349.2914589369154,0.214974133584831,3.83374,11313.25552,2242.20285,81.58144,1714.16312,13699.8894,526.72999,193.58035
2023-08-05 20:00:00,5.860611926115032,300.8146860428237,277.55871228491026,349.2914589369154,0.214974133584831,4.05069,11558.93694,2241.83514,79.72261,1756.38725,13682.80929,747.65001,274.77143
2023-08-05 21:00:00,5.860611926115032,300.8146860428237,277.55871228491026,349.2914589369154,0.214974133584831,4.14916,11697.81247,2242.071,80.44459,1854.31791,13573.18989,1131.48004,415.83412
2023-08-05 22:00:00,6.712538665453618,300.66677934659674,277.07861455202567,944.409319257883,0.2170351401282253,4.10324,12479.35424,2243.18043,81.44839,2142.28265,13206.06005,1709.41,628.23115
2023-08-05 23:00:00,6.712538665453618,300.66677934659674,277.07861455202567,944.409319257883,0.2170351401282253,4.28963,13257.86237,2242.59132,82.52453,2974.62014,12498.75965,2328.80995,855.86896
2023-08-06 00:00:00,6.712538665453618,300.66677934659674,277.07861455202567,944.409319257883,0.2170351401282253,4.21373,13936.97405,2217.17165,85.52563,3330.90149,11527.13926,2434.98289,70.02625
2023-08-06 01:00:00,5.6515758828592,296.44482068629776,278.633466612191,856.3571525793097,0.2837902840798726,4.30787,14608.75965,2221.25161,85.54262,3756.13389,8785.60274,2641.8177,71.15327
2023-08-06 02:00:00,5.6515758828592,296.44482068629776,278.633466612191,856.3571525793097,0.2837902840798726,4.46096,15694.99155,2228.6574,86.09427,3957.03948,6134.99619,2835.05752,68.10717
