UTC time,creation_time (UTC),version,coal,nat_gas,nuclear,hydro,solar,other
2023-09-02 00:00:00,2023-09-04 18:10:14,3.0,3315.0,2755.0,7148.0,1874.0,22.0,15.0
2023-09-02 01:00:00,2023-09-04 18:10:14,3.0,2789.0,2744.0,7153.0,1913.0,0.0,15.0
2023-09-02 02:00:00,2023-09-04 18:10:14,3.0,2576.0,2611.0,7148.0,1363.0,0.0,15.0
2023-09-02 03:00:00,2023-09-04 18:10:14,3.0,2382.0,2482.0,7153.0,353.0,0.0,15.0
2023-09-02 04:00:00,2023-09-04 18:10:14,3.0,2129.0,2381.0,7154.0,0.0,0.0,15.0
2023-09-02 05:00:00,2023-09-04 18:10:14,3.0,2007.0,2342.0,7163.0,0.0,0.0,15.0
2023-09-02 06:00:00,2023-09-04 18:10:14,3.0,1995.0,2329.0,7160.0,0.0,0.0,15.0
2023-09-02 07:00:00,2023-09-04 18:10:14,3.0,1940.0,2236.0,7161.0,0.0,0.0,15.0
2023-09-02 08:00:00,2023-09-04 18:10:14,3.0,1924.0,1965.0,7166.0,0.0,0.0,16.0
2023-09-02 09:00:00,2023-09-04 18:10:14,3.0,1930.0,1879.0,7166.0,0.0,0.0,15.0
2023-09-02 10:00:00,2023-09-04 18:10:14,3.0,1936.0,1897.0,7167.0,0.0,0.0,15.0
2023-09-02 11:00:00,2023-09-04 18:10:14,3.0,1937.0,1924.0,7160.0,0.0,0.0,14.0
2023-09-02 12:00:00,2023-09-04 18:10:14,3.0,1947.0,1969.0,7165.0,0.0,48.0,15.0
2023-09-02 13:00:00,2023-09-04 18:10:14,3.0,1926.0,1944.0,7166.0,0.0,297.0,15.0
2023-09-02 14:00:00,2023-09-04 18:10:14,3.0,1931.0,1830.0,7168.0,0.0,609.0,16.0
2023-09-02 15:00:00,2023-09-04 18:10:14,3.0,2009.0,1932.0,7160.0,0.0,736.0,16.0
2023-09-02 16:00:00,2023-09-04 18:10:14,3.0,2059.0,2033.0,7164.0,0.0,942.0,17.0
2023-09-02 17:00:00,2023-09-04 18:10:14,3.0,2253.0,2040.0,7162.0,0.0,931.0,16.0
2023-09-02 18:00:00,2023-09-04 18:10:14,3.0,2368.0,2039.0,7159.0,0.0,939.0,17.0
2023-09-02 19:00:00,2023-09-04 18:10:14,3.0,2711.0,2129.0,7154.0,0.0,932.0,17.0
2023-09-02 20:00:00,2023-09-04 18:10:14,3.0,2933.0,2260.0,7156.0,718.0,879.0,16.0
2023-09-02 21:00:00,2023-09-04 18:10:14,3.0,3324.0,2338.0,7161.0,1294.0,758.0,16.0
2023-09-02 22:00:00,2023-09-04 18:10:14,3.0,3399.0,2359.0,7156.0,1900.0,569.0,15.0
2023-09-02 23:00:00,2023-09-04 18:10:14,3.0,3426.0,2665.0,7162.0,2218.0,243.0,15.0
