,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-05 00:00:00,261.64,4043.0,3029.0,7208.0,1691.0,71.0,12.0
1,2023-08-05 01:00:00,263.9,3933.0,2888.0,7209.0,1359.0,2.0,13.0
2,2023-08-05 02:00:00,274.03,3888.0,2874.0,7211.0,705.0,0.0,13.0
3,2023-08-05 03:00:00,271.23,3496.0,2846.0,7205.0,145.0,0.0,12.0
4,2023-08-05 04:00:00,241.29,2717.0,2790.0,7212.0,135.0,0.0,13.0
5,2023-08-05 05:00:00,226.79,2345.0,2654.0,7209.0,0.0,0.0,13.0
6,2023-08-05 06:00:00,211.72,2062.0,2475.0,7211.0,0.0,0.0,12.0
7,2023-08-05 07:00:00,206.47,1964.0,2426.0,7210.0,0.0,0.0,13.0
8,2023-08-05 08:00:00,195.95,1761.0,2384.0,7212.0,0.0,0.0,13.0
9,2023-08-05 09:00:00,193.05,1688.0,2436.0,7214.0,0.0,0.0,12.0
10,2023-08-05 10:00:00,192.86,1683.0,2440.0,7216.0,0.0,0.0,13.0
11,2023-08-05 11:00:00,193.48,1696.0,2437.0,7215.0,0.0,0.0,13.0
12,2023-08-05 12:00:00,192.13,1689.0,2463.0,7220.0,0.0,76.0,12.0
13,2023-08-05 13:00:00,190.57,1690.0,2617.0,7212.0,0.0,328.0,13.0
14,2023-08-05 14:00:00,186.77,1700.0,2640.0,7214.0,0.0,625.0,15.0
15,2023-08-05 15:00:00,187.43,1802.0,2632.0,7209.0,109.0,784.0,16.0
16,2023-08-05 16:00:00,196.91,2055.0,2706.0,7207.0,200.0,883.0,18.0
17,2023-08-05 17:00:00,216.62,2556.0,2966.0,7208.0,414.0,918.0,17.0
18,2023-08-05 18:00:00,228.06,3103.0,3021.0,7206.0,1058.0,878.0,16.0
19,2023-08-05 19:00:00,233.04,3448.0,3055.0,7208.0,1612.0,793.0,14.0
20,2023-08-05 20:00:00,236.05,3547.0,3225.0,7208.0,1788.0,730.0,16.0
21,2023-08-05 21:00:00,242.84,3539.0,3931.0,7209.0,1730.0,677.0,15.0
22,2023-08-05 22:00:00,240.6,3514.0,4334.0,7207.0,2191.0,538.0,14.0
23,2023-08-05 23:00:00,242.14,3487.0,4654.0,7210.0,2425.0,302.0,16.0
