,UTC time,carbon_intensity,coal,nat_gas,nuclear,hydro,solar,other
0,2023-08-01 00:00:00,344.6,4889.0,4367.0,7211.0,1690.0,75.0,10.0
1,2023-08-01 01:00:00,345.35,4870.0,3743.0,7208.0,1410.0,3.0,11.0
2,2023-08-01 02:00:00,335.8,4552.0,3362.0,7198.0,1268.0,0.0,10.0
3,2023-08-01 03:00:00,341.4,4228.0,2945.0,7203.0,291.0,0.0,11.0
4,2023-08-01 04:00:00,307.7,3218.0,2710.0,7204.0,59.0,0.0,11.0
5,2023-08-01 05:00:00,281.95,2576.0,2663.0,7202.0,0.0,0.0,10.0
6,2023-08-01 06:00:00,274.2,2427.0,2599.0,7209.0,0.0,0.0,11.0
7,2023-08-01 07:00:00,269.95,2325.0,2616.0,7208.0,0.0,0.0,11.0
8,2023-08-01 08:00:00,267.97,2310.0,2544.0,7207.0,0.0,0.0,11.0
9,2023-08-01 09:00:00,267.77,2309.0,2534.0,7204.0,0.0,0.0,10.0
10,2023-08-01 10:00:00,269.67,2318.0,2617.0,7207.0,0.0,0.0,11.0
11,2023-08-01 11:00:00,268.67,2284.0,2641.0,7202.0,0.0,0.0,11.0
12,2023-08-01 12:00:00,271.91,2350.0,2737.0,7211.0,0.0,68.0,11.0
13,2023-08-01 13:00:00,269.98,2325.0,2913.0,7206.0,0.0,293.0,12.0
14,2023-08-01 14:00:00,279.19,2376.0,3623.0,7201.0,0.0,556.0,13.0
15,2023-08-01 15:00:00,288.4,2495.0,4144.0,7203.0,0.0,724.0,13.0
16,2023-08-01 16:00:00,295.75,2671.0,4391.0,7201.0,0.0,858.0,13.0
17,2023-08-01 17:00:00,311.65,3156.0,4491.0,7197.0,96.0,847.0,12.0
18,2023-08-01 18:00:00,314.02,3394.0,4672.0,7200.0,514.0,817.0,10.0
19,2023-08-01 19:00:00,316.37,3617.0,4757.0,7195.0,829.0,810.0,12.0
20,2023-08-01 20:00:00,318.53,3835.0,4848.0,7195.0,1124.0,813.0,12.0
21,2023-08-01 21:00:00,324.11,4112.0,4852.0,7193.0,1328.0,730.0,9.0
22,2023-08-01 22:00:00,317.43,4263.0,4469.0,7204.0,1918.0,567.0,10.0
23,2023-08-01 23:00:00,315.86,4429.0,3973.0,7200.0,2244.0,318.0,11.0
