UTC time,biomass,hydro,coal,nat_gas,nuclear,unknown,wind,solar
2018-12-31 23:30:00+00:00,1093,428,0,6418,6942,64,9347,0
2019-01-01 00:00:00+00:00,1059,419,0,5900,6930,65,9211,0
2019-01-01 00:30:00+00:00,1044,389,0,5988,6868,63,9364,0
2019-01-01 01:00:00+00:00,1025,377,0,6086,6832,63,9240,0
2019-01-01 01:30:00+00:00,1022,370,0,5307,6829,63,9014,0
2019-01-01 02:00:00+00:00,1021,357,0,4857,6829,63,8838,0
2019-01-01 02:30:00+00:00,1016,341,0,5243,6823,63,8881,0
2019-01-01 03:00:00+00:00,1016,326,0,5276,6825,63,8704,0
2019-01-01 03:30:00+00:00,1013,323,0,4793,6811,65,8637,0
2019-01-01 04:00:00+00:00,1011,398,0,4894,6797,64,8560,0
2019-01-01 04:30:00+00:00,1011,401,0,4854,6784,64,8267,0
2019-01-01 05:00:00+00:00,1012,430,0,4994,6769,64,8021,0
2019-01-01 05:30:00+00:00,1016,447,0,5377,6751,64,7854,0
2019-01-01 06:00:00+00:00,1268,447,0,5854,6749,64,7776,0
2019-01-01 06:30:00+00:00,1564,444,0,6345,6721,63,7498,0
2019-01-01 07:00:00+00:00,1075,454,0,6677,6715,63,7453,0
2019-01-01 07:30:00+00:00,1016,418,0,6455,6699,80,7335,0
2019-01-01 08:00:00+00:00,1019,469,0,7020,6682,63,6902,5
2019-01-01 08:30:00+00:00,1020,479,0,7873,6678,66,6229,105
2019-01-01 09:00:00+00:00,1038,526,0,8975,6665,66,5953,358
2019-01-01 09:30:00+00:00,1111,515,0,10294,6649,64,5664,688
2019-01-01 10:00:00+00:00,1302,516,0,11053,6637,79,5844,1110
2019-01-01 10:30:00+00:00,1260,517,150,11712,6632,65,5607,1530
2019-01-01 11:00:00+00:00,1306,512,308,12471,6522,65,5501,1920
2019-01-01 11:30:00+00:00,1330,498,305,13145,6502,65,5658,2080
2019-01-01 12:00:00+00:00,1342,510,306,13588,6483,65,5761,2010
2019-01-01 12:30:00+00:00,1160,521,376,14204,6462,66,5228,1880
2019-01-01 13:00:00+00:00,1112,541,502,14749,6438,64,5115,1560
2019-01-01 13:30:00+00:00,1120,552,507,15075,6427,68,5137,1210
2019-01-01 14:00:00+00:00,1123,524,413,15235,6434,63,5006,896
2019-01-01 14:30:00+00:00,911,523,556,15514,6425,71,5327,551
2019-01-01 15:00:00+00:00,1026,543,652,15822,6431,67,5257,236
2019-01-01 15:30:00+00:00,1436,546,961,15936,6433,64,4969,48
2019-01-01 16:00:00+00:00,1379,562,1480,16939,6432,66,4814,0
2019-01-01 16:30:00+00:00,1460,925,2365,18011,6424,70,4820,2
2019-01-01 17:00:00+00:00,1371,961,2570,18137,6424,83,4745,0
2019-01-01 17:30:00+00:00,1381,939,2649,18086,6423,71,4700,1
2019-01-01 18:00:00+00:00,1384,871,2622,18099,6422,67,4665,0
2019-01-01 18:30:00+00:00,1475,754,2575,18071,6425,67,4599,0
2019-01-01 19:00:00+00:00,1447,612,2329,17935,6426,67,4716,0
2019-01-01 19:30:00+00:00,1452,570,1502,17547,6427,75,4719,0
2019-01-01 20:00:00+00:00,1451,497,1339,17367,6413,65,4665,0
2019-01-01 20:30:00+00:00,1435,473,1030,16884,6419,63,4538,0
2019-01-01 21:00:00+00:00,1097,461,902,16503,6418,66,4697,0
2019-01-01 21:30:00+00:00,1012,467,654,15300,6423,64,4615,0
2019-01-01 22:00:00+00:00,1017,440,646,15172,6414,64,4383,0
2019-01-01 22:30:00+00:00,923,430,644,14529,6410,65,4336,0
2019-01-01 23:00:00+00:00,902,396,616,13058,6415,66,4226,0
2019-01-01 23:30:00+00:00,904,383,313,12297,6338,67,4109,0
2019-01-02 00:00:00+00:00,904,381,300,11770,6332,67,3911,0
2019-01-02 00:30:00+00:00,921,380,300,12302,6314,67,3932,0
2019-01-02 01:00:00+00:00,899,378,301,12846,6317,64,3685,0
2019-01-02 01:30:00+00:00,902,378,301,12688,6317,63,3248,0
2019-01-02 02:00:00+00:00,915,378,328,12644,6311,63,3277,0
2019-01-02 02:30:00+00:00,931,378,326,12906,6317,63,3122,0
2019-01-02 03:00:00+00:00,952,374,309,12688,6315,63,3021,0
2019-01-02 03:30:00+00:00,978,374,300,12713,6319,67,3116,0
2019-01-02 04:00:00+00:00,1002,389,299,12035,6318,65,2933,0
2019-01-02 04:30:00+00:00,1023,386,303,12362,6324,67,2976,0
2019-01-02 05:00:00+00:00,1139,410,423,12238,6326,67,2952,0
2019-01-02 05:30:00+00:00,1254,417,648,12552,6325,67,2943,0
2019-01-02 06:00:00+00:00,1281,417,948,13517,6320,67,3111,0
2019-01-02 06:30:00+00:00,1315,418,1333,15336,5829,67,3003,0
2019-01-02 07:00:00+00:00,1875,442,1598,18236,5834,67,2711,0
2019-01-02 07:30:00+00:00,2493,451,1557,20848,5828,67,2675,0
2019-01-02 08:00:00+00:00,2423,521,1673,21399,5832,66,2809,4
2019-01-02 08:30:00+00:00,2628,549,1846,22009,5833,65,2611,135
2019-01-02 09:00:00+00:00,2673,554,2041,22991,5828,75,2584,300
2019-01-02 09:30:00+00:00,2811,559,2743,23003,5775,65,2213,752
2019-01-02 10:00:00+00:00,2819,544,3126,23182,5690,76,2293,1350
2019-01-02 10:30:00+00:00,2817,543,3233,23167,5695,66,1968,1680
2019-01-02 11:00:00+00:00,2822,502,3275,23287,5686,67,1824,1820
2019-01-02 11:30:00+00:00,2820,497,3304,23304,5687,67,1787,1820
2019-01-02 12:00:00+00:00,2825,628,3324,23271,5690,77,1599,1630
2019-01-02 12:30:00+00:00,2823,807,3523,23309,5694,66,1512,1460
2019-01-02 13:00:00+00:00,2822,808,3751,23463,5743,65,1543,1230
2019-01-02 13:30:00+00:00,2825,810,3792,23572,5851,64,1426,980
2019-01-02 14:00:00+00:00,2819,737,3885,23755,5918,65,1418,729
2019-01-02 14:30:00+00:00,2820,641,4237,23950,5922,64,1308,438
2019-01-02 15:00:00+00:00,2822,658,4720,24247,5913,64,1207,183
2019-01-02 15:30:00+00:00,2702,562,5044,24588,5928,64,1175,35
2019-01-02 16:00:00+00:00,2702,637,5387,24666,5914,66,1030,2
2019-01-02 16:30:00+00:00,2718,824,5686,25520,5923,67,1285,1
2019-01-02 17:00:00+00:00,2695,846,5692,25744,5921,72,1280,1
2019-01-02 17:30:00+00:00,2755,836,5532,25790,5922,77,1321,1
2019-01-02 18:00:00+00:00,2723,908,5470,25533,5924,71,1383,0
2019-01-02 18:30:00+00:00,2729,911,5626,25208,5924,68,1294,0
2019-01-02 19:00:00+00:00,2682,876,5646,25104,5927,68,1342,0
2019-01-02 19:30:00+00:00,2609,612,5737,24600,5927,67,1398,0
2019-01-02 20:00:00+00:00,2230,609,5588,24450,5925,68,1387,0
2019-01-02 20:30:00+00:00,1857,538,5267,23994,5915,63,1281,0
2019-01-02 21:00:00+00:00,1751,502,4421,23278,5916,62,1390,0
2019-01-02 21:30:00+00:00,1607,502,3145,22614,5919,63,1364,0
2019-01-02 22:00:00+00:00,1469,445,2296,21916,5910,64,1292,0
2019-01-02 22:30:00+00:00,1557,445,1337,20999,5915,65,1160,0
2019-01-02 23:00:00+00:00,1421,409,1122,19601,5921,65,1350,0
2019-01-02 23:30:00+00:00,1292,395,546,19111,5922,67,1392,0
2019-01-03 00:00:00+00:00,1276,356,529,18873,5776,67,1519,0
2019-01-03 00:30:00+00:00,1174,346,535,18727,5698,66,1335,0
2019-01-03 01:00:00+00:00,1271,323,312,19066,5690,66,1344,0
2019-01-03 01:30:00+00:00,1276,323,299,18551,5691,65,1385,0
2019-01-03 02:00:00+00:00,1162,323,300,18672,5693,65,1293,0
2019-01-03 02:30:00+00:00,1290,323,300,18930,5667,63,1379,0
2019-01-03 03:00:00+00:00,1234,323,300,18779,5679,63,1374,0
2019-01-03 03:30:00+00:00,1273,322,299,18431,5699,64,1232,0
2019-01-03 04:00:00+00:00,1273,320,301,18115,5853,63,1308,0
2019-01-03 04:30:00+00:00,1278,320,310,17906,5903,64,1426,0
2019-01-03 05:00:00+00:00,1292,316,489,18034,5906,65,1460,0
