,UTC time,carbon_intensity,biomass,hydro,coal,nat_gas,nuclear,unknown,wind,solar,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean
0,2019-01-01 00:00:00,146.46,2152,847,0,12318,13872,129,18558,0,5.56754668286767,278.339281200267,273.801674916677,0,0
1,2019-01-01 01:00:00,145.08,2069,766,0,12074,13700,126,18604,0,5.28223387497123,278.1492457181,273.621960629508,0,0
2,2019-01-01 02:00:00,132.74,2043,727,0,10164,13658,126,17852,0,5.28223387497123,278.1492457181,273.621960629508,0,0
3,2019-01-01 03:00:00,136.46,2032,667,0,10519,13648,126,17585,0,5.28223387497123,278.1492457181,273.621960629508,0,0
4,2019-01-01 04:00:00,130.8,2024,721,0,9687,13608,129,17197,0,5.11700628993916,277.993001292476,273.631758530214,0,0.00741843278857
5,2019-01-01 05:00:00,134.57,2023,831,0,9848,13553,128,16288,0,5.11700628993916,277.993001292476,273.631758530214,0,0.00741843278857
6,2019-01-01 06:00:00,148.25,2284,894,0,11231,13500,128,15630,0,5.11700628993916,277.993001292476,273.631758530214,0,0.00741843278857
7,2019-01-01 07:00:00,164.7,2639,898,0,13022,13436,126,14951,0,5.00480836858615,277.961624961061,273.73186579934,0.815465122222101,0.00055503617617
8,2019-01-01 08:00:00,170.04,2035,887,0,13475,13381,143,14237,5,5.00480836858615,277.961624961061,273.73186579934,0.815465122222101,0.00055503617617
9,2019-01-01 09:00:00,199,2058,1005,0,16848,13343,132,12182,463,5.00480836858615,277.961624961061,273.73186579934,0.815465122222101,0.00055503617617
10,2019-01-01 10:00:00,223.32,2413,1031,0,21347,13286,143,11508,1798,4.9284816104352,278.913214721178,274.202992820338,38.5545800358933,0.007952482185289
11,2019-01-01 11:00:00,238.35,2566,1029,458,24183,13154,130,11108,3450,4.9284816104352,278.913214721178,274.202992820338,38.5545800358933,0.007952482185289
12,2019-01-01 12:00:00,248.05,2672,1008,611,26733,12985,130,11419,4090,4.9284816104352,278.913214721178,274.202992820338,38.5545800358933,0.007952482185289
13,2019-01-01 13:00:00,266.25,2272,1062,878,28953,12900,130,10343,3440,4.56913606776137,278.888224953686,274.472863269684,93.9023162167469,0
14,2019-01-01 14:00:00,277.64,2243,1076,920,30310,12861,131,10143,2106,4.56913606776137,278.888224953686,274.472863269684,93.9023162167469,0
15,2019-01-01 15:00:00,287.4,1937,1066,1208,31336,12856,138,10584,787,4.56913606776137,278.888224953686,274.472863269684,93.9023162167469,0
16,2019-01-01 16:00:00,308.38,2815,1108,2441,32875,12865,130,9783,48,4.4456021359071,278.303384020704,274.398390229846,49.609404316102,0.007931506123043
17,2019-01-01 17:00:00,333.81,2831,1886,4935,36148,12848,153,9565,2,4.4456021359071,278.303384020704,274.398390229846,49.609404316102,0.007931506123043
18,2019-01-01 18:00:00,337.61,2765,1810,5271,36185,12845,138,9365,1,4.4456021359071,278.303384020704,274.398390229846,49.609404316102,0.007931506123043
19,2019-01-01 19:00:00,336.6,2922,1366,4904,36006,12851,134,9315,0,4.51032216478677,278.20671319669,274.559463221993,0,0
20,2019-01-01 20:00:00,319.65,2903,1067,2841,34914,12840,140,9384,0,4.51032216478677,278.20671319669,274.559463221993,0,0
21,2019-01-01 21:00:00,309.82,2532,934,1932,33387,12837,129,9235,0,4.51032216478677,278.20671319669,274.559463221993,0,0
22,2019-01-01 22:00:00,296.95,2029,907,1300,30472,12837,128,8998,0,4.59725806760841,278.16180333031,274.686072563306,0,0.008010598079002
23,2019-01-01 23:00:00,289.16,1825,826,1260,27587,12825,131,8562,0,4.59725806760841,278.16180333031,274.686072563306,0,0.008010598079002
24,2019-01-02 00:00:00,271.73,1808,764,613,24067,12670,134,8020,0,4.59725806760841,278.16180333031,274.686072563306,0,0.008010598079002
25,2019-01-02 01:00:00,278.8,1820,758,601,25148,12631,131,7617,0,4.46984072796028,278.067449024781,274.793442303759,0,0.00330567101954
