Interval,UTC Time,Next Time,Time Difference
60.0,2021-05-02 22:00:00+00:00,2021-05-04 23:00:00+00:00,2 days 01:00:00
60.0,2021-09-11 22:00:00+00:00,2021-09-14 23:00:00+00:00,3 days 01:00:00
60.0,2021-10-28 22:00:00+00:00,2021-10-29 23:00:00+00:00,1 days 01:00:00
60.0,2021-12-02 23:00:00+00:00,2021-12-04 00:00:00+00:00,1 days 01:00:00
60.0,2022-01-06 23:00:00+00:00,2022-01-08 00:00:00+00:00,1 days 01:00:00
60.0,2022-01-08 23:00:00+00:00,2022-01-10 00:00:00+00:00,1 days 01:00:00
60.0,2022-01-10 23:00:00+00:00,2022-01-12 00:00:00+00:00,1 days 01:00:00
60.0,2022-01-14 23:00:00+00:00,2022-01-17 00:00:00+00:00,2 days 01:00:00
60.0,2022-04-05 22:00:00+00:00,2022-04-07 23:00:00+00:00,2 days 01:00:00
60.0,2022-04-08 22:00:00+00:00,2022-04-09 23:00:00+00:00,1 days 01:00:00
60.0,2022-04-21 22:00:00+00:00,2022-04-24 23:00:00+00:00,3 days 01:00:00
60.0,2022-05-04 22:00:00+00:00,2022-05-05 23:00:00+00:00,1 days 01:00:00
60.0,2022-06-23 22:00:00+00:00,2022-06-24 23:00:00+00:00,1 days 01:00:00
Total Missing Minutes:,28800.0,,
Total Missing Percent:,1.3661,,
