datetime,avg_nat_gas_production_forecast
2023-06-27T00:00:00.000000000,43558.14322
2023-06-27T01:00:00.000000000,36414.74097
2023-06-27T02:00:00.000000000,31169.38135
2023-06-27T03:00:00.000000000,25465.9666
2023-06-27T04:00:00.000000000,23313.13754
2023-06-27T05:00:00.000000000,25311.23601
2023-06-27T06:00:00.000000000,24609.67833
2023-06-27T07:00:00.000000000,17224.83876
2023-06-27T08:00:00.000000000,3354.06774
2023-06-27T09:00:00.000000000,0.0
2023-06-27T10:00:00.000000000,0.0
2023-06-27T11:00:00.000000000,0.0
2023-06-27T12:00:00.000000000,0.0
2023-06-27T13:00:00.000000000,7319.01231
2023-06-27T14:00:00.000000000,12095.65218
2023-06-27T15:00:00.000000000,9775.87612
2023-06-27T16:00:00.000000000,5448.80914
2023-06-27T17:00:00.000000000,4351.76336
2023-06-27T18:00:00.000000000,5651.58086
2023-06-27T19:00:00.000000000,10538.7001
2023-06-27T20:00:00.000000000,23868.81705
2023-06-27T21:00:00.000000000,36338.3105
2023-06-27T22:00:00.000000000,44328.71647
2023-06-27T23:00:00.000000000,43283.85967
2023-06-28T00:00:00.000000000,53097.01507
2023-06-28T01:00:00.000000000,48621.20971
2023-06-28T02:00:00.000000000,41795.10887
2023-06-28T03:00:00.000000000,31915.83565
2023-06-28T04:00:00.000000000,24350.13589
2023-06-28T05:00:00.000000000,20301.50004
2023-06-28T06:00:00.000000000,14881.52263
2023-06-28T07:00:00.000000000,7317.36499
2023-06-28T08:00:00.000000000,0.0
2023-06-28T09:00:00.000000000,0.0
2023-06-28T10:00:00.000000000,0.0
2023-06-28T11:00:00.000000000,0.0
2023-06-28T12:00:00.000000000,0.0
2023-06-28T13:00:00.000000000,0.0
2023-06-28T14:00:00.000000000,0.0
2023-06-28T15:00:00.000000000,0.0
2023-06-28T16:00:00.000000000,4063.07361
2023-06-28T17:00:00.000000000,12731.66181
2023-06-28T18:00:00.000000000,18887.61485
2023-06-28T19:00:00.000000000,21993.54911
2023-06-28T20:00:00.000000000,28451.545
2023-06-28T21:00:00.000000000,34477.20823
2023-06-28T22:00:00.000000000,42377.59352
2023-06-28T23:00:00.000000000,47242.87743
2023-06-29T00:00:00.000000000,54712.11963
2023-06-29T01:00:00.000000000,49581.96865
2023-06-29T02:00:00.000000000,42079.1046
2023-06-29T03:00:00.000000000,32091.96713
2023-06-29T04:00:00.000000000,25581.31627
2023-06-29T05:00:00.000000000,22961.61152
2023-06-29T06:00:00.000000000,18005.08892
2023-06-29T07:00:00.000000000,9384.17423
2023-06-29T08:00:00.000000000,0.0
2023-06-29T09:00:00.000000000,0.0
2023-06-29T10:00:00.000000000,0.0
2023-06-29T11:00:00.000000000,0.0
2023-06-29T12:00:00.000000000,0.0
2023-06-29T13:00:00.000000000,0.0
2023-06-29T14:00:00.000000000,0.0
2023-06-29T15:00:00.000000000,0.0
2023-06-29T16:00:00.000000000,4053.14706
2023-06-29T17:00:00.000000000,12646.56999
2023-06-29T18:00:00.000000000,18048.55601
2023-06-29T19:00:00.000000000,19985.45188
2023-06-29T20:00:00.000000000,26251.76089
2023-06-29T21:00:00.000000000,33598.60016
2023-06-29T22:00:00.000000000,43309.93014
2023-06-29T23:00:00.000000000,49009.62833
2023-06-30T00:00:00.000000000,55991.59701
2023-06-30T01:00:00.000000000,51281.46675
2023-06-30T02:00:00.000000000,44395.34151
2023-06-30T03:00:00.000000000,34984.75904
2023-06-30T04:00:00.000000000,28421.99907
2023-06-30T05:00:00.000000000,25168.16686
2023-06-30T06:00:00.000000000,19342.42197
2023-06-30T07:00:00.000000000,9789.12061
2023-06-30T08:00:00.000000000,0.0
2023-06-30T09:00:00.000000000,0.0
2023-06-30T10:00:00.000000000,0.0
2023-06-30T11:00:00.000000000,0.0
2023-06-30T12:00:00.000000000,0.0
2023-06-30T13:00:00.000000000,0.0
2023-06-30T14:00:00.000000000,0.0
2023-06-30T15:00:00.000000000,0.0
2023-06-30T16:00:00.000000000,3976.75924
2023-06-30T17:00:00.000000000,12061.24448
2023-06-30T18:00:00.000000000,17206.63924
2023-06-30T19:00:00.000000000,19388.07145
2023-06-30T20:00:00.000000000,26302.37791
2023-06-30T21:00:00.000000000,34223.28385
2023-06-30T22:00:00.000000000,44260.44013
2023-06-30T23:00:00.000000000,50029.04697
