datetime,avg_coal_production_forecast
2023-06-27T00:00:00.000000000,11557.48547
2023-06-27T01:00:00.000000000,11243.32582
2023-06-27T02:00:00.000000000,10854.3981
2023-06-27T03:00:00.000000000,10455.20097
2023-06-27T04:00:00.000000000,9899.86277
2023-06-27T05:00:00.000000000,9176.13625
2023-06-27T06:00:00.000000000,8731.78514
2023-06-27T07:00:00.000000000,8408.08015
2023-06-27T08:00:00.000000000,7848.55546
2023-06-27T09:00:00.000000000,7263.77294
2023-06-27T10:00:00.000000000,6803.1814
2023-06-27T11:00:00.000000000,6969.91919
2023-06-27T12:00:00.000000000,7288.63997
2023-06-27T13:00:00.000000000,7876.73126
2023-06-27T14:00:00.000000000,8556.15275
2023-06-27T15:00:00.000000000,9344.81643
2023-06-27T16:00:00.000000000,9981.91281
2023-06-27T17:00:00.000000000,10608.78399
2023-06-27T18:00:00.000000000,11187.82666
2023-06-27T19:00:00.000000000,11709.86523
2023-06-27T20:00:00.000000000,11741.85286
2023-06-27T21:00:00.000000000,11683.06387
2023-06-27T22:00:00.000000000,11541.09945
2023-06-27T23:00:00.000000000,11349.60444
2023-06-28T00:00:00.000000000,11185.16757
2023-06-28T01:00:00.000000000,10841.27105
2023-06-28T02:00:00.000000000,10432.33773
2023-06-28T03:00:00.000000000,10018.23216
2023-06-28T04:00:00.000000000,9501.07116
2023-06-28T05:00:00.000000000,8867.35512
2023-06-28T06:00:00.000000000,8522.04416
2023-06-28T07:00:00.000000000,8299.20769
2023-06-28T08:00:00.000000000,7842.42587
2023-06-28T09:00:00.000000000,7363.94934
2023-06-28T10:00:00.000000000,7017.97395
2023-06-28T11:00:00.000000000,7254.57067
2023-06-28T12:00:00.000000000,7618.60119
2023-06-28T13:00:00.000000000,8221.55321
2023-06-28T14:00:00.000000000,8872.88729
2023-06-28T15:00:00.000000000,9586.8734
2023-06-28T16:00:00.000000000,10141.73101
2023-06-28T17:00:00.000000000,10635.25279
2023-06-28T18:00:00.000000000,11098.42799
2023-06-28T19:00:00.000000000,11517.94083
2023-06-28T20:00:00.000000000,11487.57531
2023-06-28T21:00:00.000000000,11387.91004
2023-06-28T22:00:00.000000000,11220.62465
2023-06-28T23:00:00.000000000,11020.34132
2023-06-29T00:00:00.000000000,10848.56635
2023-06-29T01:00:00.000000000,10494.2208
2023-06-29T02:00:00.000000000,10078.11847
2023-06-29T03:00:00.000000000,9660.24949
2023-06-29T04:00:00.000000000,9162.89975
2023-06-29T05:00:00.000000000,8570.62267
2023-06-29T06:00:00.000000000,8268.74605
2023-06-29T07:00:00.000000000,8088.87244
2023-06-29T08:00:00.000000000,7687.5305
2023-06-29T09:00:00.000000000,7270.05512
2023-06-29T10:00:00.000000000,6985.91932
2023-06-29T11:00:00.000000000,7255.94372
2023-06-29T12:00:00.000000000,7642.92939
2023-06-29T13:00:00.000000000,8253.87691
2023-06-29T14:00:00.000000000,8894.52412
2023-06-29T15:00:00.000000000,9574.95031
2023-06-29T16:00:00.000000000,10091.04767
2023-06-29T17:00:00.000000000,10527.35276
2023-06-29T18:00:00.000000000,10938.86729
2023-06-29T19:00:00.000000000,11311.20974
2023-06-29T20:00:00.000000000,11256.84086
2023-06-29T21:00:00.000000000,11137.66883
2023-06-29T22:00:00.000000000,10954.02689
2023-06-29T23:00:00.000000000,10740.95258
2023-06-30T00:00:00.000000000,10565.23248
2023-06-30T01:00:00.000000000,10203.93963
2023-06-30T02:00:00.000000000,9781.87855
2023-06-30T03:00:00.000000000,9361.1807
2023-06-30T04:00:00.000000000,8874.23647
2023-06-30T05:00:00.000000000,8302.98374
2023-06-30T06:00:00.000000000,8023.04073
2023-06-30T07:00:00.000000000,7864.58295
2023-06-30T08:00:00.000000000,7499.12256
2023-06-30T09:00:00.000000000,7123.48957
2023-06-30T10:00:00.000000000,6880.44369
2023-06-30T11:00:00.000000000,7172.74514
2023-06-30T12:00:00.000000000,7576.88193
2023-06-30T13:00:00.000000000,8196.75774
2023-06-30T14:00:00.000000000,8836.57144
2023-06-30T15:00:00.000000000,9501.98536
2023-06-30T16:00:00.000000000,9998.1985
2023-06-30T17:00:00.000000000,10407.03851
2023-06-30T18:00:00.000000000,10791.95514
2023-06-30T19:00:00.000000000,11138.62161
2023-06-30T20:00:00.000000000,11072.80393
2023-06-30T21:00:00.000000000,10940.34206
2023-06-30T22:00:00.000000000,10742.16355
2023-06-30T23:00:00.000000000,10513.70231
