UTC time,oil,wind,hydro,nat_gas,coal
2023-01-01 00:00,159.0,15.0,224.0,0.0,376.0
2023-01-01 01:00,159.0,16.0,159.0,0.0,367.0
2023-01-01 02:00,159.0,17.0,102.0,0.0,360.0
2023-01-01 03:00,159.0,25.0,60.0,0.0,355.0
2023-01-01 04:00,159.0,23.0,46.0,0.0,357.0
2023-01-01 05:00,159.0,17.0,46.0,100.0,352.0
2023-01-01 06:00,159.0,10.0,76.0,200.0,353.0
2023-01-01 07:00,159.0,9.0,130.0,200.0,348.0
2023-01-01 08:00,159.0,6.0,120.0,200.0,357.0
2023-01-01 09:00,159.0,4.0,165.0,200.0,357.0
2023-01-01 10:00,159.0,4.0,207.0,200.0,367.0
2023-01-01 11:00,159.0,2.0,207.0,200.0,361.0
2023-01-01 12:00,159.0,1.0,207.0,200.0,358.0
2023-01-01 13:00,159.0,0.0,206.0,200.0,359.0
2023-01-01 14:00,159.0,0.0,234.0,200.0,357.0
2023-01-01 15:00,159.0,0.0,274.0,200.0,355.0
2023-01-01 16:00,158.0,0.0,285.0,200.0,360.0
2023-01-01 17:00,158.0,0.0,278.0,200.0,367.0
2023-01-01 18:00,158.0,0.0,244.0,200.0,362.0
2023-01-01 19:00,158.0,0.0,234.0,200.0,362.0
2023-01-01 20:00,159.0,0.0,225.0,200.0,361.0
2023-01-01 21:00,159.0,0.0,231.0,200.0,362.0
2023-01-01 22:00,159.0,0.0,180.0,170.0,359.0
2023-01-01 23:00,158.0,0.0,228.0,0.0,360.0
2023-01-02 00:00,158.0,0.0,164.0,0.0,362.0
2023-01-02 01:00,158.0,0.0,102.0,0.0,370.0
2023-01-02 02:00,159.0,0.0,46.0,0.0,370.0
2023-01-02 03:00,158.0,0.0,2.0,0.0,362.0
2023-01-02 04:00,158.0,0.0,37.0,0.0,339.0
2023-01-02 05:00,158.0,0.0,135.0,100.0,311.0
2023-01-02 06:00,158.0,0.0,94.0,200.0,309.0
2023-01-02 07:00,158.0,2.0,162.0,200.0,311.0
2023-01-02 08:00,158.0,2.0,235.0,200.0,310.0
2023-01-02 09:00,157.0,1.0,305.0,200.0,309.0
2023-01-02 10:00,158.0,0.0,327.0,200.0,301.0
2023-01-02 11:00,158.0,0.0,331.0,200.0,298.0
2023-01-02 12:00,158.0,0.0,323.0,200.0,292.0
2023-01-02 13:00,158.0,0.0,323.0,200.0,293.0
2023-01-02 14:00,158.0,0.0,330.0,200.0,293.0
2023-01-02 15:00,158.0,0.0,365.0,200.0,293.0
2023-01-02 16:00,158.0,0.0,401.0,200.0,294.0
2023-01-02 17:00,158.0,0.0,404.0,200.0,292.0
2023-01-02 18:00,158.0,0.0,388.0,200.0,293.0
2023-01-02 19:00,159.0,0.0,357.0,200.0,296.0
2023-01-02 20:00,158.0,0.0,356.0,200.0,297.0
