UTC time,nat_gas,nuclear,hydro,solar,wind,other
01/01/2019 00:00:00,1447,1168,7761,2,17,207
01/01/2019 01:00:00,1458,1169,8696,0,7,212
01/01/2019 02:00:00,1464,1170,9394,0,9,209
01/01/2019 03:00:00,1468,1171,9528,0,13,211
01/01/2019 04:00:00,1468,1173,9114,0,9,209
01/01/2019 05:00:00,1421,1172,8673,0,25,214
01/01/2019 06:00:00,1467,1171,8075,0,33,208
01/01/2019 07:00:00,1457,1171,6471,0,38,204
01/01/2019 08:00:00,1451,1171,6326,0,39,202
01/01/2019 09:00:00,1452,1171,6671,0,49,210
01/01/2019 10:00:00,1453,1168,6703,0,74,214
01/01/2019 11:00:00,1452,1169,6585,0,73,215
01/01/2019 12:00:00,1447,1169,6505,0,140,218
01/01/2019 13:00:00,1406,1167,6935,0,183,218
01/01/2019 14:00:00,1365,1165,7460,0,204,214
01/01/2019 15:00:00,1392,1166,7715,0,266,213
01/01/2019 16:00:00,1408,1167,8016,0,263,213
01/01/2019 17:00:00,1409,1163,8102,1,334,217
01/01/2019 18:00:00,1435,1164,8041,3,328,221
01/01/2019 19:00:00,1449,1164,7723,2,201,215
01/01/2019 20:00:00,1449,1166,7461,2,143,218
01/01/2019 21:00:00,1446,1169,6914,2,107,217
01/01/2019 22:00:00,1453,1172,6479,2,54,209
01/01/2019 23:00:00,1443,1171,6512,1,19,201
01/02/2019 00:00:00,1441,1171,7005,1,11,211
01/02/2019 01:00:00,1442,1170,8513,0,34,210
01/02/2019 02:00:00,1446,1169,9915,0,12,210
01/02/2019 03:00:00,1449,1166,10091,0,17,213
01/02/2019 04:00:00,1448,1166,9927,0,13,213
01/02/2019 05:00:00,1450,1170,9497,0,5,211
01/02/2019 06:00:00,1466,1168,8163,0,2,215
01/02/2019 07:00:00,1467,1168,7136,0,4,212
01/02/2019 08:00:00,1466,1168,6533,0,4,212
01/02/2019 09:00:00,1467,1167,6315,0,5,211
01/02/2019 10:00:00,1468,1169,6083,0,26,209
01/02/2019 11:00:00,1469,1169,6261,0,19,214
01/02/2019 12:00:00,1466,1170,6760,0,5,211
01/02/2019 13:00:00,1460,1171,7278,0,6,216
01/02/2019 14:00:00,1466,1171,8385,0,10,217
01/02/2019 15:00:00,1450,1170,9816,0,18,220
01/02/2019 16:00:00,1526,1170,10185,0,31,220
01/02/2019 17:00:00,1513,1169,9558,1,42,226
01/02/2019 18:00:00,1420,1168,8834,3,41,231
01/02/2019 19:00:00,1416,1167,8308,3,56,224
01/02/2019 20:00:00,1418,1166,7911,2,64,221
01/02/2019 21:00:00,1415,1165,7747,2,63,225
01/02/2019 22:00:00,1420,1164,7545,3,47,218
01/02/2019 23:00:00,1435,1164,7425,3,70,216
01/03/2019 00:00:00,1420,1166,7457,1,117,218
01/03/2019 01:00:00,1414,1165,9245,0,152,218
01/03/2019 02:00:00,1426,1163,10201,0,112,219
01/03/2019 03:00:00,1444,1159,10229,0,167,222
01/03/2019 04:00:00,1457,1159,10080,0,164,220
01/03/2019 05:00:00,1416,1160,9571,0,148,226
01/03/2019 06:00:00,1411,1161,7934,0,266,223
01/03/2019 07:00:00,1432,1161,6789,0,423,212
01/03/2019 08:00:00,1431,1159,6228,0,493,206
01/03/2019 09:00:00,1409,1161,6188,0,506,215
01/03/2019 10:00:00,1406,1164,5895,0,530,215
01/03/2019 11:00:00,1404,1165,5815,0,525,212
01/03/2019 12:00:00,1404,1164,5814,0,579,212
01/03/2019 13:00:00,1399,1161,6255,0,619,214
01/03/2019 14:00:00,1406,1161,7020,0,657,212
01/03/2019 15:00:00,1533,1162,8403,0,739,223
01/03/2019 16:00:00,1518,1161,8780,0,699,222
01/03/2019 17:00:00,1412,1159,8275,0,567,223
01/03/2019 18:00:00,1345,1158,7988,1,548,222
01/03/2019 19:00:00,1231,1157,7546,1,658,224
01/03/2019 20:00:00,1214,1157,7383,1,670,225
01/03/2019 21:00:00,1354,1158,7171,1,653,221
01/03/2019 22:00:00,1391,1156,7224,1,573,219
01/03/2019 23:00:00,1390,1158,7387,1,445,221
01/04/2019 00:00:00,1371,1159,7592,1,366,221
01/04/2019 01:00:00,1343,1160,8182,0,353,221
01/04/2019 02:00:00,1358,1164,9405,0,405,218
01/04/2019 03:00:00,1373,1164,9477,0,411,220
01/04/2019 04:00:00,1397,1164,8421,0,357,220
01/04/2019 05:00:00,1333,1165,7828,0,416,222
01/04/2019 06:00:00,1372,1166,7256,0,421,219
01/04/2019 07:00:00,1362,1165,6288,0,478,204
01/04/2019 08:00:00,1319,1165,5792,0,526,210
01/04/2019 09:00:00,1265,1164,5638,0,695,208
01/04/2019 10:00:00,1195,1164,5454,0,843,200
01/04/2019 11:00:00,1191,1163,5254,0,1111,204
01/04/2019 12:00:00,1191,1163,5429,0,1173,206
01/04/2019 13:00:00,1197,1163,5954,0,1136,210
01/04/2019 14:00:00,1269,1162,6669,0,874,216
01/04/2019 15:00:00,1211,1162,7443,0,916,220
01/04/2019 16:00:00,1205,1160,8196,0,874,223
01/04/2019 17:00:00,1277,1159,8383,0,538,212
01/04/2019 18:00:00,1401,1159,7808,1,428,210
01/04/2019 19:00:00,1391,1159,7747,1,340,211
01/04/2019 20:00:00,1359,1159,7608,1,267,213
01/04/2019 21:00:00,1294,1158,7527,1,143,217
01/04/2019 22:00:00,1320,1157,7276,1,126,223
01/04/2019 23:00:00,1373,1159,7250,0,103,225
01/05/2019 00:00:00,1398,1161,7676,0,107,213
01/05/2019 01:00:00,1398,1162,8384,0,100,217
01/05/2019 02:00:00,1399,1163,9263,0,120,217
01/05/2019 03:00:00,1400,1163,9212,0,149,209
01/05/2019 04:00:00,1412,1164,8672,0,114,215
01/05/2019 05:00:00,1412,1162,8497,0,70,213
01/05/2019 06:00:00,1416,1164,7844,0,65,214
01/05/2019 07:00:00,1414,1165,7382,0,87,202
01/05/2019 08:00:00,1418,1165,6697,0,108,210
01/05/2019 09:00:00,1389,1166,6182,0,167,212
01/05/2019 10:00:00,1368,1168,6064,0,205,202
01/05/2019 11:00:00,1339,1168,6054,0,214,201
01/05/2019 12:00:00,1391,1169,6261,0,164,203
01/05/2019 13:00:00,1355,1169,6818,0,207,201
01/05/2019 14:00:00,1342,1169,7321,0,229,210
01/05/2019 15:00:00,1378,1167,8364,0,239,213
01/05/2019 16:00:00,1366,1168,8767,0,307,208
01/05/2019 17:00:00,1371,1169,8806,0,283,210
01/05/2019 18:00:00,1341,1169,8790,0,323,217
01/05/2019 19:00:00,1405,1169,8829,1,309,220
01/05/2019 20:00:00,1412,1168,8609,2,235,217
01/05/2019 21:00:00,1408,1168,8408,1,156,221
01/05/2019 22:00:00,1390,1167,8205,0,154,224
01/05/2019 23:00:00,1402,1166,8190,0,217,221
01/06/2019 00:00:00,1400,1167,8347,1,230,217
01/06/2019 01:00:00,1409,1167,9118,0,263,219
01/06/2019 02:00:00,1343,1167,9657,0,384,219
01/06/2019 03:00:00,1254,1167,9459,0,520,215
01/06/2019 04:00:00,1257,1168,9011,0,605,215
01/06/2019 05:00:00,1222,1168,8117,0,906,214
01/06/2019 06:00:00,1265,1167,7811,0,867,212
01/06/2019 07:00:00,1402,1169,7564,0,705,208
01/06/2019 08:00:00,1339,1168,6329,0,1036,202
01/06/2019 09:00:00,1206,1170,5505,0,1185,196
01/06/2019 10:00:00,1205,1170,4583,0,2070,177
01/06/2019 11:00:00,1215,1168,4752,0,2337,191
01/06/2019 12:00:00,1264,1164,5303,0,2081,190
01/06/2019 13:00:00,1251,1159,5495,0,1801,175
01/06/2019 14:00:00,1258,1160,6180,0,1573,169
01/06/2019 15:00:00,1260,1160,6964,0,1320,159
01/06/2019 16:00:00,1244,1162,7357,0,1259,154
01/06/2019 17:00:00,1246,1160,8266,0,1011,154
01/06/2019 18:00:00,1287,1159,8107,0,945,158
01/06/2019 19:00:00,1410,1162,7840,1,703,170
01/06/2019 20:00:00,1426,1164,7415,2,796,183
01/06/2019 21:00:00,1303,1163,7414,1,722,180
01/06/2019 22:00:00,1220,1163,7623,0,469,206
01/06/2019 23:00:00,1232,1164,7717,0,351,199
01/07/2019 00:00:00,1380,1163,8024,0,233,209
01/07/2019 01:00:00,1381,1164,8720,0,387,208
01/07/2019 02:00:00,1283,1166,9681,0,504,205
01/07/2019 03:00:00,1232,1166,9633,0,704,200
01/07/2019 04:00:00,1238,1166,8557,0,1198,194
01/07/2019 05:00:00,1253,1166,7481,0,1519,190
01/07/2019 06:00:00,1250,1167,7249,0,1915,194
01/07/2019 07:00:00,1277,1167,6381,0,2264,197
01/07/2019 08:00:00,1275,1167,6233,0,1944,187
01/07/2019 09:00:00,1277,1166,5721,0,2083,187
01/07/2019 10:00:00,1283,1167,5470,0,1987,184
01/07/2019 11:00:00,1257,1168,5511,0,1968,188
01/07/2019 12:00:00,1256,1168,5651,0,1997,189
01/07/2019 13:00:00,1276,1168,6379,0,2075,201
01/07/2019 14:00:00,1344,1166,7184,0,2306,197
