,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-06-26 00:00:00,167.29,180.0,450.0,36.0,960.0,187.0,0.0
1,2023-06-26 01:00:00,181.39,182.0,614.0,232.0,784.0,203.0,0.0
2,2023-06-26 02:00:00,229.05,183.0,744.0,254.0,441.0,187.0,0.0
3,2023-06-26 03:00:00,312.5,184.0,1204.0,286.0,78.0,121.0,0.0
4,2023-06-26 04:00:00,350.36,217.0,1325.0,283.0,0.0,45.0,0.0
5,2023-06-26 05:00:00,340.32,186.0,1326.0,283.0,0.0,62.0,0.0
6,2023-06-26 06:00:00,336.33,182.0,1266.0,277.0,0.0,79.0,0.0
7,2023-06-26 07:00:00,328.4,182.0,1017.0,280.0,1.0,87.0,0.0
8,2023-06-26 08:00:00,391.1,181.0,792.0,53.0,0.0,75.0,0.0
9,2023-06-26 09:00:00,398.74,181.0,749.0,48.0,4.0,58.0,0.0
10,2023-06-26 10:00:00,402.03,181.0,617.0,48.0,2.0,62.0,0.0
11,2023-06-26 11:00:00,406.62,181.0,614.0,48.0,3.0,51.0,0.0
12,2023-06-26 12:00:00,405.53,182.0,663.0,48.0,0.0,53.0,0.0
13,2023-06-26 13:00:00,401.17,181.0,771.0,49.0,2.0,51.0,0.0
14,2023-06-26 14:00:00,347.42,181.0,674.0,49.0,170.0,45.0,8.0
15,2023-06-26 15:00:00,237.92,180.0,496.0,44.0,608.0,41.0,16.0
16,2023-06-26 16:00:00,202.89,180.0,479.0,0.0,917.0,36.0,35.0
17,2023-06-26 17:00:00,178.25,180.0,417.0,0.0,1050.0,84.0,44.0
18,2023-06-26 18:00:00,173.11,180.0,417.0,0.0,1121.0,133.0,73.0
19,2023-06-26 19:00:00,182.49,180.0,420.0,0.0,1127.0,143.0,125.0
20,2023-06-26 20:00:00,181.79,178.0,480.0,0.0,1127.0,187.0,116.0
21,2023-06-26 21:00:00,186.49,179.0,522.0,0.0,1130.0,157.0,107.0
22,2023-06-26 22:00:00,182.39,180.0,485.0,0.0,1129.0,181.0,112.0
23,2023-06-26 23:00:00,191.71,181.0,521.0,0.0,1074.0,185.0,119.0
