,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,hydro,solar,wind,other
0,2023-08-31 00:00:00,2023-09-03 15:38:40,3.0,378.63,454.0,1640.0,412.0,856.0,87.0,251.0
1,2023-08-31 01:00:00,2023-09-03 15:38:40,3.0,427.65,605.0,1844.0,404.0,592.0,72.0,247.0
2,2023-08-31 02:00:00,2023-09-03 15:38:40,3.0,495.62,846.0,2129.0,446.0,164.0,66.0,263.0
3,2023-08-31 03:00:00,2023-09-03 15:38:40,3.0,523.08,882.0,2148.0,411.0,1.0,62.0,263.0
4,2023-08-31 04:00:00,2023-09-03 15:38:40,3.0,508.58,722.0,2171.0,400.0,0.0,74.0,241.0
5,2023-08-31 05:00:00,2023-09-03 15:38:40,3.0,495.72,617.0,2174.0,398.0,0.0,98.0,233.0
6,2023-08-31 06:00:00,2023-09-03 15:38:40,3.0,482.45,533.0,1972.0,415.0,0.0,119.0,237.0
7,2023-08-31 07:00:00,2023-09-03 15:38:40,3.0,472.89,486.0,1366.0,444.0,0.0,94.0,223.0
8,2023-08-31 08:00:00,2023-09-03 15:38:40,3.0,471.26,424.0,1272.0,429.0,0.0,67.0,223.0
9,2023-08-31 09:00:00,2023-09-03 15:38:40,3.0,499.27,384.0,1283.0,270.0,0.0,58.0,226.0
10,2023-08-31 10:00:00,2023-09-03 15:38:40,3.0,512.78,373.0,1265.0,215.0,0.0,41.0,213.0
11,2023-08-31 11:00:00,2023-09-03 15:38:40,3.0,563.39,371.0,1248.0,33.0,0.0,27.0,213.0
12,2023-08-31 12:00:00,2023-09-03 15:38:40,3.0,561.02,362.0,1370.0,27.0,0.0,21.0,213.0
13,2023-08-31 13:00:00,2023-09-03 15:38:40,3.0,559.61,370.0,1407.0,28.0,0.0,24.0,212.0
14,2023-08-31 14:00:00,2023-09-03 15:38:40,3.0,564.11,463.0,1579.0,28.0,22.0,5.0,205.0
15,2023-08-31 15:00:00,2023-09-03 15:38:40,3.0,492.34,395.0,1303.0,28.0,347.0,3.0,209.0
16,2023-08-31 16:00:00,2023-09-03 15:38:40,3.0,410.77,394.0,1148.0,48.0,770.0,0.0,166.0
17,2023-08-31 17:00:00,2023-09-03 15:38:40,3.0,363.63,394.0,885.0,104.0,940.0,12.0,141.0
18,2023-08-31 18:00:00,2023-09-03 15:38:40,3.0,336.58,401.0,882.0,135.0,1009.0,143.0,148.0
19,2023-08-31 19:00:00,2023-09-03 15:38:40,3.0,337.8,401.0,980.0,134.0,1050.0,166.0,169.0
20,2023-08-31 20:00:00,2023-09-03 15:38:40,3.0,347.39,402.0,1269.0,138.0,1058.0,214.0,186.0
21,2023-08-31 21:00:00,2023-09-03 15:38:40,3.0,351.35,404.0,1477.0,321.0,938.0,215.0,205.0
22,2023-08-31 22:00:00,2023-09-03 15:38:40,3.0,370.34,457.0,1575.0,327.0,865.0,220.0,242.0
23,2023-08-31 23:00:00,2023-09-03 15:38:40,3.0,376.63,414.0,1747.0,327.0,793.0,232.0,252.0
