UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-03-24 00:00:00,2024-07-17 00:00:00,3.1,6.95885430514913,294.58454977069664,275.1926903213512,589.5973796150105,0.8731175567908116,4980.1552,5351.24827,15196.00874,3737.7368,70.64015,18340.36196,100.77414
2023-03-24 01:00:00,2024-07-17 00:00:00,3.1,4.815794615638694,289.936587500448,275.63262269234394,14.505056186116455,0.0326484731742572,5042.50572,2805.37521,15968.53149,3738.35882,130.88884,18012.86301,87.80447
2023-03-24 02:00:00,2024-07-17 00:00:00,3.1,4.815794615638694,289.936587500448,275.63262269234394,14.505056186116455,0.0326484731742572,5056.67326,688.57853,16572.17307,3739.61672,125.32821,17395.27387,70.8629
2023-03-24 03:00:00,2024-07-17 00:00:00,3.1,4.815794615638694,289.936587500448,275.63262269234394,14.505056186116455,0.0326484731742572,5136.45466,0.0,17058.63197,3744.30045,119.09426,16378.69932,60.34852
2023-03-24 04:00:00,2024-07-17 00:00:00,3.1,4.384829931144348,288.0116122224789,275.66699620659404,7.252644413673442,0.0492076959100527,5272.8378,0.0,17418.60102,3746.74906,119.5794,15213.7068,47.81005
2023-03-24 05:00:00,2024-07-17 00:00:00,3.1,4.384829931144348,288.0116122224789,275.66699620659404,7.252644413673442,0.0492076959100527,5309.88296,0.0,17605.76399,3748.28966,135.72301,13833.0984,29.7396
2023-03-24 06:00:00,2024-07-17 00:00:00,3.1,4.384829931144348,288.0116122224789,275.66699620659404,7.252644413673442,0.0492076959100527,5282.88585,7.85068,17503.67799,3748.46137,219.25129,12489.90525,16.35898
2023-03-24 07:00:00,2024-07-17 00:00:00,3.1,4.243209153718359,286.6636522255659,274.83491664402123,0.0,0.0307951627213902,5228.67624,0.0,17205.93008,3755.06856,228.23287,11461.02382,4.8992
2023-03-24 08:00:00,2024-07-17 00:00:00,3.1,4.243209153718359,286.6636522255659,274.83491664402123,0.0,0.0307951627213902,5198.92638,211.05171,16726.19779,3757.49552,230.81047,10771.92154,0.0
2023-03-24 09:00:00,2024-07-17 00:00:00,3.1,4.243209153718359,286.6636522255659,274.83491664402123,0.0,0.0307951627213902,5232.33758,125.97011,16173.27624,3759.61138,226.74442,10153.07641,0.0
