UTC time,nat_gas,hydro
2023-03-22 00:00:00,233.0,96.0
2023-03-22 01:00:00,302.0,96.0
2023-03-22 02:00:00,344.0,96.0
2023-03-22 03:00:00,403.0,96.0
2023-03-22 04:00:00,289.0,96.0
2023-03-22 05:00:00,233.0,96.0
2023-03-22 06:00:00,236.0,96.0
2023-03-22 07:00:00,234.0,96.0
2023-03-22 08:00:00,228.0,96.0
2023-03-22 09:00:00,209.0,96.0
2023-03-22 10:00:00,204.0,96.0
2023-03-22 11:00:00,233.0,96.0
2023-03-22 12:00:00,217.0,96.0
2023-03-22 13:00:00,235.0,96.0
2023-03-22 14:00:00,266.0,96.0
2023-03-22 15:00:00,340.0,96.0
2023-03-22 16:00:00,242.0,96.0
2023-03-22 17:00:00,219.0,96.0
2023-03-22 18:00:00,180.0,96.0
2023-03-22 19:00:00,173.0,96.0
2023-03-22 20:00:00,173.0,96.0
2023-03-22 21:00:00,172.0,97.0
2023-03-22 22:00:00,173.0,96.0
2023-03-22 23:00:00,173.0,96.0
