UTC time,nat_gas,hydro
2023-01-18 00:00:00,176.0,28.0
2023-01-18 01:00:00,193.0,29.0
2023-01-18 02:00:00,175.0,28.0
2023-01-18 03:00:00,177.0,28.0
2023-01-18 04:00:00,195.0,28.0
2023-01-18 05:00:00,199.0,28.0
2023-01-18 06:00:00,203.0,28.0
2023-01-18 07:00:00,208.0,28.0
2023-01-18 08:00:00,192.0,28.0
2023-01-18 09:00:00,244.0,28.0
2023-01-18 10:00:00,244.0,28.0
2023-01-18 11:00:00,244.0,28.0
2023-01-18 12:00:00,244.0,28.0
2023-01-18 13:00:00,244.0,28.0
2023-01-18 14:00:00,243.0,29.0
2023-01-18 15:00:00,242.0,48.0
2023-01-18 16:00:00,196.0,71.0
2023-01-18 17:00:00,174.0,82.0
2023-01-18 18:00:00,174.0,81.0
2023-01-18 19:00:00,174.0,79.0
2023-01-18 20:00:00,173.0,77.0
2023-01-18 21:00:00,171.0,79.0
2023-01-18 22:00:00,170.0,80.0
2023-01-18 23:00:00,169.0,80.0
