UTC time,nat_gas,hydro
2023-01-19 00:00:00,170.0,80.0
2023-01-19 01:00:00,170.0,80.0
2023-01-19 02:00:00,170.0,93.0
2023-01-19 03:00:00,170.0,94.0
2023-01-19 04:00:00,172.0,94.0
2023-01-19 05:00:00,171.0,94.0
2023-01-19 06:00:00,171.0,94.0
2023-01-19 07:00:00,174.0,94.0
2023-01-19 08:00:00,174.0,94.0
2023-01-19 09:00:00,198.0,94.0
2023-01-19 10:00:00,196.0,94.0
2023-01-19 11:00:00,196.0,94.0
2023-01-19 12:00:00,199.0,94.0
2023-01-19 13:00:00,202.0,94.0
2023-01-19 14:00:00,207.0,94.0
2023-01-19 15:00:00,200.0,94.0
2023-01-19 16:00:00,230.0,94.0
2023-01-19 17:00:00,203.0,94.0
2023-01-19 18:00:00,222.0,94.0
2023-01-19 19:00:00,205.0,94.0
2023-01-19 20:00:00,221.0,94.0
2023-01-19 21:00:00,209.0,94.0
2023-01-19 22:00:00,203.0,94.0
2023-01-19 23:00:00,187.0,94.0
