Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
38904,2023-06-10 00:00:00,2024-07-17 00:00:00,3.1,317.02,166.0,98.0
38905,2023-06-10 01:00:00,2024-07-17 00:00:00,3.1,321.48,173.0,98.0
38906,2023-06-10 02:00:00,2024-07-17 00:00:00,3.1,333.6,194.0,98.0
38907,2023-06-10 03:00:00,2024-07-17 00:00:00,3.1,352.86,235.0,98.0
38908,2023-06-10 04:00:00,2024-07-17 00:00:00,3.1,352.03,233.0,98.0
38909,2023-06-10 05:00:00,2024-07-17 00:00:00,3.1,352.45,234.0,98.0
38910,2023-06-10 06:00:00,2024-07-17 00:00:00,3.1,338.78,204.0,98.0
38911,2023-06-10 07:00:00,2024-07-17 00:00:00,3.1,334.67,196.0,98.0
38912,2023-06-10 08:00:00,2024-07-17 00:00:00,3.1,341.24,209.0,98.0
38913,2023-06-10 09:00:00,2024-07-17 00:00:00,3.1,324.54,178.0,98.0
38914,2023-06-10 10:00:00,2024-07-17 00:00:00,3.1,322.1,174.0,98.0
38915,2023-06-10 11:00:00,2024-07-17 00:00:00,3.1,328.63,185.0,98.0
38916,2023-06-10 12:00:00,2024-07-17 00:00:00,3.1,319.6,170.0,98.0
38917,2023-06-10 13:00:00,2024-07-17 00:00:00,3.1,321.48,173.0,98.0
38918,2023-06-10 14:00:00,2024-07-17 00:00:00,3.1,322.72,175.0,98.0
38919,2023-06-10 15:00:00,2024-07-17 00:00:00,3.1,324.54,178.0,98.0
38920,2023-06-10 16:00:00,2024-07-17 00:00:00,3.1,331.43,190.0,98.0
38921,2023-06-10 17:00:00,2024-07-17 00:00:00,3.1,329.76,187.0,98.0
38922,2023-06-10 18:00:00,2024-07-17 00:00:00,3.1,317.86,169.0,99.0
38923,2023-06-10 19:00:00,2024-07-17 00:00:00,3.1,315.69,164.0,98.0
38924,2023-06-10 20:00:00,2024-07-17 00:00:00,3.1,318.96,169.0,98.0
38925,2023-06-10 21:00:00,2024-07-17 00:00:00,3.1,315.69,164.0,98.0
38926,2023-06-10 22:00:00,2024-07-17 00:00:00,3.1,314.35,162.0,98.0
38927,2023-06-10 23:00:00,2024-07-17 00:00:00,3.1,314.35,162.0,98.0
