UTC time,nat_gas,hydro
2023-05-22 00:00:00,187.0,99.0
2023-05-22 01:00:00,176.0,98.0
2023-05-22 02:00:00,214.0,98.0
2023-05-22 03:00:00,297.0,98.0
2023-05-22 04:00:00,264.0,98.0
2023-05-22 05:00:00,234.0,98.0
2023-05-22 06:00:00,237.0,98.0
2023-05-22 07:00:00,196.0,98.0
2023-05-22 08:00:00,192.0,98.0
2023-05-22 09:00:00,165.0,99.0
2023-05-22 10:00:00,163.0,98.0
2023-05-22 11:00:00,163.0,98.0
2023-05-22 12:00:00,163.0,98.0
2023-05-22 13:00:00,215.0,98.0
2023-05-22 14:00:00,189.0,98.0
2023-05-22 15:00:00,163.0,98.0
2023-05-22 16:00:00,163.0,98.0
2023-05-22 17:00:00,163.0,99.0
2023-05-22 18:00:00,163.0,98.0
2023-05-22 19:00:00,163.0,99.0
2023-05-22 20:00:00,163.0,98.0
2023-05-22 21:00:00,163.0,98.0
2023-05-22 22:00:00,166.0,98.0
2023-05-22 23:00:00,178.0,99.0
