Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,nat_gas,hydro
40824,2023-08-29 00:00:00,2024-07-17 00:00:00,3.1,410.92,274.0,56.0
40825,2023-08-29 01:00:00,2024-07-17 00:00:00,3.1,403.2,249.0,57.0
40826,2023-08-29 02:00:00,2024-07-17 00:00:00,3.1,414.14,288.0,56.0
40827,2023-08-29 03:00:00,2024-07-17 00:00:00,3.1,405.82,254.0,56.0
40828,2023-08-29 04:00:00,2024-07-17 00:00:00,3.1,407.97,220.0,47.0
40829,2023-08-29 05:00:00,2024-07-17 00:00:00,3.1,431.75,252.0,36.0
40830,2023-08-29 06:00:00,2024-07-17 00:00:00,3.1,430.83,220.0,32.0
40831,2023-08-29 07:00:00,2024-07-17 00:00:00,3.1,428.0,202.0,31.0
40832,2023-08-29 08:00:00,2024-07-17 00:00:00,3.1,429.56,208.0,31.0
40833,2023-08-29 09:00:00,2024-07-17 00:00:00,3.1,433.57,225.0,31.0
40834,2023-08-29 10:00:00,2024-07-17 00:00:00,3.1,432.9,222.0,31.0
40835,2023-08-29 11:00:00,2024-07-17 00:00:00,3.1,432.67,221.0,31.0
40836,2023-08-29 12:00:00,2024-07-17 00:00:00,3.1,434.3,221.0,30.0
40837,2023-08-29 13:00:00,2024-07-17 00:00:00,3.1,436.23,230.0,30.0
40838,2023-08-29 14:00:00,2024-07-17 00:00:00,3.1,435.81,228.0,30.0
40839,2023-08-29 15:00:00,2024-07-17 00:00:00,3.1,420.88,178.0,31.0
40840,2023-08-29 16:00:00,2024-07-17 00:00:00,3.1,419.53,174.0,31.0
40841,2023-08-29 17:00:00,2024-07-17 00:00:00,3.1,419.39,168.0,30.0
40842,2023-08-29 18:00:00,2024-07-17 00:00:00,3.1,418.67,166.0,30.0
40843,2023-08-29 19:00:00,2024-07-17 00:00:00,3.1,416.67,166.0,31.0
40844,2023-08-29 20:00:00,2024-07-17 00:00:00,3.1,417.41,168.0,31.0
40845,2023-08-29 21:00:00,2024-07-17 00:00:00,3.1,417.04,167.0,31.0
40846,2023-08-29 22:00:00,2024-07-17 00:00:00,3.1,411.61,178.0,36.0
40847,2023-08-29 23:00:00,2024-07-17 00:00:00,3.1,397.62,182.0,45.0
