Unnamed: 0,UTC time,carbon_intensity,nat_gas,hydro,solar,wind,biomass,unknown
43128,2023-12-03 00:00:00,69.24,12.0,25.0,0.0,26.0,118.0,16.0
43129,2023-12-03 01:00:00,70.31,12.0,25.0,0.0,22.0,119.0,16.0
43130,2023-12-03 02:00:00,77.03,12.0,25.0,0.0,17.0,120.0,18.0
43131,2023-12-03 03:00:00,77.43,12.0,25.0,0.0,15.0,121.0,18.0
43132,2023-12-03 04:00:00,78.25,12.0,25.0,0.0,12.0,122.0,18.0
43133,2023-12-03 05:00:00,79.95,12.0,25.0,0.0,8.0,122.0,18.0
43134,2023-12-03 06:00:00,84.89,12.0,25.0,0.0,3.0,122.0,19.0
43135,2023-12-03 07:00:00,77.21,12.0,25.0,17.0,3.0,123.0,19.0
43136,2023-12-03 08:00:00,95.97,12.0,25.0,35.0,6.0,123.0,31.0
43137,2023-12-03 09:00:00,98.08,12.0,25.0,27.0,9.0,123.0,31.0
43138,2023-12-03 10:00:00,93.36,11.0,37.0,34.0,14.0,123.0,34.0
43139,2023-12-03 11:00:00,109.34,12.0,25.0,36.0,31.0,124.0,44.0
43140,2023-12-03 12:00:00,104.35,12.0,25.0,23.0,57.0,124.0,44.0
43141,2023-12-03 13:00:00,86.66,12.0,26.0,23.0,87.0,123.0,39.0
43142,2023-12-03 14:00:00,112.68,11.0,25.0,1.0,111.0,122.0,57.0
43143,2023-12-03 15:00:00,104.52,11.0,25.0,0.0,133.0,122.0,56.0
43144,2023-12-03 16:00:00,107.95,11.0,26.0,0.0,120.0,123.0,56.0
43145,2023-12-03 17:00:00,91.92,11.0,25.0,0.0,106.0,123.0,42.0
43146,2023-12-03 18:00:00,75.56,11.0,25.0,0.0,113.0,123.0,33.0
43147,2023-12-03 19:00:00,55.26,11.0,25.0,0.0,132.0,122.0,23.0
43148,2023-12-03 20:00:00,44.74,11.0,26.0,0.0,170.0,121.0,20.0
43149,2023-12-03 21:00:00,38.32,12.0,26.0,0.0,237.0,121.0,20.0
43150,2023-12-03 22:00:00,30.18,12.0,26.0,0.0,294.0,122.0,17.0
43151,2023-12-03 23:00:00,29.52,12.0,25.0,0.0,289.0,120.0,16.0
