UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast,avg_unknown_production_forecast
2023-05-14 00:00:00,2024-07-17 00:00:00,3.1,2.8608236566547296,284.32903755974417,280.7491355238837,0.3069973384110477,0.2201760161610238,30.38708,25.97469,0.0,216.00001,67.81142,6.88944
2023-05-14 01:00:00,2024-07-17 00:00:00,3.1,3.099772539122489,283.5823521217691,279.67002273332366,3.118981386046472,0.092179027937073,27.64279,27.30141,0.0,216.00001,68.1201,7.03601
2023-05-14 02:00:00,2024-07-17 00:00:00,3.1,3.099772539122489,283.5823521217691,279.67002273332366,3.118981386046472,0.092179027937073,30.77655,28.33068,4.0,209.99999,67.79491,7.0486
2023-05-14 03:00:00,2024-07-17 00:00:00,3.1,3.099772539122489,283.5823521217691,279.67002273332366,3.118981386046472,0.092179027937073,34.92431,30.11758,20.0,193.0,67.6992,7.18076
2023-05-14 04:00:00,2024-07-17 00:00:00,3.1,4.15952183769727,289.03553549775177,282.3229696390324,103.41243045276424,0.1855488136944849,37.24038,32.8914,68.0,164.0,68.11815,7.17669
2023-05-14 05:00:00,2024-07-17 00:00:00,3.1,4.15952183769727,289.03553549775177,282.3229696390324,103.41243045276424,0.1855488136944849,42.07676,34.52473,174.00001,127.0,66.2671,7.19085
2023-05-14 06:00:00,2024-07-17 00:00:00,3.1,4.15952183769727,289.03553549775177,282.3229696390324,103.41243045276424,0.1855488136944849,45.01286,39.97151,289.00001,77.0,67.07783,7.04456
2023-05-14 07:00:00,2024-07-17 00:00:00,3.1,5.640276378149769,293.54845344941435,282.1933270002216,540.936769088724,0.0043171698985638,56.78784,44.64943,389.0,51.0,67.49436,7.0534
2023-05-14 08:00:00,2024-07-17 00:00:00,3.1,5.640276378149769,293.54845344941435,282.1933270002216,540.936769088724,0.0043171698985638,62.35773,45.46502,445.00001,51.0,67.28235,7.29566
2023-05-14 09:00:00,2024-07-17 00:00:00,3.1,5.640276378149769,293.54845344941435,282.1933270002216,540.936769088724,0.0043171698985638,59.77333,43.5828,444.0,62.0,67.44225,7.41115
2023-05-14 10:00:00,2024-07-17 00:00:00,3.1,5.874733682089103,294.1580714652301,282.2035395110912,562.1755318000224,0.050099280757881,65.7823,39.17577,402.0,78.0,67.83568,7.42882
2023-05-14 11:00:00,2024-07-17 00:00:00,3.1,5.874733682089103,294.1580714652301,282.2035395110912,562.1755318000224,0.050099280757881,60.45296,36.99158,353.0,89.0,67.53694,7.48007
2023-05-14 12:00:00,2024-07-17 00:00:00,3.1,5.874733682089103,294.1580714652301,282.2035395110912,562.1755318000224,0.050099280757881,60.87283,36.22058,303.99999,90.0,67.54393,7.51575
2023-05-14 13:00:00,2024-07-17 00:00:00,3.1,5.907761198345164,290.8259226588833,283.2270931305648,250.67540751049512,0.7252873570383922,58.27991,37.35041,267.0,90.0,67.63621,7.54795
2023-05-14 14:00:00,2024-07-17 00:00:00,3.1,5.907761198345164,290.8259226588833,283.2270931305648,250.67540751049512,0.7252873570383922,62.75242,39.01976,198.0,86.0,67.84891,7.54684
2023-05-14 15:00:00,2024-07-17 00:00:00,3.1,5.907761198345164,290.8259226588833,283.2270931305648,250.67540751049512,0.7252873570383922,65.5589,41.28407,108.0,87.0,67.3694,7.5671
2023-05-14 16:00:00,2024-07-17 00:00:00,3.1,5.964174970687134,287.407288200734,283.52997159257444,147.23261126897978,2.6806309245150515,69.35212,41.77265,40.0,85.0,67.20866,7.70929
2023-05-14 17:00:00,2024-07-17 00:00:00,3.1,5.964174970687134,287.407288200734,283.52997159257444,147.23261126897978,2.6806309245150515,65.28302,42.46106,12.0,96.0,67.67849,7.67059
2023-05-14 18:00:00,2024-07-17 00:00:00,3.1,5.964174970687134,287.407288200734,283.52997159257444,147.23261126897978,2.6806309245150515,65.49512,44.72141,0.0,116.00001,68.00545,7.56109
2023-05-14 19:00:00,2024-07-17 00:00:00,3.1,6.114257028883284,286.12549433256834,284.0270073297785,0.121339408925768,2.3052640802047755,65.55479,39.43801,0.0,150.0,68.27679,7.67973
2023-05-14 20:00:00,2024-07-17 00:00:00,3.1,6.114257028883284,286.12549433256834,284.0270073297785,0.121339408925768,2.3052640802047755,67.04995,36.97249,0.0,184.0,68.17135,7.7943
2023-05-14 21:00:00,2024-07-17 00:00:00,3.1,6.114257028883284,286.12549433256834,284.0270073297785,0.121339408925768,2.3052640802047755,62.03854,35.55538,0.0,212.0,68.0754,7.7573
2023-05-14 22:00:00,2024-07-17 00:00:00,3.1,6.099935604337505,285.43995243024165,284.1261325496237,0.0608508113830814,4.761420818659347,58.14104,31.4381,0.0,267.0,68.07938,7.76624
2023-05-14 23:00:00,2024-07-17 00:00:00,3.1,6.099935604337505,285.43995243024165,284.1261325496237,0.0608508113830814,4.761420818659347,58.69378,28.82383,0.0,272.99999,68.26903,7.89329
2023-05-15 00:00:00,2024-07-17 00:00:00,3.1,6.099935604337505,285.43995243024165,284.1261325496237,0.0608508113830814,4.761420818659347,30.38708,26.41329,0.0,244.65246,67.54138,7.44801
2023-05-15 01:00:00,2024-07-17 00:00:00,3.1,6.409861094045642,285.1534544422641,284.13930696014285,0.3757722234110279,1.5784195230584324,27.64279,27.30767,21.46712,242.10284,67.84985,7.59415
2023-05-15 02:00:00,2024-07-17 00:00:00,3.1,6.409861094045642,285.1534544422641,284.13930696014285,0.3757722234110279,1.5784195230584324,30.77655,28.06089,59.57076,233.44523,67.52882,7.60578
2023-05-15 03:00:00,2024-07-17 00:00:00,3.1,6.409861094045642,285.1534544422641,284.13930696014285,0.3757722234110279,1.5784195230584324,34.92431,29.4841,94.53757,227.0508,67.43424,7.7406
2023-05-15 04:00:00,2024-07-17 00:00:00,3.1,6.581348075096589,285.583287245341,284.2418308104184,22.524295130261983,2.609619993339603,37.24038,32.32131,129.85205,223.56587,67.85163,7.73145
2023-05-15 05:00:00,2024-07-17 00:00:00,3.1,6.581348075096589,285.583287245341,284.2418308104184,22.524295130261983,2.609619993339603,42.07676,34.03404,178.1348,218.85486,66.0125,7.74581
