UTC time,nat_gas,hydro,solar,wind,biomass,unknown
2023-09-15 00:00:00,268.0,23.0,0.0,181.0,71.0,34.0
2023-09-15 01:00:00,293.0,23.0,0.0,192.0,71.0,52.0
2023-09-15 02:00:00,383.0,23.0,0.0,184.0,71.0,52.0
2023-09-15 03:00:00,272.0,23.0,35.0,169.0,70.0,51.0
2023-09-15 04:00:00,371.0,23.0,47.0,161.0,70.0,51.0
2023-09-15 05:00:00,426.0,23.0,138.0,131.0,70.0,41.0
2023-09-15 06:00:00,394.0,23.0,253.0,57.0,70.0,46.0
2023-09-15 07:00:00,346.0,23.0,326.0,11.0,70.0,46.0
2023-09-15 08:00:00,386.0,23.0,370.0,15.0,70.0,41.0
2023-09-15 09:00:00,415.0,23.0,344.0,12.0,69.0,48.0
2023-09-15 10:00:00,364.0,24.0,377.0,9.0,69.0,48.0
2023-09-15 11:00:00,360.0,23.0,381.0,11.0,58.0,34.0
2023-09-15 12:00:00,377.0,23.0,352.0,12.0,48.0,34.0
2023-09-15 13:00:00,401.0,24.0,260.0,12.0,48.0,43.0
2023-09-15 14:00:00,379.0,24.0,210.0,14.0,47.0,36.0
2023-09-15 15:00:00,423.0,24.0,94.0,13.0,47.0,46.0
2023-09-15 16:00:00,452.0,24.0,34.0,17.0,47.0,47.0
2023-09-15 17:00:00,456.0,24.0,12.0,29.0,47.0,47.0
2023-09-15 18:00:00,457.0,24.0,0.0,54.0,47.0,41.0
2023-09-15 19:00:00,434.0,24.0,0.0,105.0,47.0,19.0
2023-09-15 20:00:00,244.0,24.0,0.0,124.0,48.0,19.0
2023-09-15 21:00:00,48.0,24.0,0.0,165.0,48.0,16.0
2023-09-15 22:00:00,48.0,24.0,0.0,202.0,48.0,24.0
2023-09-15 23:00:00,48.0,24.0,0.0,221.0,48.0,19.0
