UTC time,coal,nat_gas,nuclear,oil,hydro,solar,wind,biomass,geothermal,unknown,avg_solar_production_forecast
1/1/2019 0:00,0,0,0,0,0,0,1186,0,0,0,0
1/1/2019 1:00,0,0,0,0,0,0,1228,0,0,0,0
1/1/2019 2:00,0,0,0,0,0,0,1026,0,0,0,0
1/1/2019 3:00,0,0,0,0,0,0,923,0,0,0,0
1/1/2019 4:00,0,0,0,0,0,0,737,0,0,0,0
1/1/2019 5:00,0,0,0,0,0,0,595,0,0,0,0
1/1/2019 6:00,0,0,0,0,0,0,517,0,0,0,0
1/1/2019 7:00,0,0,0,0,0,0,426,0,0,0,0
1/1/2019 8:00,0,0,0,0,0,0,322,0,0,0,0
1/1/2019 9:00,0,0,0,0,0,0,249,0,0,0,0
1/1/2019 10:00,0,0,0,0,0,0,199,0,0,0,0
1/1/2019 11:00,0,0,0,0,0,0,173,0,0,0,0
1/1/2019 12:00,0,0,0,0,0,0,154,0,0,0,0
1/1/2019 13:00,0,0,0,0,0,0,137,0,0,0,0
1/1/2019 14:00,0,0,0,0,0,0,96,0,0,0,0
1/1/2019 15:00,0,0,0,0,0,0,59,0,0,0,0
1/1/2019 16:00,0,0,0,0,0,0,54,0,0,0,0
1/1/2019 17:00,0,0,0,0,0,0,128,0,0,0,0
1/1/2019 18:00,0,0,0,0,0,0,170,0,0,0,0
1/1/2019 19:00,0,0,0,0,0,0,174,0,0,0,0
1/1/2019 20:00,0,0,0,0,0,0,190,0,0,0,0
1/1/2019 21:00,0,0,0,0,0,0,216,0,0,0,0
1/1/2019 22:00,0,0,0,0,0,0,173,0,0,0,0
1/1/2019 23:00,0,0,0,0,0,0,154,0,0,0,0
1/2/2019 0:00,0,0,0,0,0,0,95,0,0,0,0
1/2/2019 1:00,0,0,0,0,0,0,119,0,0,0,0
1/2/2019 2:00,0,0,0,0,0,0,188,0,0,0,0
1/2/2019 3:00,0,0,0,0,0,0,194,0,0,0,0
1/2/2019 4:00,0,0,0,0,0,0,199,0,0,0,0
1/2/2019 5:00,0,0,0,0,0,0,205,0,0,0,0
1/2/2019 6:00,0,0,0,0,0,0,231,0,0,0,0
1/2/2019 7:00,0,0,0,0,0,0,233,0,0,0,0
1/2/2019 8:00,0,0,0,0,0,0,230,0,0,0,0
1/2/2019 9:00,0,0,0,0,0,0,216,0,0,0,0
1/2/2019 10:00,0,0,0,0,0,0,247,0,0,0,0
1/2/2019 11:00,0,0,0,0,0,0,316,0,0,0,0
1/2/2019 12:00,0,0,0,0,0,0,320,0,0,0,0
1/2/2019 13:00,0,0,0,0,0,0,341,0,0,0,0
1/2/2019 14:00,0,0,0,0,0,0,384,0,0,0,0
