UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast,avg_biomass_production_forecast
2023-03-28 00:00:00,2024-07-17 00:00:00,3.1,3.668732505623995,281.76894041032995,276.93482102581805,0.4763266058495217,0.0755546256652232,8.25356,3438.55308,32893.7399,148.92281,5495.33705,0.0,2791.99997,457.50381
2023-03-28 01:00:00,2024-07-17 00:00:00,3.1,3.621135521704037,281.7382704445008,277.3155177494606,0.0,0.0435282031410601,5.07394,3372.53849,32890.6573,142.52229,5288.61584,0.0,3208.99988,457.04408
2023-03-28 02:00:00,2024-07-17 00:00:00,3.1,3.621135521704037,281.7382704445008,277.3155177494606,0.0,0.0435282031410601,0.0,3373.44794,32856.49935,134.45285,5288.03338,0.0,3626.99998,459.67519
2023-03-28 03:00:00,2024-07-17 00:00:00,3.1,3.621135521704037,281.7382704445008,277.3155177494606,0.0,0.0435282031410601,0.0,3453.40459,32807.90553,135.56216,5681.3777,0.0,4048.0001,460.48191
2023-03-28 04:00:00,2024-07-17 00:00:00,3.1,3.915068472136527,281.95262648729306,277.67091146577764,0.5791133789044011,0.0746866010987007,24.72385,3580.47793,32829.99041,146.53376,6308.0798,0.0,4318.0,460.40377
2023-03-28 05:00:00,2024-07-17 00:00:00,3.1,3.915068472136527,281.95262648729306,277.67091146577764,0.5791133789044011,0.0746866010987007,58.3752,3663.15843,32768.48169,142.97647,7034.87916,0.0,4590.00001,461.46444
2023-03-28 06:00:00,2024-07-17 00:00:00,3.1,3.915068472136527,281.95262648729306,277.67091146577764,0.5791133789044011,0.0746866010987007,64.80195,3761.12267,32671.82639,139.05909,7419.67513,245.0,4862.00002,462.50719
2023-03-28 07:00:00,2024-07-17 00:00:00,3.1,4.5937000429750094,285.5898812977366,279.60589273703806,164.96205358137072,0.044406876741695,72.28737,3965.32561,32669.38666,134.44245,7650.10294,2255.00006,4593.99993,464.12232
2023-03-28 08:00:00,2024-07-17 00:00:00,3.1,4.5937000429750094,285.5898812977366,279.60589273703806,164.96205358137072,0.044406876741695,77.94858,4084.66863,32569.63992,149.60245,7635.72412,5381.99984,4324.99993,462.28598
2023-03-28 09:00:00,2024-07-17 00:00:00,3.1,4.5937000429750094,285.5898812977366,279.60589273703806,164.96205358137072,0.044406876741695,85.36597,4173.81876,32504.84522,147.52658,7417.78785,8050.00027,4058.00004,463.48799
2023-03-28 10:00:00,2024-07-17 00:00:00,3.1,5.163376555515214,288.72785577807,280.8890948151958,323.7902896980485,0.0836523622588216,84.34984,4200.3075,32594.16807,181.55865,7010.73331,10002.00031,4346.99992,464.257
2023-03-28 11:00:00,2024-07-17 00:00:00,3.1,5.163376555515214,288.72785577807,280.8890948151958,323.7902896980485,0.0836523622588216,79.00518,4189.55413,32630.55353,190.3877,6499.00066,11047.99955,4640.00002,462.56032
2023-03-28 12:00:00,2024-07-17 00:00:00,3.1,5.163376555515214,288.72785577807,280.8890948151958,323.7902896980485,0.0836523622588216,69.86797,4173.23214,32724.37117,190.24557,6016.41443,11298.99942,4934.00002,462.33981
2023-03-28 13:00:00,2024-07-17 00:00:00,3.1,5.179629816899702,289.4697507379906,282.04534087932814,490.30520479118775,0.1061710555042572,75.69898,4234.65984,32669.5927,184.40508,5825.95306,10789.00003,5068.00006,463.55769
2023-03-28 14:00:00,2024-07-17 00:00:00,3.1,5.179629816899702,289.4697507379906,282.04534087932814,490.30520479118775,0.1061710555042572,83.38283,4257.7695,32553.52039,192.49797,5953.70748,9305.9997,5203.00002,462.80361
2023-03-28 15:00:00,2024-07-17 00:00:00,3.1,5.179629816899702,289.4697507379906,282.04534087932814,490.30520479118775,0.1061710555042572,69.15581,4251.62299,32600.98852,185.82663,6388.40959,7021.99994,5338.99988,465.38385
2023-03-28 16:00:00,2024-07-17 00:00:00,3.1,4.896869213186427,286.5711018284032,282.1601086147035,331.38091107269383,0.3290086146881927,64.83825,4173.52686,32608.27587,181.36901,6947.1269,4060.99986,5225.99991,465.544
2023-03-28 17:00:00,2024-07-17 00:00:00,3.1,4.896869213186427,286.5711018284032,282.1601086147035,331.38091107269383,0.3290086146881927,61.49783,4243.52064,32598.65225,179.44283,7657.82253,1261.00001,5112.99995,462.95258
