Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
43632,2023-12-24 00:00:00,493.73,7712.0,1523.0,397.0,247.0,0.0,4951.0,252.0
43633,2023-12-24 01:00:00,504.67,7616.0,1524.0,397.0,247.0,0.0,4555.0,253.0
43634,2023-12-24 02:00:00,522.56,7674.0,1534.0,398.0,246.0,0.0,4079.0,253.0
43635,2023-12-24 03:00:00,538.02,7796.0,1546.0,397.0,246.0,0.0,3727.0,253.0
43636,2023-12-24 04:00:00,556.17,8131.0,1833.0,395.0,246.0,0.0,3390.0,251.0
43637,2023-12-24 05:00:00,564.73,8367.0,1897.0,397.0,266.0,0.0,3249.0,254.0
43638,2023-12-24 06:00:00,571.43,8201.0,1701.0,396.0,285.0,20.0,2995.0,252.0
43639,2023-12-24 07:00:00,564.98,8288.0,1849.0,393.0,331.0,205.0,2956.0,254.0
43640,2023-12-24 08:00:00,553.74,8566.0,1914.0,393.0,335.0,493.0,3108.0,252.0
43641,2023-12-24 09:00:00,541.39,8471.0,1935.0,395.0,320.0,827.0,3108.0,254.0
43642,2023-12-24 10:00:00,526.66,8548.0,1917.0,396.0,280.0,1063.0,3409.0,254.0
43643,2023-12-24 11:00:00,522.24,8516.0,1858.0,397.0,275.0,918.0,3673.0,252.0
43644,2023-12-24 12:00:00,523.54,8615.0,1899.0,398.0,285.0,679.0,3901.0,252.0
43645,2023-12-24 13:00:00,524.41,8541.0,1897.0,397.0,324.0,309.0,4138.0,253.0
43646,2023-12-24 14:00:00,511.69,8830.0,1976.0,397.0,329.0,127.0,4880.0,253.0
43647,2023-12-24 15:00:00,500.75,9190.0,1964.0,399.0,344.0,0.0,5595.0,252.0
43648,2023-12-24 16:00:00,461.77,7975.0,1746.0,399.0,357.0,0.0,6137.0,253.0
43649,2023-12-24 17:00:00,432.55,7473.0,1577.0,397.0,359.0,0.0,6819.0,252.0
43650,2023-12-24 18:00:00,414.63,7263.0,1517.0,393.0,353.0,0.0,7350.0,252.0
43651,2023-12-24 19:00:00,404.47,7229.0,1516.0,384.0,342.0,0.0,7761.0,252.0
43652,2023-12-24 20:00:00,396.38,7131.0,1519.0,381.0,283.0,0.0,8075.0,254.0
43653,2023-12-24 21:00:00,396.17,7073.0,1519.0,376.0,271.0,0.0,8030.0,252.0
43654,2023-12-24 22:00:00,397.02,7051.0,1519.0,371.0,271.0,0.0,7964.0,252.0
43655,2023-12-24 23:00:00,396.75,6961.0,1665.0,366.0,260.0,0.0,7939.0,209.0
