Unnamed: 0,UTC time,carbon_intensity,coal,nat_gas,oil,hydro,solar,wind,biomass
41544,2023-09-28 00:00:00,524.43,9647.0,500.0,279.0,112.0,0.0,3747.0,264.0
41545,2023-09-28 01:00:00,534.9,9755.0,500.0,278.0,112.0,0.0,3506.0,266.0
41546,2023-09-28 02:00:00,542.4,10024.0,505.0,278.0,112.0,0.0,3412.0,267.0
41547,2023-09-28 03:00:00,540.24,10271.0,508.0,278.0,137.0,0.0,3547.0,265.0
41548,2023-09-28 04:00:00,557.75,12109.0,657.0,279.0,145.0,96.0,3590.0,263.0
41549,2023-09-28 05:00:00,534.46,12694.0,603.0,280.0,151.0,1235.0,3440.0,278.0
41550,2023-09-28 06:00:00,471.61,11949.0,547.0,272.0,160.0,3775.0,2929.0,287.0
41551,2023-09-28 07:00:00,451.41,12172.0,618.0,282.0,163.0,6064.0,1679.0,275.0
41552,2023-09-28 08:00:00,423.16,11459.0,531.0,293.0,125.0,7685.0,1016.0,217.0
41553,2023-09-28 09:00:00,393.48,10842.0,539.0,292.0,119.0,8591.0,1159.0,207.0
41554,2023-09-28 10:00:00,370.97,10276.0,528.0,290.0,119.0,8989.0,1449.0,245.0
41555,2023-09-28 11:00:00,369.54,10184.0,552.0,291.0,114.0,8754.0,1651.0,271.0
41556,2023-09-28 12:00:00,391.5,10546.0,554.0,292.0,113.0,7881.0,1641.0,272.0
41557,2023-09-28 13:00:00,447.97,11895.0,556.0,293.0,139.0,6287.0,1461.0,274.0
41558,2023-09-28 14:00:00,516.36,12964.0,572.0,290.0,161.0,4141.0,1304.0,287.0
41559,2023-09-28 15:00:00,603.35,13738.0,624.0,292.0,166.0,1580.0,1187.0,297.0
41560,2023-09-28 16:00:00,647.33,15371.0,754.0,293.0,173.0,249.0,1525.0,296.0
41561,2023-09-28 17:00:00,642.06,16223.0,775.0,293.0,184.0,0.0,2064.0,296.0
41562,2023-09-28 18:00:00,622.16,14198.0,710.0,287.0,180.0,0.0,2280.0,298.0
41563,2023-09-28 19:00:00,599.1,12454.0,580.0,279.0,164.0,0.0,2573.0,296.0
41564,2023-09-28 20:00:00,592.81,12085.0,580.0,271.0,148.0,0.0,2672.0,285.0
41565,2023-09-28 21:00:00,596.93,12289.0,701.0,283.0,138.0,0.0,2590.0,272.0
41566,2023-09-28 22:00:00,601.3,11755.0,719.0,283.0,113.0,0.0,2354.0,267.0
41567,2023-09-28 23:00:00,593.59,10841.0,677.0,282.0,109.0,0.0,2322.0,264.0
