,UTC time,carbon_intensity,nat_gas,nuclear,solar,other
13128,2021-07-01 00:00:00,402.51,10977,3715,69,1731
13129,2021-07-01 01:00:00,404.99,11208,3712,9,1726
13130,2021-07-01 02:00:00,401.36,10699,3721,1,1677
13131,2021-07-01 03:00:00,393.55,9609,3711,0,1596
13132,2021-07-01 04:00:00,381.49,8120,3714,0,1542
13133,2021-07-01 05:00:00,369.4,7041,3719,0,1452
13134,2021-07-01 06:00:00,361.21,6338,3716,0,1421
13135,2021-07-01 07:00:00,354.45,5921,3722,0,1366
13136,2021-07-01 08:00:00,348.29,5662,3730,0,1285
13137,2021-07-01 09:00:00,346.87,5628,3731,0,1257
13138,2021-07-01 10:00:00,356.35,6036,3730,0,1390
13139,2021-07-01 11:00:00,365.52,6616,3729,2,1481
13140,2021-07-01 12:00:00,373.62,7532,3733,120,1571
13141,2021-07-01 13:00:00,375.48,8508,3730,524,1709
13142,2021-07-01 14:00:00,372.24,9547,3734,1061,1733
13143,2021-07-01 15:00:00,371.24,10539,3728,1489,1744
13144,2021-07-01 16:00:00,371.8,11383,3729,1779,1760
13145,2021-07-01 17:00:00,372.72,11757,3728,1834,1732
13146,2021-07-01 18:00:00,380.83,12390,3729,1568,1721
13147,2021-07-01 19:00:00,384.73,12586,3728,1428,1744
13148,2021-07-01 20:00:00,393.05,12915,3732,1020,1710
13149,2021-07-01 21:00:00,402.48,13400,3727,652,1733
13150,2021-07-01 22:00:00,406.42,13611,3728,469,1711
13151,2021-07-01 23:00:00,409.42,13391,3728,254,1704
13152,2021-07-02 00:00:00,410.08,12818,3728,88,1696
13153,2021-07-02 01:00:00,410.41,12422,3728,0,1715
13154,2021-07-02 02:00:00,407.8,11823,3726,0,1721
13155,2021-07-02 03:00:00,398.68,10485,3737,0,1618
13156,2021-07-02 04:00:00,386.67,8946,3729,0,1509
13157,2021-07-02 05:00:00,375.39,7795,3727,0,1420
13158,2021-07-02 06:00:00,364.6,6804,3742,0,1390
13159,2021-07-02 07:00:00,357.39,6194,3733,0,1366
13160,2021-07-02 08:00:00,352.34,5820,3732,0,1349
13161,2021-07-02 09:00:00,351.16,5696,3742,0,1371
13162,2021-07-02 10:00:00,356.78,5995,3735,0,1425
13163,2021-07-02 11:00:00,366.19,6522,3736,2,1547
13164,2021-07-02 12:00:00,372.39,7358,3735,175,1642
13165,2021-07-02 13:00:00,371.07,8449,3738,666,1686
13166,2021-07-02 14:00:00,366.79,9589,3733,1292,1677
13167,2021-07-02 15:00:00,366.04,10660,3731,1751,1682
13168,2021-07-02 16:00:00,373,11779,3730,1763,1672
13169,2021-07-02 17:00:00,374.22,12459,3730,1884,1623
13170,2021-07-02 18:00:00,378.44,13337,3729,1909,1602
13171,2021-07-02 19:00:00,384.36,14018,3729,1833,1678
13172,2021-07-02 20:00:00,392.44,14602,3724,1539,1713
13173,2021-07-02 21:00:00,394.83,14860,3724,1474,1727
13174,2021-07-02 22:00:00,396.23,14578,3722,1313,1726
13175,2021-07-02 23:00:00,405.34,14548,3716,765,1716
13176,2021-07-03 00:00:00,414.68,14343,3717,195,1712
13177,2021-07-03 01:00:00,414.61,13427,3719,4,1705
13178,2021-07-03 02:00:00,411.68,12709,3722,0,1707
13179,2021-07-03 03:00:00,404.81,11520,3726,1,1635
13180,2021-07-03 04:00:00,393.71,10070,3724,0,1475
13181,2021-07-03 05:00:00,387.42,9097,3722,0,1485
13182,2021-07-03 06:00:00,377.29,7977,3729,0,1435
13183,2021-07-03 07:00:00,370.09,7303,3727,0,1391
13184,2021-07-03 08:00:00,365.85,6938,3729,0,1371
13185,2021-07-03 09:00:00,362.76,6689,3732,0,1358
13186,2021-07-03 10:00:00,363.19,6662,3728,0,1379
13187,2021-07-03 11:00:00,366.13,6717,3731,6,1471
13188,2021-07-03 12:00:00,371.72,7445,3730,196,1600
13189,2021-07-03 13:00:00,373.7,8708,3731,641,1678
13190,2021-07-03 14:00:00,371.77,10011,3729,1164,1640
13191,2021-07-03 15:00:00,372.44,11225,3726,1555,1626
13192,2021-07-03 16:00:00,375.51,12422,3726,1768,1592
13193,2021-07-03 17:00:00,387.27,13912,3725,1524,1568
13194,2021-07-03 18:00:00,398.83,14902,3725,1142,1615
13195,2021-07-03 19:00:00,401.01,15166,3724,1099,1640
13196,2021-07-03 20:00:00,404.36,15455,3702,1012,1666
13197,2021-07-03 21:00:00,404.16,15510,3715,1000,1638
13198,2021-07-03 22:00:00,408.37,15449,3715,756,1667
13199,2021-07-03 23:00:00,413.5,15173,3711,420,1689
13200,2021-07-04 00:00:00,415.26,14334,3713,147,1687
13201,2021-07-04 01:00:00,415.16,13634,3710,4,1674
13202,2021-07-04 02:00:00,411.87,12963,3714,0,1639
13203,2021-07-04 03:00:00,405.46,11844,3723,0,1574
13204,2021-07-04 04:00:00,397.75,10415,3713,0,1560
13205,2021-07-04 05:00:00,387.83,9294,3716,0,1432
13206,2021-07-04 06:00:00,379.38,8342,3718,0,1382
13207,2021-07-04 07:00:00,371.38,7607,3725,0,1328
13208,2021-07-04 08:00:00,365.47,7060,3729,0,1312
13209,2021-07-04 09:00:00,363.05,6807,3722,0,1313
13210,2021-07-04 10:00:00,361.89,6679,3726,0,1325
13211,2021-07-04 11:00:00,364.29,6684,3725,1,1407
13212,2021-07-04 12:00:00,371.67,7364,3727,121,1549
13213,2021-07-04 13:00:00,375.93,8705,3727,503,1635
13214,2021-07-04 14:00:00,373.91,10152,3724,1055,1583
13215,2021-07-04 15:00:00,374.48,11582,3727,1563,1622
13216,2021-07-04 16:00:00,376.71,12742,3725,1919,1706
13217,2021-07-04 17:00:00,376.49,13711,3722,2285,1724
13218,2021-07-04 18:00:00,380.12,14418,3718,2272,1706
13219,2021-07-04 19:00:00,386.61,15039,3716,2005,1666
13220,2021-07-04 20:00:00,397.87,15753,3694,1531,1702
13221,2021-07-04 21:00:00,405.08,16189,3704,1203,1744
13222,2021-07-04 22:00:00,407,15882,3699,988,1708
13223,2021-07-04 23:00:00,409.75,15229,3700,652,1679
13224,2021-07-05 00:00:00,414.12,14545,3703,226,1640
13225,2021-07-05 01:00:00,416.25,13944,3693,7,1646
13226,2021-07-05 02:00:00,413.48,13018,3700,0,1708
13227,2021-07-05 03:00:00,408.78,12312,3713,0,1625
13228,2021-07-05 04:00:00,401.27,11250,3704,0,1485
13229,2021-07-05 05:00:00,392.35,9871,3703,0,1445
13230,2021-07-05 06:00:00,384.15,8946,3704,0,1366
