,UTC time,carbon_intensity,nat_gas,nuclear,solar,other
0,2020-01-01 00:00:00,377.84,11113,3707,5,346
1,2020-01-01 01:00:00,371.51,10302,3705,4,343
2,2020-01-01 02:00:00,360.26,9089,3708,0,330
3,2020-01-01 03:00:00,348.28,8051,3709,0,302
4,2020-01-01 04:00:00,339.55,7234,3709,0,351
5,2020-01-01 05:00:00,325.74,6521,3710,0,248
6,2020-01-01 06:00:00,323.79,6192,3710,0,339
7,2020-01-01 07:00:00,313.4,5659,3711,0,308
8,2020-01-01 08:00:00,307.49,5336,3713,0,314
9,2020-01-01 09:00:00,299.74,4920,3708,0,327
10,2020-01-01 10:00:00,294.42,4756,3713,0,292
11,2020-01-01 11:00:00,300.42,4970,3713,0,322
12,2020-01-01 12:00:00,306.55,5214,3715,0,350
13,2020-01-01 13:00:00,310.95,5484,3715,37,356
14,2020-01-01 14:00:00,314.31,6106,3718,361,385
15,2020-01-01 15:00:00,313.31,6566,3719,724,400
16,2020-01-01 16:00:00,312.97,6937,3717,970,389
17,2020-01-01 17:00:00,314.91,7270,3716,1085,378
18,2020-01-01 18:00:00,316.36,7481,3716,1141,369
19,2020-01-01 19:00:00,318.94,7694,3710,1136,351
20,2020-01-01 20:00:00,324.96,8079,3712,1050,326
21,2020-01-01 21:00:00,337.49,8509,3709,742,349
22,2020-01-01 22:00:00,350.69,8831,3712,297,337
23,2020-01-01 23:00:00,360.83,9183,3712,37,355
24,2020-01-02 00:00:00,366.39,9662,3713,5,369
25,2020-01-02 01:00:00,362.1,9183,3713,4,375
26,2020-01-02 02:00:00,356.08,8569,3714,0,379
27,2020-01-02 03:00:00,349.25,7920,3714,0,393
28,2020-01-02 04:00:00,337.58,7136,3716,0,337
29,2020-01-02 05:00:00,328.41,6419,3714,0,371
30,2020-01-02 06:00:00,309.72,5423,3715,0,329
31,2020-01-02 07:00:00,296.4,4859,3715,0,287
32,2020-01-02 08:00:00,289.44,4585,3717,0,272
33,2020-01-02 09:00:00,288.65,4535,3717,0,280
34,2020-01-02 10:00:00,291.82,4662,3716,0,284
35,2020-01-02 11:00:00,306.23,5292,3716,0,307
36,2020-01-02 12:00:00,324.13,6257,3720,0,328
37,2020-01-02 13:00:00,335.67,7059,3717,35,340
38,2020-01-02 14:00:00,338.0,7786,3720,283,310
