,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Peat,Hydro Pumped Storage,Hydro Run-of-river and poundage,Other,Wind Onshore,"('Fossil Gas', 'Actual Aggregated')","('Fossil Gas', 'Actual Consumption')","('Fossil Hard coal', 'Actual Aggregated')","('Fossil Hard coal', 'Actual Consumption')","('Fossil Oil', 'Actual Aggregated')","('Fossil Oil', 'Actual Consumption')","('Fossil Peat', 'Actual Aggregated')","('Fossil Peat', 'Actual Consumption')","('Hydro Pumped Storage', 'Actual Aggregated')","('Hydro Pumped Storage', 'Actual Consumption')","('Hydro Run-of-river and poundage', 'Actual Aggregated')","('Hydro Run-of-river and poundage', 'Actual Consumption')","('Other', 'Actual Aggregated')","('Other', 'Actual Consumption')","('Wind Onshore', 'Actual Aggregated')"
2019-02-02 00:00:00+00:00,996.0,110.0,0.0,344.0,29.0,80.0,0.0,1228.0,,,,,,,,,,,,,,,
2019-02-02 00:30:00+00:00,1051.0,108.0,0.0,343.0,21.0,68.0,0.0,1183.0,,,,,,,,,,,,,,,
2019-02-02 01:00:00+00:00,1116.0,109.0,0.0,341.0,0.0,66.0,0.0,1243.0,,,,,,,,,,,,,,,
2019-02-02 01:30:00+00:00,1136.0,102.0,0.0,338.0,0.0,66.0,0.0,1283.0,,,,,,,,,,,,,,,
2019-02-02 02:00:00+00:00,1127.0,100.0,0.0,336.0,0.0,65.0,0.0,1166.0,,,,,,,,,,,,,,,
2019-02-02 02:30:00+00:00,995.0,99.0,0.0,334.0,0.0,64.0,0.0,1265.0,,,,,,,,,,,,,,,
2019-02-02 03:00:00+00:00,924.0,105.0,0.0,338.0,0.0,66.0,0.0,1211.0,,,,,,,,,,,,,,,
2019-02-02 03:30:00+00:00,914.0,108.0,0.0,342.0,0.0,67.0,0.0,1126.0,,,,,,,,,,,,,,,
2019-02-02 04:00:00+00:00,962.0,108.0,0.0,343.0,0.0,67.0,0.0,1051.0,,,,,,,,,,,,,,,
2019-02-02 04:30:00+00:00,976.0,115.0,0.0,345.0,0.0,69.0,0.0,1009.0,,,,,,,,,,,,,,,
2019-02-02 05:00:00+00:00,945.0,111.0,0.0,342.0,0.0,67.0,0.0,970.0,,,,,,,,,,,,,,,
2019-02-02 05:30:00+00:00,1001.0,113.0,0.0,345.0,0.0,68.0,0.0,829.0,,,,,,,,,,,,,,,
2019-02-02 06:00:00+00:00,1071.0,115.0,0.0,345.0,0.0,69.0,0.0,811.0,,,,,,,,,,,,,,,
2019-02-02 06:30:00+00:00,1059.0,114.0,0.0,344.0,0.0,69.0,0.0,789.0,,,,,,,,,,,,,,,
2019-02-02 07:00:00+00:00,1181.0,108.0,0.0,343.0,0.0,67.0,0.0,704.0,,,,,,,,,,,,,,,
2019-02-02 07:30:00+00:00,1083.0,119.0,0.0,341.0,11.0,66.0,0.0,621.0,,,,,,,,,,,,,,,
2019-02-02 08:00:00+00:00,1108.0,185.0,5.0,340.0,10.0,66.0,1.0,636.0,,,,,,,,,,,,,,,
2019-02-02 08:30:00+00:00,1213.0,224.0,5.0,341.0,19.0,67.0,1.0,561.0,,,,,,,,,,,,,,,
2019-02-02 09:00:00+00:00,1187.0,264.0,5.0,342.0,19.0,67.0,1.0,502.0,,,,,,,,,,,,,,,
2019-02-02 09:30:00+00:00,1287.0,321.0,5.0,344.0,24.0,68.0,1.0,460.0,,,,,,,,,,,,,,,
2019-02-02 10:00:00+00:00,1387.0,313.0,5.0,343.0,20.0,92.0,1.0,399.0,,,,,,,,,,,,,,,
2019-02-02 10:30:00+00:00,1379.0,334.0,4.0,339.0,14.0,97.0,1.0,308.0,,,,,,,,,,,,,,,
2019-02-02 11:00:00+00:00,1395.0,380.0,5.0,337.0,15.0,111.0,1.0,271.0,,,,,,,,,,,,,,,
2019-02-02 11:30:00+00:00,1410.0,385.0,5.0,338.0,15.0,114.0,1.0,225.0,,,,,,,,,,,,,,,
2019-02-02 12:00:00+00:00,1454.0,364.0,4.0,335.0,15.0,113.0,1.0,211.0,,,,,,,,,,,,,,,
2019-02-02 12:30:00+00:00,1489.0,404.0,5.0,336.0,77.0,112.0,1.0,210.0,,,,,,,,,,,,,,,
2019-02-02 13:00:00+00:00,1542.0,437.0,5.0,336.0,151.0,112.0,1.0,286.0,,,,,,,,,,,,,,,
2019-02-02 13:30:00+00:00,1515.0,376.0,5.0,337.0,150.0,113.0,1.0,287.0,,,,,,,,,,,,,,,
2019-02-02 14:00:00+00:00,1485.0,283.0,5.0,335.0,150.0,112.0,1.0,357.0,,,,,,,,,,,,,,,
2019-02-02 14:30:00+00:00,1454.0,270.0,5.0,337.0,149.0,114.0,1.0,355.0,,,,,,,,,,,,,,,
2019-02-02 15:00:00+00:00,1467.0,274.0,5.0,340.0,148.0,115.0,1.0,283.0,,,,,,,,,,,,,,,
2019-02-02 15:30:00+00:00,1492.0,274.0,5.0,339.0,148.0,114.0,1.0,289.0,,,,,,,,,,,,,,,
2019-02-02 16:00:00+00:00,1562.0,286.0,4.0,339.0,147.0,115.0,1.0,239.0,,,,,,,,,,,,,,,
2019-02-02 16:30:00+00:00,1521.0,354.0,5.0,335.0,17.0,113.0,1.0,206.0,,,,,,,,,,,,,,,
2019-02-02 17:00:00+00:00,1554.0,401.0,4.0,339.0,21.0,125.0,1.0,195.0,,,,,,,,,,,,,,,
2019-02-02 17:30:00+00:00,1673.0,407.0,5.0,341.0,156.0,127.0,1.0,175.0,,,,,,,,,,,,,,,
2019-02-02 18:00:00+00:00,1806.0,460.0,5.0,337.0,191.0,126.0,1.0,145.0,,,,,,,,,,,,,,,
2019-02-02 18:30:00+00:00,1761.0,447.0,4.0,333.0,182.0,124.0,1.0,155.0,,,,,,,,,,,,,,,
2019-02-02 19:00:00+00:00,1754.0,453.0,4.0,334.0,146.0,117.0,1.0,162.0,,,,,,,,,,,,,,,
2019-02-02 19:30:00+00:00,1644.0,456.0,4.0,335.0,99.0,126.0,1.0,174.0,,,,,,,,,,,,,,,
2019-02-02 20:00:00+00:00,1588.0,389.0,5.0,312.0,108.0,124.0,1.0,156.0,,,,,,,,,,,,,,,
2019-02-02 20:30:00+00:00,1552.0,349.0,5.0,312.0,20.0,113.0,1.0,162.0,,,,,,,,,,,,,,,
2019-02-02 21:00:00+00:00,1211.0,344.0,4.0,317.0,124.0,114.0,1.0,202.0,,,,,,,,,,,,,,,
2019-02-02 21:30:00+00:00,1150.0,339.0,4.0,314.0,20.0,113.0,1.0,235.0,,,,,,,,,,,,,,,
2019-02-02 22:00:00+00:00,1003.0,282.0,4.0,314.0,20.0,114.0,1.0,271.0,,,,,,,,,,,,,,,
2019-02-02 22:30:00+00:00,936.0,256.0,4.0,314.0,20.0,111.0,1.0,285.0,,,,,,,,,,,,,,,
2019-02-02 23:00:00+00:00,944.0,268.0,4.0,323.0,83.0,113.0,1.0,358.0,,,,,,,,,,,,,,,
2019-02-02 23:30:00+00:00,1058.0,295.0,4.0,344.0,151.0,70.0,1.0,366.0,,,,,,,,,,,,,,,
2019-02-03 00:00:00+00:00,986.0,329.0,0.0,333.0,0.0,66.0,0.0,454.0,,,,,,,,,,,,,,,
2019-02-03 00:30:00+00:00,913.0,356.0,0.0,342.0,0.0,69.0,0.0,535.0,,,,,,,,,,,,,,,
2019-02-03 01:00:00+00:00,912.0,355.0,0.0,342.0,0.0,68.0,0.0,557.0,,,,,,,,,,,,,,,
2019-02-03 01:30:00+00:00,892.0,347.0,0.0,338.0,0.0,67.0,0.0,653.0,,,,,,,,,,,,,,,
2019-02-03 02:00:00+00:00,867.0,237.0,0.0,343.0,0.0,69.0,0.0,729.0,,,,,,,,,,,,,,,
2019-02-03 02:30:00+00:00,822.0,215.0,0.0,336.0,0.0,67.0,0.0,880.0,,,,,,,,,,,,,,,
2019-02-03 03:00:00+00:00,638.0,224.0,0.0,339.0,0.0,67.0,0.0,994.0,,,,,,,,,,,,,,,
2019-02-03 03:30:00+00:00,535.0,200.0,0.0,339.0,0.0,67.0,0.0,1135.0,,,,,,,,,,,,,,,
2019-02-03 04:00:00+00:00,483.0,199.0,0.0,337.0,0.0,67.0,0.0,1070.0,,,,,,,,,,,,,,,
2019-02-03 04:30:00+00:00,506.0,203.0,0.0,341.0,0.0,68.0,0.0,1089.0,,,,,,,,,,,,,,,
2019-02-03 05:00:00+00:00,461.0,198.0,0.0,312.0,0.0,67.0,0.0,1431.0,,,,,,,,,,,,,,,
2019-02-03 05:30:00+00:00,497.0,207.0,0.0,237.0,0.0,69.0,0.0,1643.0,,,,,,,,,,,,,,,
2019-02-03 06:00:00+00:00,481.0,203.0,68.0,230.0,0.0,67.0,0.0,1642.0,,,,,,,,,,,,,,,
2019-02-03 06:30:00+00:00,440.0,206.0,152.0,222.0,0.0,75.0,0.0,1686.0,,,,,,,,,,,,,,,
2019-02-03 07:00:00+00:00,469.0,204.0,240.0,227.0,10.0,88.0,0.0,1424.0,,,,,,,,,,,,,,,
2019-02-03 07:30:00+00:00,464.0,200.0,360.0,232.0,20.0,89.0,0.0,1424.0,,,,,,,,,,,,,,,
2019-02-03 08:00:00+00:00,485.0,200.0,398.0,233.0,24.0,89.0,1.0,1399.0,,,,,,,,,,,,,,,
2019-02-03 08:30:00+00:00,501.0,206.0,380.0,239.0,31.0,91.0,1.0,1397.0,,,,,,,,,,,,,,,
2019-02-03 09:00:00+00:00,504.0,206.0,354.0,238.0,30.0,92.0,1.0,1484.0,,,,,,,,,,,,,,,
2019-02-03 09:30:00+00:00,616.0,240.0,354.0,343.0,32.0,92.0,1.0,1445.0,,,,,,,,,,,,,,,
2019-02-03 10:00:00+00:00,774.0,295.0,308.0,345.0,36.0,93.0,1.0,1440.0,,,,,,,,,,,,,,,
2019-02-03 10:30:00+00:00,898.0,302.0,304.0,342.0,27.0,93.0,1.0,1492.0,,,,,,,,,,,,,,,
2019-02-03 11:00:00+00:00,886.0,305.0,305.0,335.0,21.0,99.0,1.0,1443.0,,,,,,,,,,,,,,,
2019-02-03 11:30:00+00:00,779.0,350.0,207.0,342.0,26.0,110.0,1.0,1499.0,,,,,,,,,,,,,,,
2019-02-03 12:00:00+00:00,773.0,325.0,206.0,343.0,27.0,116.0,1.0,1550.0,,,,,,,,,,,,,,,
2019-02-03 12:30:00+00:00,787.0,383.0,206.0,345.0,37.0,119.0,1.0,1504.0,,,,,,,,,,,,,,,
2019-02-03 13:00:00+00:00,799.0,391.0,305.0,339.0,21.0,116.0,1.0,1579.0,,,,,,,,,,,,,,,
2019-02-03 13:30:00+00:00,800.0,385.0,313.0,340.0,21.0,115.0,1.0,1550.0,,,,,,,,,,,,,,,
