Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,other
43392,2023-12-14 00:00:00,2024-07-17 00:00:00,3.1,262.02,0,8722.0,3298.0,6.0,4063.0,1299.0,189.0
43393,2023-12-14 01:00:00,2024-07-17 00:00:00,3.1,266.08,0,8809.0,3313.0,7.0,3851.0,1285.0,191.0
43394,2023-12-14 02:00:00,2024-07-17 00:00:00,3.1,266.34,0,8735.0,3313.0,7.0,3883.0,1168.0,198.0
43395,2023-12-14 03:00:00,2024-07-17 00:00:00,3.1,264.91,0,8398.0,3331.0,7.0,3623.0,1186.0,191.0
43396,2023-12-14 04:00:00,2024-07-17 00:00:00,3.1,262.37,0,7787.0,3327.0,7.0,3362.0,1037.0,193.0
43397,2023-12-14 05:00:00,2024-07-17 00:00:00,3.1,261.38,0,7236.0,3332.0,7.0,3054.0,881.0,204.0
43398,2023-12-14 06:00:00,2024-07-17 00:00:00,3.1,265.96,0,6957.0,3342.0,7.0,2639.0,726.0,199.0
43399,2023-12-14 07:00:00,2024-07-17 00:00:00,3.1,262.96,0,6551.0,3352.0,7.0,2581.0,558.0,205.0
43400,2023-12-14 08:00:00,2024-07-17 00:00:00,3.1,258.03,0,6281.0,3342.0,7.0,2648.0,505.0,203.0
43401,2023-12-14 09:00:00,2024-07-17 00:00:00,3.1,263.51,0,6532.0,3360.0,7.0,2685.0,398.0,213.0
43402,2023-12-14 10:00:00,2024-07-17 00:00:00,3.1,268.93,0,6994.0,3375.0,7.0,2850.0,331.0,210.0
43403,2023-12-14 11:00:00,2024-07-17 00:00:00,3.1,279.33,0,7732.0,3361.0,7.0,2917.0,325.0,209.0
43404,2023-12-14 12:00:00,2024-07-17 00:00:00,3.1,276.79,0,8329.0,3320.0,40.0,3554.0,433.0,206.0
43405,2023-12-14 13:00:00,2024-07-17 00:00:00,3.1,276.89,0,8747.0,3316.0,100.0,3850.0,585.0,204.0
43406,2023-12-14 14:00:00,2024-07-17 00:00:00,3.1,276.2,0,8433.0,3328.0,83.0,3529.0,700.0,229.0
43407,2023-12-14 15:00:00,2024-07-17 00:00:00,3.1,267.43,0,7846.0,3329.0,8.0,3486.0,738.0,263.0
43408,2023-12-14 16:00:00,2024-07-17 00:00:00,3.1,263.19,0,7400.0,3298.0,6.0,3470.0,667.0,282.0
43409,2023-12-14 17:00:00,2024-07-17 00:00:00,3.1,254.56,0,6964.0,3260.0,6.0,3443.0,920.0,304.0
43410,2023-12-14 18:00:00,2024-07-17 00:00:00,3.1,244.91,0,6536.0,3267.0,10.0,3568.0,981.0,306.0
43411,2023-12-14 19:00:00,2024-07-17 00:00:00,3.1,248.0,0,6712.0,3278.0,17.0,3573.0,936.0,294.0
43412,2023-12-14 20:00:00,2024-07-17 00:00:00,3.1,246.97,0,6881.0,3288.0,6.0,3693.0,968.0,258.0
43413,2023-12-14 21:00:00,2024-07-17 00:00:00,3.1,246.67,0,7173.0,3300.0,6.0,3872.0,1048.0,221.0
43414,2023-12-14 22:00:00,2024-07-17 00:00:00,3.1,249.88,0,7577.0,3308.0,17.0,3700.0,1433.0,200.0
43415,2023-12-14 23:00:00,2024-07-17 00:00:00,3.1,250.75,0,7929.0,3284.0,66.0,3853.0,1752.0,211.0
