UTC time,coal,nat_gas,nuclear,oil,hydro,solar,other
2023-06-13 00:00:00,0,9520.0,3249.0,756.0,2788.0,1198.0,205.0
2023-06-13 01:00:00,0,8776.0,3270.0,750.0,2536.0,1297.0,200.0
2023-06-13 02:00:00,0,8303.0,3268.0,773.0,2752.0,1140.0,197.0
2023-06-13 03:00:00,0,7308.0,3276.0,650.0,2770.0,914.0,198.0
2023-06-13 04:00:00,0,6502.0,3271.0,602.0,2947.0,663.0,203.0
2023-06-13 05:00:00,0,5439.0,3290.0,578.0,2175.0,614.0,203.0
2023-06-13 06:00:00,0,4974.0,3224.0,566.0,2036.0,662.0,195.0
2023-06-13 07:00:00,0,4623.0,3226.0,561.0,1695.0,766.0,198.0
2023-06-13 08:00:00,0,4559.0,3196.0,461.0,1408.0,932.0,195.0
2023-06-13 09:00:00,0,4578.0,3154.0,505.0,1471.0,851.0,195.0
2023-06-13 10:00:00,0,4870.0,3213.0,560.0,1771.0,685.0,198.0
2023-06-13 11:00:00,0,5991.0,3296.0,591.0,2188.0,543.0,204.0
2023-06-13 12:00:00,0,6567.0,3281.0,586.0,2748.0,409.0,218.0
2023-06-13 13:00:00,0,7016.0,3266.0,623.0,2828.0,336.0,231.0
2023-06-13 14:00:00,0,7170.0,3262.0,614.0,2863.0,473.0,237.0
2023-06-13 15:00:00,0,7665.0,3259.0,657.0,3015.0,377.0,247.0
2023-06-13 16:00:00,0,7879.0,3271.0,661.0,2912.0,304.0,249.0
2023-06-13 17:00:00,0,7982.0,3285.0,657.0,2923.0,246.0,258.0
2023-06-13 18:00:00,0,7917.0,3279.0,650.0,2943.0,178.0,271.0
2023-06-13 19:00:00,0,7916.0,3283.0,650.0,3006.0,140.0,279.0
2023-06-13 20:00:00,0,8413.0,3279.0,646.0,2987.0,156.0,274.0
2023-06-13 21:00:00,0,8884.0,3278.0,646.0,3041.0,161.0,267.0
2023-06-13 22:00:00,0,9493.0,3289.0,648.0,3136.0,168.0,253.0
2023-06-13 23:00:00,0,9415.0,3305.0,653.0,3000.0,171.0,225.0
