Unnamed: 0,UTC time,creation_time (UTC),version,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,other
42840,2023-11-21 00:00:00,2024-07-17 00:00:00,3.1,289.26,0,9718.0,3266.0,6.0,3940.0,339.0,196.0
42841,2023-11-21 01:00:00,2024-07-17 00:00:00,3.1,289.27,0,9575.0,3259.0,6.0,3790.0,398.0,200.0
42842,2023-11-21 02:00:00,2024-07-17 00:00:00,3.1,292.88,0,9599.0,3268.0,6.0,3480.0,506.0,208.0
42843,2023-11-21 03:00:00,2024-07-17 00:00:00,3.1,289.58,0,9185.0,3245.0,6.0,3307.0,597.0,200.0
42844,2023-11-21 04:00:00,2024-07-17 00:00:00,3.1,280.43,0,8268.0,3233.0,6.0,3106.0,655.0,199.0
42845,2023-11-21 05:00:00,2024-07-17 00:00:00,3.1,277.21,0,7513.0,3241.0,6.0,2552.0,774.0,200.0
42846,2023-11-21 06:00:00,2024-07-17 00:00:00,3.1,272.75,0,7137.0,3236.0,6.0,2323.0,953.0,201.0
42847,2023-11-21 07:00:00,2024-07-17 00:00:00,3.1,266.29,0,6831.0,3216.0,6.0,2310.0,1087.0,202.0
42848,2023-11-21 08:00:00,2024-07-17 00:00:00,3.1,262.39,0,6716.0,3211.0,6.0,2328.0,1198.0,202.0
42849,2023-11-21 09:00:00,2024-07-17 00:00:00,3.1,265.26,0,6885.0,3198.0,6.0,2318.0,1214.0,200.0
42850,2023-11-21 10:00:00,2024-07-17 00:00:00,3.1,268.93,0,7215.0,3212.0,6.0,2342.0,1275.0,202.0
42851,2023-11-21 11:00:00,2024-07-17 00:00:00,3.1,274.37,0,7638.0,3224.0,6.0,2329.0,1335.0,202.0
42852,2023-11-21 12:00:00,2024-07-17 00:00:00,3.1,288.3,0,8937.0,3242.0,6.0,2471.0,1392.0,201.0
42853,2023-11-21 13:00:00,2024-07-17 00:00:00,3.1,282.44,0,9242.0,3254.0,6.0,3039.0,1461.0,220.0
42854,2023-11-21 14:00:00,2024-07-17 00:00:00,3.1,278.79,0,8860.0,3257.0,6.0,3073.0,1377.0,238.0
42855,2023-11-21 15:00:00,2024-07-17 00:00:00,3.1,277.56,0,8727.0,3264.0,6.0,3058.0,1358.0,241.0
42856,2023-11-21 16:00:00,2024-07-17 00:00:00,3.1,275.27,0,8650.0,3254.0,6.0,3118.0,1396.0,240.0
42857,2023-11-21 17:00:00,2024-07-17 00:00:00,3.1,272.7,0,8559.0,3245.0,6.0,3179.0,1415.0,226.0
42858,2023-11-21 18:00:00,2024-07-17 00:00:00,3.1,274.6,0,8769.0,3238.0,6.0,3207.0,1459.0,230.0
42859,2023-11-21 19:00:00,2024-07-17 00:00:00,3.1,274.88,0,8997.0,3238.0,6.0,3282.0,1553.0,221.0
42860,2023-11-21 20:00:00,2024-07-17 00:00:00,3.1,275.1,0,9184.0,3239.0,6.0,3299.0,1662.0,205.0
42861,2023-11-21 21:00:00,2024-07-17 00:00:00,3.1,280.49,0,9823.0,3255.0,6.0,3379.0,1717.0,202.0
42862,2023-11-21 22:00:00,2024-07-17 00:00:00,3.1,280.15,0,9866.0,3274.0,6.0,3541.0,1584.0,202.0
42863,2023-11-21 23:00:00,2024-07-17 00:00:00,3.1,284.55,0,10284.0,3262.0,6.0,3717.0,1450.0,216.0
