datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-08-15 00:00:00,2023-08-21 20:44:56,3.0,1.9997047873987288,291.4056536783907,289.229474935044,0.1547681153295366,1.1626485595067046,0.0,0.0,2426.52396,0.0,665.3,435.89958
2023-08-15 01:00:00,2023-08-21 20:44:56,3.0,1.9997047873987288,291.4056536783907,289.229474935044,0.1547681153295366,1.1626485595067046,0.0,0.0,2363.11444,0.0,884.91996,554.37472
2023-08-15 02:00:00,2023-08-21 20:44:56,3.0,1.9997047873987288,291.4056536783907,289.229474935044,0.1547681153295366,1.1626485595067046,0.0,0.0,2328.54432,0.0,1137.93004,690.86234
2023-08-15 03:00:00,2023-08-21 20:44:56,3.0,1.9997047873987288,291.4056536783907,289.229474935044,0.1547681153295366,1.1626485595067046,0.0,0.0,2226.55984,0.0,1301.06001,778.86366
2023-08-15 04:00:00,2023-08-21 20:44:56,3.0,2.1516930641005585,290.93503088825327,289.26957135668897,0.1547681153295366,1.1626485595067046,0.0,0.0,2205.49624,8.89813,1340.61996,800.20448
2023-08-15 05:00:00,2023-08-21 20:44:56,3.0,2.1516930641005585,290.93503088825327,289.26957135668897,0.1547681153295366,1.1626485595067046,0.0,0.0,2106.73509,23.74448,1299.79002,778.17856
2023-08-15 06:00:00,2023-08-21 20:44:56,3.0,2.1516930641005585,290.93503088825327,289.26957135668897,0.1547681153295366,1.1626485595067046,0.0,0.0,1985.84452,38.73031,1236.20002,743.87459
2023-08-15 07:00:00,2023-08-21 20:44:56,3.0,2.4021409747856097,290.5223349164338,289.3006520189078,0.077279763190246,3.141319915357043,0.0,0.0,1847.06346,45.31292,882.82995,553.24726
2023-08-15 08:00:00,2023-08-21 20:44:56,3.0,2.4021409747856097,290.5223349164338,289.3006520189078,0.077279763190246,3.141319915357043,0.0,0.0,1759.57232,44.36434,810.59999,514.28242
2023-08-15 09:00:00,2023-08-21 20:44:56,3.0,2.4021409747856097,290.5223349164338,289.3006520189078,0.077279763190246,3.141319915357043,0.0,0.0,1683.2182,43.32538,701.67999,455.52496
