UTC time,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_nat_gas_production_forecast,avg_nuclear_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_wind_production_forecast,avg_other_production_forecast
2023-10-21 00:00:00,2024-07-17 00:00:00,3.1,7.136218321344168,282.34766218830293,280.0224880831853,34.99410314105231,3.07004557555529,0.0,0.0,365.47236,86.71286,3159.1401,226.33774
2023-10-21 01:00:00,2024-07-17 00:00:00,3.1,6.480788585375191,281.8193805647998,279.18808840807424,0.0,0.4222095152601358,0.0,0.0,353.76771,99.65067,3165.8553,250.99648
2023-10-21 02:00:00,2024-07-17 00:00:00,3.1,6.480788585375191,281.8193805647998,279.18808840807424,0.0,0.4222095152601358,0.0,0.0,353.83148,101.76846,3170.71046,228.1016
2023-10-21 03:00:00,2024-07-17 00:00:00,3.1,6.480788585375191,281.8193805647998,279.18808840807424,0.0,0.4222095152601358,0.0,0.0,365.05522,76.96235,3196.59051,218.76996
2023-10-21 04:00:00,2024-07-17 00:00:00,3.1,6.233692437365471,280.67693740758455,277.89150398509594,0.0,0.7438192949245771,0.0,0.0,378.31016,121.46902,3173.63589,194.83537
2023-10-21 05:00:00,2024-07-17 00:00:00,3.1,6.233692437365471,280.67693740758455,277.89150398509594,0.0,0.7438192949245771,0.0,0.0,391.80778,110.89993,3165.35401,227.7028
2023-10-21 06:00:00,2024-07-17 00:00:00,3.1,6.233692437365471,280.67693740758455,277.89150398509594,0.0,0.7438192949245771,0.0,0.0,401.78852,118.13567,3191.10461,242.29309
2023-10-21 07:00:00,2024-07-17 00:00:00,3.1,6.066836196476776,279.6711334605436,276.7830572418369,0.0,0.294262107329575,0.0,0.0,405.33489,119.68996,3184.07653,235.93936
2023-10-21 08:00:00,2024-07-17 00:00:00,3.1,6.066836196476776,279.6711334605436,276.7830572418369,0.0,0.294262107329575,0.0,0.0,396.6696,90.23994,3172.08778,229.24096
2023-10-21 09:00:00,2024-07-17 00:00:00,3.1,6.066836196476776,279.6711334605436,276.7830572418369,0.0,0.294262107329575,0.0,0.0,395.22765,107.04363,3154.60892,221.5541
2023-10-21 10:00:00,2024-07-17 00:00:00,3.1,6.192137173506131,278.9768133350649,275.7831729278425,0.8839033845142718,0.6550078047885183,0.0,0.0,403.48484,131.35242,3141.47282,229.3712
2023-10-21 11:00:00,2024-07-17 00:00:00,3.1,6.192137173506131,278.9768133350649,275.7831729278425,0.8839033845142718,0.6550078047885183,0.0,0.0,395.36885,158.73569,3144.38446,228.73241
2023-10-21 12:00:00,2024-07-17 00:00:00,3.1,6.192137173506131,278.9768133350649,275.7831729278425,0.8839033845142718,0.6550078047885183,0.0,0.0,380.79989,169.14871,3147.72043,215.6428
2023-10-21 13:00:00,2024-07-17 00:00:00,3.1,6.634284413644792,279.2539014946426,275.1901073041048,89.66631974900874,0.4797438777205285,0.0,0.0,368.51018,166.67952,3148.08673,189.66653
2023-10-21 14:00:00,2024-07-17 00:00:00,3.1,6.634284413644792,279.2539014946426,275.1901073041048,89.66631974900874,0.4797438777205285,0.0,0.0,374.94842,146.19648,3146.67571,199.36006
2023-10-21 15:00:00,2024-07-17 00:00:00,3.1,6.634284413644792,279.2539014946426,275.1901073041048,89.66631974900874,0.4797438777205285,0.0,0.0,367.94913,149.13356,3164.58445,208.83279
2023-10-21 16:00:00,2024-07-17 00:00:00,3.1,6.843646091741434,279.8663198971929,274.8220852734413,153.8989596282253,1.0311918644411993,0.0,0.0,370.22198,154.78296,3156.77322,201.81791
2023-10-21 17:00:00,2024-07-17 00:00:00,3.1,6.843646091741434,279.8663198971929,274.8220852734413,153.8989596282253,1.0311918644411993,0.0,0.0,366.06577,175.85,3162.51532,202.91824
2023-10-21 18:00:00,2024-07-17 00:00:00,3.1,6.843646091741434,279.8663198971929,274.8220852734413,153.8989596282253,1.0311918644411993,0.0,0.0,366.89813,204.26118,3166.69915,227.1386
2023-10-21 19:00:00,2024-07-17 00:00:00,3.1,6.453894223366337,279.69057802876705,274.7018849334698,177.5538083221203,0.5785347172538367,0.0,0.0,363.86433,204.98061,3147.73804,243.21718
2023-10-21 20:00:00,2024-07-17 00:00:00,3.1,6.453894223366337,279.69057802876705,274.7018849334698,177.5538083221203,0.5785347172538367,0.0,0.0,361.1933,192.49718,3158.1174,228.99579
2023-10-21 21:00:00,2024-07-17 00:00:00,3.1,6.453894223366337,279.69057802876705,274.7018849334698,177.5538083221203,0.5785347172538367,0.0,0.0,359.14907,181.58075,3165.7563,231.88151
2023-10-21 22:00:00,2024-07-17 00:00:00,3.1,5.894409351341206,278.3899630470553,274.37374904009255,95.7221360593032,1.0012858071459605,0.0,0.0,359.94809,188.70805,3181.01936,206.86733
2023-10-21 23:00:00,2024-07-17 00:00:00,3.1,5.894409351341206,278.3899630470553,274.37374904009255,95.7221360593032,1.0012858071459605,0.0,0.0,375.94542,190.47529,3182.96097,198.80571
2023-10-22 00:00:00,2024-07-17 00:00:00,3.1,5.894409351341206,278.3899630470553,274.37374904009255,95.7221360593032,1.0012858071459605,0.0,0.0,439.18003,159.10737,3167.9363,226.33774
2023-10-22 01:00:00,2024-07-17 00:00:00,3.1,5.174707579010717,277.75219521879785,274.5082813498151,0.0,0.1782169800174641,0.0,0.0,422.48659,170.82317,3174.71776,250.99648
2023-10-22 02:00:00,2024-07-17 00:00:00,3.1,5.174707579010717,277.75219521879785,274.5082813498151,0.0,0.1782169800174641,0.0,0.0,419.58599,173.39555,3179.5756,228.1016
2023-10-22 03:00:00,2024-07-17 00:00:00,3.1,5.174707579010717,277.75219521879785,274.5082813498151,0.0,0.1782169800174641,0.0,0.0,428.83431,143.25822,3205.45392,218.76996
