,UTC time,carbon_intensity,coal,nat_gas,nuclear,oil,hydro,solar,wind,other
0,2023-08-05 00:00:00,224.41,0.0,10349.0,3227.0,0.0,3727.0,0.0,127.0,235.0
1,2023-08-05 01:00:00,226.43,0.0,10341.0,3231.0,20.0,3591.0,0.0,66.0,205.0
2,2023-08-05 02:00:00,220.8,0.0,9620.0,3231.0,44.0,3555.0,0.0,79.0,204.0
3,2023-08-05 03:00:00,212.48,0.0,8689.0,3226.0,32.0,3514.0,0.0,82.0,206.0
4,2023-08-05 04:00:00,208.51,0.0,7910.0,3216.0,4.0,3227.0,0.0,56.0,210.0
5,2023-08-05 05:00:00,208.8,0.0,7118.0,3249.0,5.0,2515.0,0.0,106.0,211.0
6,2023-08-05 06:00:00,207.97,0.0,7011.0,3260.0,5.0,2498.0,0.0,78.0,209.0
7,2023-08-05 07:00:00,208.47,0.0,6969.0,3265.0,0.0,2415.0,0.0,80.0,205.0
8,2023-08-05 08:00:00,207.22,0.0,6842.0,3257.0,5.0,2404.0,0.0,77.0,202.0
9,2023-08-05 09:00:00,207.2,0.0,6679.0,3177.0,0.0,2361.0,0.0,79.0,208.0
10,2023-08-05 10:00:00,206.5,0.0,6681.0,3179.0,4.0,2356.0,0.0,114.0,199.0
11,2023-08-05 11:00:00,201.85,0.0,6586.0,3244.0,5.0,2534.0,0.0,98.0,208.0
12,2023-08-05 12:00:00,196.89,0.0,6711.0,3238.0,4.0,3051.0,0.0,44.0,223.0
13,2023-08-05 13:00:00,200.28,0.0,7220.0,3218.0,4.0,3319.0,0.0,53.0,250.0
14,2023-08-05 14:00:00,210.65,0.0,7691.0,3219.0,10.0,3033.0,0.0,63.0,282.0
15,2023-08-05 15:00:00,213.49,0.0,7940.0,3228.0,20.0,3050.0,0.0,94.0,315.0
16,2023-08-05 16:00:00,213.97,0.0,8217.0,3248.0,21.0,3181.0,0.0,132.0,326.0
17,2023-08-05 17:00:00,215.69,0.0,8495.0,3231.0,0.0,3277.0,0.0,149.0,348.0
18,2023-08-05 18:00:00,219.68,0.0,9101.0,3229.0,21.0,3335.0,0.0,168.0,301.0
19,2023-08-05 19:00:00,222.7,0.0,9287.0,3253.0,26.0,3240.0,0.0,160.0,309.0
20,2023-08-05 20:00:00,224.35,0.0,9544.0,3244.0,34.0,3332.0,0.0,132.0,310.0
21,2023-08-05 21:00:00,229.48,0.0,10274.0,3251.0,34.0,3375.0,0.0,119.0,284.0
22,2023-08-05 22:00:00,229.9,0.0,10463.0,3250.0,35.0,3429.0,0.0,105.0,254.0
23,2023-08-05 23:00:00,227.63,0.0,10168.0,3249.0,35.0,3404.0,0.0,85.0,230.0
