UTC time,coal,nat_gas,nuclear,oil,hydro,solar,other
2023-04-21 00:00:00,0,5504.0,0.0,2.0,3416.0,89.0,2244.0
2023-04-21 01:00:00,0,5744.0,0.0,0.0,3435.0,131.0,2239.0
2023-04-21 02:00:00,0,5877.0,0.0,0.0,3158.0,142.0,2258.0
2023-04-21 03:00:00,0,5134.0,0.0,0.0,2680.0,322.0,2245.0
2023-04-21 04:00:00,0,4527.0,0.0,1.0,2393.0,549.0,2254.0
2023-04-21 05:00:00,0,3876.0,0.0,1.0,2157.0,611.0,2244.0
2023-04-21 06:00:00,0,3767.0,0.0,1.0,2117.0,631.0,2173.0
2023-04-21 07:00:00,0,3506.0,0.0,0.0,2123.0,694.0,2242.0
2023-04-21 08:00:00,0,3554.0,0.0,0.0,2108.0,698.0,2243.0
2023-04-21 09:00:00,0,3682.0,0.0,1.0,2120.0,789.0,2246.0
2023-04-21 10:00:00,0,4165.0,0.0,0.0,2200.0,854.0,2324.0
2023-04-21 11:00:00,0,5253.0,0.0,0.0,2537.0,904.0,2327.0
2023-04-21 12:00:00,0,5767.0,0.0,0.0,3014.0,882.0,2330.0
2023-04-21 13:00:00,0,5307.0,0.0,0.0,3152.0,638.0,2347.0
2023-04-21 14:00:00,0,4985.0,0.0,0.0,3045.0,515.0,2312.0
2023-04-21 15:00:00,0,4557.0,0.0,0.0,3113.0,445.0,2303.0
2023-04-21 16:00:00,0,4415.0,0.0,0.0,3090.0,429.0,2313.0
2023-04-21 17:00:00,0,4233.0,0.0,0.0,2972.0,522.0,2303.0
2023-04-21 18:00:00,0,4102.0,0.0,0.0,2799.0,685.0,2309.0
2023-04-21 19:00:00,0,4687.0,0.0,0.0,2743.0,616.0,2333.0
2023-04-21 20:00:00,0,4878.0,0.0,1.0,2975.0,613.0,2405.0
2023-04-21 21:00:00,0,5379.0,0.0,1.0,3058.0,669.0,2385.0
2023-04-21 22:00:00,0,5851.0,0.0,0.0,3185.0,620.0,2379.0
2023-04-21 23:00:00,0,6058.0,0.0,0.0,3288.0,497.0,2354.0
