UTC time,coal,hydro,wind
2023-01-01 00:00:00,621.0,10.0,2.0
2023-01-01 01:00:00,620.0,10.0,0.0
2023-01-01 02:00:00,624.0,10.0,0.0
2023-01-01 03:00:00,629.0,10.0,0.0
2023-01-01 04:00:00,628.0,10.0,0.0
2023-01-01 05:00:00,630.0,10.0,0.0
2023-01-01 06:00:00,595.0,10.0,0.0
2023-01-01 07:00:00,595.0,10.0,0.0
2023-01-01 08:00:00,617.0,10.0,0.0
2023-01-01 09:00:00,618.0,10.0,0.0
2023-01-01 10:00:00,621.0,10.0,0.0
2023-01-01 11:00:00,617.0,10.0,0.0
2023-01-01 12:00:00,617.0,10.0,0.0
2023-01-01 13:00:00,615.0,10.0,0.0
2023-01-01 14:00:00,624.0,10.0,0.0
2023-01-01 15:00:00,621.0,10.0,0.0
2023-01-01 16:00:00,617.0,10.0,1.0
2023-01-01 17:00:00,617.0,10.0,4.0
2023-01-01 18:00:00,620.0,10.0,10.0
2023-01-01 19:00:00,617.0,10.0,9.0
2023-01-01 20:00:00,619.0,10.0,10.0
2023-01-01 21:00:00,618.0,10.0,13.0
2023-01-01 22:00:00,387.0,0.0,11.0
2023-01-01 23:00:00,612.0,9.0,11.0
2023-01-02 00:00:00,611.0,9.0,11.0
2023-01-02 01:00:00,608.0,9.0,16.0
2023-01-02 02:00:00,616.0,9.0,12.0
2023-01-02 03:00:00,619.0,9.0,9.0
2023-01-02 04:00:00,615.0,9.0,10.0
2023-01-02 05:00:00,614.0,9.0,6.0
2023-01-02 06:00:00,624.0,9.0,6.0
2023-01-02 07:00:00,625.0,9.0,5.0
2023-01-02 08:00:00,625.0,9.0,4.0
2023-01-02 09:00:00,618.0,9.0,2.0
2023-01-02 10:00:00,617.0,9.0,3.0
2023-01-02 11:00:00,608.0,9.0,2.0
2023-01-02 12:00:00,603.0,9.0,1.0
2023-01-02 13:00:00,604.0,9.0,1.0
2023-01-02 14:00:00,621.0,9.0,4.0
2023-01-02 15:00:00,626.0,9.0,7.0
2023-01-02 16:00:00,620.0,9.0,6.0
2023-01-02 17:00:00,625.0,9.0,9.0
2023-01-02 18:00:00,625.0,9.0,11.0
2023-01-02 19:00:00,621.0,9.0,9.0
2023-01-02 20:00:00,617.0,9.0,11.0
2023-01-02 21:00:00,619.0,9.0,16.0
2023-01-02 22:00:00,616.0,9.0,10.0
2023-01-02 23:00:00,619.0,9.0,18.0
2023-01-03 00:00:00,617.0,9.0,24.0
2023-01-03 01:00:00,617.0,9.0,28.0
2023-01-03 02:00:00,619.0,9.0,23.0
2023-01-03 03:00:00,618.0,9.0,31.0
2023-01-03 04:00:00,617.0,9.0,29.0
2023-01-03 05:00:00,618.0,9.0,14.0
2023-01-03 06:00:00,620.0,9.0,7.0
2023-01-03 07:00:00,626.0,9.0,7.0
2023-01-03 08:00:00,623.0,9.0,6.0
2023-01-03 09:00:00,619.0,9.0,4.0
2023-01-03 10:00:00,623.0,9.0,4.0
2023-01-03 11:00:00,621.0,9.0,6.0
2023-01-03 12:00:00,617.0,9.0,9.0
2023-01-03 13:00:00,616.0,9.0,16.0
2023-01-03 14:00:00,614.0,9.0,22.0
2023-01-03 15:00:00,615.0,9.0,19.0
2023-01-03 16:00:00,607.0,9.0,23.0
2023-01-03 17:00:00,610.0,9.0,32.0
2023-01-03 18:00:00,610.0,9.0,37.0
2023-01-03 19:00:00,617.0,9.0,52.0
2023-01-03 20:00:00,619.0,9.0,40.0
2023-01-03 21:00:00,622.0,9.0,46.0
2023-01-03 22:00:00,621.0,9.0,54.0
2023-01-03 23:00:00,617.0,9.0,49.0
2023-01-04 00:00:00,611.0,9.0,42.0
2023-01-04 01:00:00,612.0,9.0,40.0
2023-01-04 02:00:00,612.0,9.0,23.0
