datetime,creation_time (UTC),version,forecast_avg_wind_speed_wMean,forecast_avg_temperature_wMean,forecast_avg_dewpoint_wMean,forecast_avg_dswrf_wMean,forecast_avg_precipitation_wMean,avg_coal_production_forecast,avg_nat_gas_production_forecast,avg_oil_production_forecast,avg_hydro_production_forecast,avg_solar_production_forecast,avg_wind_production_forecast
2023-09-08 00:00:00,2023-09-08 23:15:10,3.0,2.651821452690456,289.22525360252735,276.58647060195983,60.16992744729173,0.0246820568010965,1461.08111,41.76237,50.98573,380.78099,7910.29019,1409.99998
2023-09-08 01:00:00,2023-09-08 23:15:10,3.0,2.651821452690456,289.22525360252735,276.58647060195983,60.16992744729173,0.0246820568010965,1446.92517,38.93696,51.13955,384.67511,2352.52,1416.43005
2023-09-08 02:00:00,2023-09-08 23:15:10,3.0,2.651821452690456,289.22525360252735,276.58647060195983,60.16992744729173,0.0246820568010965,1452.81868,35.20505,50.49944,381.97706,22.03,1360.26004
2023-09-08 03:00:00,2023-09-08 23:15:10,3.0,2.651821452690456,289.22525360252735,276.58647060195983,60.16992744729173,0.0246820568010965,1452.13501,37.62919,51.13654,378.30777,0.0,1330.04
2023-09-08 04:00:00,2023-09-08 23:15:10,3.0,2.5718858831375044,287.2678802427017,276.8153778016108,60.16992744729173,0.0246820568010965,1461.3608,38.75545,51.4108,381.83484,0.0,1308.54002
2023-09-08 05:00:00,2023-09-08 23:15:10,3.0,2.5718858831375044,287.2678802427017,276.8153778016108,60.16992744729173,0.0246820568010965,1453.21998,35.39094,51.45196,378.67607,0.0,1294.09002
2023-09-08 06:00:00,2023-09-08 23:15:10,3.0,2.5718858831375044,287.2678802427017,276.8153778016108,60.16992744729173,0.0246820568010965,1454.84657,33.44055,51.07606,377.21321,0.0,1276.33004
2023-09-08 07:00:00,2023-09-08 23:15:10,3.0,2.493413335939284,285.9572825250821,277.27463562292144,30.084859516999817,0.095180168096236,1448.81769,29.64827,50.73461,378.27794,25.41,987.99996
2023-09-08 08:00:00,2023-09-08 23:15:10,3.0,2.493413335939284,285.9572825250821,277.27463562292144,30.084859516999817,0.095180168096236,1458.68466,27.98593,50.71292,383.67319,23.25,924.09998
2023-09-08 09:00:00,2023-09-08 23:15:10,3.0,2.493413335939284,285.9572825250821,277.27463562292144,30.084859516999817,0.095180168096236,1467.48122,25.98741,51.96569,385.90565,23.04,875.31999
2023-09-08 10:00:00,2023-09-08 23:15:10,3.0,2.503768197033133,284.9204099498178,277.6651680438604,0.0,0.2574139732163804,1468.11959,25.29623,52.65767,386.20938,22.08,846.34998
2023-09-08 11:00:00,2023-09-08 23:15:10,3.0,2.503768197033133,284.9204099498178,277.6651680438604,0.0,0.2574139732163804,1465.60474,25.19515,51.58096,383.91679,20.43,815.45003
2023-09-08 12:00:00,2023-09-08 23:15:10,3.0,2.503768197033133,284.9204099498178,277.6651680438604,0.0,0.2574139732163804,1457.56334,24.62595,51.71923,384.59121,18.57,761.36003
2023-09-08 13:00:00,2023-09-08 23:15:10,3.0,2.853124917146057,288.5095222272306,278.4529021007486,0.0,0.4231090229359019,1456.48385,25.05244,51.61002,381.79358,214.88999,686.02998
2023-09-08 14:00:00,2023-09-08 23:15:10,3.0,2.853124917146057,288.5095222272306,278.4529021007486,0.0,0.4231090229359019,1456.20228,23.65858,51.06038,389.23748,5035.08997,549.24001
2023-09-08 15:00:00,2023-09-08 23:15:10,3.0,2.853124917146057,288.5095222272306,278.4529021007486,0.0,0.4231090229359019,1458.45,25.91618,51.86615,389.8606,10516.25977,397.49001
2023-09-08 16:00:00,2023-09-08 23:15:10,3.0,3.875507956418427,293.5768765964375,277.77430468953025,92.80489342787664,0.5554649437706126,1460.20982,26.22875,52.01583,390.74435,12347.72028,310.38999
2023-09-08 17:00:00,2023-09-08 23:15:10,3.0,3.875507956418427,293.5768765964375,277.77430468953025,92.80489342787664,0.5554649437706126,1440.35173,30.71542,51.67652,385.47605,13071.63037,297.97999
2023-09-08 18:00:00,2023-09-08 23:15:10,3.0,3.875507956418427,293.5768765964375,277.77430468953025,92.80489342787664,0.5554649437706126,1429.03363,33.43995,51.33064,389.8737,13145.92963,342.01999
2023-09-08 19:00:00,2023-09-08 23:15:10,3.0,4.689256339622976,295.6101440470588,276.543561011213,298.8225561267737,0.7339627767924264,1433.28746,35.73201,51.81073,384.8726,13187.73962,440.59
2023-09-08 20:00:00,2023-09-08 23:15:10,3.0,4.689256339622976,295.6101440470588,276.543561011213,298.8225561267737,0.7339627767924264,1435.44951,36.21489,52.08997,375.98861,13235.28027,583.98001
2023-09-08 21:00:00,2023-09-08 23:15:10,3.0,4.689256339622976,295.6101440470588,276.543561011213,298.8225561267737,0.7339627767924264,1424.31236,36.3278,52.15894,376.33235,13027.45984,731.74999
2023-09-08 22:00:00,2023-09-08 23:15:10,3.0,4.458074285841871,293.9716042442121,277.30654221237523,674.2863726359479,0.9034834423941136,1400.87943,36.90394,51.67988,374.86736,12602.91949,890.90999
2023-09-08 23:00:00,2023-09-08 23:15:10,3.0,4.458074285841871,293.9716042442121,277.30654221237523,674.2863726359479,0.9034834423941136,1395.48665,36.52277,51.36624,374.42923,11507.6698,1062.08995
2023-09-09 00:00:00,2023-09-08 23:15:10,3.0,4.458074285841871,293.9716042442121,277.30654221237523,674.2863726359479,0.9034834423941136,1327.51952,73.09479,51.4706,380.78099,4951.76102,736.13909
2023-09-09 01:00:00,2023-09-08 23:15:10,3.0,3.048268944182984,288.28355017552434,278.35729075278323,539.5786857750655,1.067946973232597,1315.61785,67.49717,51.62368,384.67511,4503.75021,702.68852
2023-09-09 02:00:00,2023-09-08 23:15:10,3.0,3.048268944182984,288.28355017552434,278.35729075278323,539.5786857750655,1.067946973232597,1322.50733,59.5286,50.9769,381.97706,3814.06476,691.01263
2023-09-09 03:00:00,2023-09-08 23:15:10,3.0,3.048268944182984,288.28355017552434,278.35729075278323,539.5786857750655,1.067946973232597,1322.67036,60.90755,51.61678,378.30777,3460.89972,673.05966
2023-09-09 04:00:00,2023-09-08 23:15:10,3.0,2.592416222854769,286.249700543121,278.5842335579165,51.97762101976238,1.2747941599375063,1331.83415,61.0745,51.89126,381.83484,3236.14517,616.46085
2023-09-09 05:00:00,2023-09-08 23:15:10,3.0,2.592416222854769,286.249700543121,278.5842335579165,51.97762101976238,1.2747941599375063,1325.50393,54.08487,51.92215,378.67607,2672.39632,599.4445
2023-09-09 06:00:00,2023-09-08 23:15:10,3.0,2.592416222854769,286.249700543121,278.5842335579165,51.97762101976238,1.2747941599375063,1327.76701,48.4727,51.53987,377.21321,2272.02084,572.10603
2023-09-09 07:00:00,2023-09-08 23:15:10,3.0,2.1466740441555263,284.92020378329795,278.6126917201412,25.988636999786063,1.3751389058611925,1323.39319,40.70365,51.19402,378.27794,2127.15353,523.30504
2023-09-09 08:00:00,2023-09-08 23:15:10,3.0,2.1466740441555263,284.92020378329795,278.6126917201412,25.988636999786063,1.3751389058611925,1332.64959,37.01149,51.17081,383.67319,1659.49323,505.67295
2023-09-09 09:00:00,2023-09-08 23:15:10,3.0,2.1466740441555263,284.92020378329795,278.6126917201412,25.988636999786063,1.3751389058611925,1340.3402,32.98885,52.43125,385.90565,1355.01914,448.43985
2023-09-09 10:00:00,2023-09-08 23:15:10,3.0,1.948733758085587,283.9119895325671,278.49857882612883,0.0,1.4106795895113369,1340.70114,32.13166,53.12488,386.20938,1085.19758,453.18151
2023-09-09 11:00:00,2023-09-08 23:15:10,3.0,1.948733758085587,283.9119895325671,278.49857882612883,0.0,1.4106795895113369,1338.97433,32.39704,52.04193,383.91679,833.3068,424.60318
2023-09-09 12:00:00,2023-09-08 23:15:10,3.0,1.948733758085587,283.9119895325671,278.49857882612883,0.0,1.4106795895113369,1332.40116,32.12987,52.18043,384.59121,590.69812,364.5707
2023-09-09 13:00:00,2023-09-08 23:15:10,3.0,2.087545769080144,287.47670256681505,278.9495789723481,0.0,1.4264281194368076,1331.28225,33.28227,52.07006,381.79358,905.79091,333.32089
2023-09-09 14:00:00,2023-09-08 23:15:10,3.0,2.087545769080144,287.47670256681505,278.9495789723481,0.0,1.4264281194368076,1331.75812,32.9803,51.5108,389.23748,1274.2777,325.19811
2023-09-09 15:00:00,2023-09-08 23:15:10,3.0,2.087545769080144,287.47670256681505,278.9495789723481,0.0,1.4264281194368076,1334.41916,36.63341,52.32059,389.8606,1593.18269,263.65172
2023-09-09 16:00:00,2023-09-08 23:15:10,3.0,2.671586437186982,292.62722822119736,278.59131078988025,94.94281221142109,1.4350451543158758,1336.35257,39.53982,52.47253,390.74435,2272.37259,232.71498
2023-09-09 17:00:00,2023-09-08 23:15:10,3.0,2.671586437186982,292.62722822119736,278.59131078988025,94.94281221142109,1.4350451543158758,1317.59068,47.3667,52.13131,385.47605,2645.9617,213.23268
